机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
14	上海东方文化艺术基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		14197204.84	13808760.66	287871	99149.68							
15	上海东方爱心基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1311339	1200000	0	111339							
16	上海中华职业教育温暖工程基金会	2013	82561.2	82561.2	0	82561.2	0	0	0	0	0	0	0	0	0	0	0	0		441434.55	403361.2	23400	14673.35							
17	上海中欧国际工商学院教育发展基金会	2013	29292223.12	29292223.12	1860234.19	27431988.93	0	0	0	0	0	0	0	0	0	0	0	0		16027970.46	14696529.33	522315.87	807701							
18	上海交响乐团文化发展基金会	2013	16478600	16478600	0	16478600	0	0	0	0	0	0	0	0	0	0	0	0		4172377.41	4119069	0	53308.41							
19	上海交通大学教育发展基金会	2013	154854022.53	123267761.3	45670959.09	77596802.21	31586261.23	5809892.79	25776368.44	0	0	0	0	0	0	0	0	0		77637392.01	77323247.27	0	0							
20	上海仁德基金会	2013	4044932.39	4044932.39	881117.6	3163814.79	0	0	0	0	0	0	0	0	0	0	0	0		2362309.3	1941253	198094	36142.95							
21	上海公安金盾基金会	2013	33000000	33000000	0	33000000	0	0	0	0	0	0	0	0	0	0	0	0		9161001	8999306.3	138000	18032.1							
22	上海兴华教育扶贫基金会	2013	13179886.53	13179886.53	13179886.53	0	0	0	0	0	0	0	0	0	0	0	0	0		8517108.06	4184087.5	4184087.5	145506.56							
23	上海兴韦信息技术职业学院教育发展基金会	2013	9000000	9000000	0	9000000	0	0	0	0	0	0	0	0	0	0	0	0		6800000	6800000	0	0							
24	上海刘浩清公益基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
