ricf_oid	ba_cn	nacao_uscc	name_set
82	上海市浦东新区教育发展基金会	533100005017727383	上海市浦东新区中小学幼儿教师奖励基金会#上海市浦东新区教育发展基金会
83	上海市爱心帮教基金会	533100005017754615	上海市爱心帮教基金会
84	上海市甬协公益基金会	53310000501779964P	上海市甬协公益基金会
85	上海市科普基金会	53310000501779454A	上海市科普基金会
86	上海市老年基金会	5331000050177344XB	上海市老年基金会
87	上海市职工帮困基金会	5331000050177299XM	上海市职工帮困基金会#上海市职工救急济难基金会
88	上海市自然与健康基金会	53310000501779139N	上海市自然与健康基金会
89	上海市虹口区教育基金会	533100005017724208	上海市虹口区教育基金会
90	上海市长宁区教育基金会	53310000501772623W	上海市长宁区中小学幼儿教师奖励基金会#上海市长宁区教育基金会
91	上海市闵行区教育发展基金会	533100005017734666	上海市闵行区教育发展基金会#上海市闵行区中小幼教师奖励基金会
92	上海市闸北区教育基金会	533100005017763099	上海市闸北区教育基金会
93	上海市防癌抗癌事业发展基金会	533100005017802017	上海市防癌抗癌事业发展基金会
94	上海市青少年发展基金会	53310000501773095F	上海市青少年发展基金会
95	上海市青年创业就业基金会	53310000501781175C	上海市青年创业就业基金会
96	上海市青浦区教育基金会	533100005017803248	上海市青浦区教育基金会
97	上海市静安区教育基金会	533100005017725514	上海市静安区教育基金会
98	上海市黄浦区教育基金会	53310000501772631P	上海市黄浦区教育基金会
99	上海师范大学教育发展基金会	533100005017808180	上海师范大学教育发展基金会
101	上海志成公益基金会	53310000501782477T	上海志成公益基金会
102	上海思麦公益基金会	53310000501781888E	上海思麦公益基金会
103	上海恩德公益基金会	53310000501781386U	上海恩德公益基金会
104	上海慈慧公益基金会	53310000501781589G	上海慈慧公益基金会
105	上海慈源爱心基金会	5331000050178048XH	上海慈源爱心基金会
106	上海文化发展基金会	533100005017731160	上海文化发展基金会
107	上海文学发展基金会	533100005017675762	上海文学发展基金会
108	上海新世纪社会发展基金会	53310000501773562F	上海新世纪社会发展基金会
109	上海亲和宇宙老龄事业发展基金会	533100005017805860	上海亲和宇宙老龄事业发展基金会#上海新建桥老龄事业发展基金会
110	上海新泰高新技术研究与发展基金会	53310000501777854J	上海新泰高新技术研究与发展基金会
111	上海明德公益基金会	53310000586835071J	上海明德公益基金会
112	上海曙光中医药研究发展基金会	53310000501780906E	上海曙光中医药研究发展基金会
113	上海有爱公益基金会	53310000501781335K	上海有爱公益基金会
114	上海木兰教育基金会	53310000501780180N	上海木兰教育基金会
115	上海民建扶帮公益基金会	53310000501781036M	上海民建扶帮公益基金会
116	上海民生公益基金会	53310000501781204P	上海民生公益基金会
117	上海民生艺术基金会	533100005017814232	上海民生艺术基金会
118	上海水资源保护基金会	533100005017804554	上海水资源保护基金会
119	上海汇添富公益基金会	533100005017811912	上海汇添富公益基金会
120	上海汉庭社会公益基金会	533100005017808698	上海汉庭社会公益基金会
121	上海汤臣慈善基金会	53310000501782143A	上海汤臣慈善基金会
122	上海汽车工业教育基金会	533100005017738885	上海汽车工业教育基金会
123	上海汽车工业科技发展基金会	53310000501776472G	上海汽车工业科技发展基金会
124	上海沪利历史建筑和都市改造基金会	53310000501780770P	上海沪利历史建筑和都市改造基金会
125	上海浦东新区社会发展基金会	5331000050177539X9	上海浦东新区社会发展基金会
126	上海浦发公益基金会	5331000050178064XQ	上海浦发公益基金会
127	上海海事大学教育发展基金会	53310000501782194J	上海海事大学教育发展基金会
128	上海海洋大学教育发展基金会	53310000501781941A	上海海洋大学教育发展基金会
129	上海淑德公益基金会	533100005017822078	上海淑德公益基金会
130	上海特殊关爱基金会	53310000501780703R	上海特殊关爱基金会
131	上海现代服务业发展研究基金会	53310000501781853U	上海现代服务业发展研究基金会
132	上海理工大学教育发展基金会	53310000501780009L	上海理工大学教育发展基金会
133	上海电力学院教育发展基金会	53310000501781239A	上海电力学院教育发展基金会
134	上海百马慈善基金会	53310000501780834M	上海百马慈善基金会
135	上海盛立公益基金会	53310000501781933F	上海盛立公益基金会
136	上海真爱梦想公益基金会	53310000501780738C	上海真爱梦想公益基金会
137	上海科技发展基金会	53310000501772180D	上海科技发展基金会
138	上海科普教育发展基金会	533100005017780990	上海科普教育发展基金会#上海科技馆基金会
139	上海立信会计学院潘序伦教育发展基金会	53310000501782135F	上海立信会计学院潘序伦教育发展基金会
140	上海第一财经公益基金会	53310000501782549K	上海第一财经公益基金会
141	上海美丽心灵社区公益基金会	53310000501782127L	上海美丽心灵社区公益基金会
142	上海联劝公益基金会	53310000501781108E	上海公益事业发展基金会#上海联劝公益基金会
143	上海联和新泰战略研究与发展基金会	53310000501777846P	上海联和新泰战略研究与发展基金会
144	上海能近公益基金会	533100005017802797	上海能近公益基金会
145	上海视觉艺术学院教育发展基金会	53310000501782223X	上海视觉艺术学院教育发展基金会
146	上海财经大学教育发展基金会	53310000501780797F	上海财经大学教育发展基金会
147	上海郑桓公文化研究基金会	53310000501781407C	上海郑桓公文化研究基金会
148	上海金山卫镇社区发展公益基金会	53310000501781212J	上海金山卫镇为民大病重病帮扶基金会#上海金山卫镇社区发展公益基金会
149	上海钟笑炉集邮基金会	53310000501772463M	上海钟笑炉集邮基金会
150	上海长江出版交流基金会	53310000501780113Q	上海长江出版交流基金会
151	上海阎宝航社会公益基金会	533100005017679201	上海阎宝航社会公益基金会
152	上海阮仪三城市遗产保护基金会	53310000501779999A	上海阮仪三城市遗产保护基金会
153	上海阳光公益基金会	53310000501782303H	上海阳光公益基金会
154	上海韩哲一教育扶贫基金会	533100005017812550	上海韩哲一教育扶贫基金会
155	上海颜德馨中医药基金会	53310000501779550K	上海颜德馨中医药基金会
156	东丰县见义勇为基金会	532200005740568636	东丰县见义勇为基金会
157	东兴市同心献爱基金会	53450681079054342F	东兴市同心献爱基金会
158	东北师大附中教育发展基金会	53220000555286591G	东北师大附中教育发展基金会
159	东北师范大学教育基金会	532200005552531832	东北师范大学教育基金会
160	东南大学成贤学院教育发展基金会	533200005091584094	东南大学成贤学院教育发展基金会
161	东南大学教育基金会	53320000509158062X	东南大学教育基金会
162	东台市慈善基金会	533200005091590739	东台市慈善基金会
163	东台市见义勇为基金会	533200005091613259	东台市见义勇为基金会
164	东台市阳光助残基金会	53320000509161595U	东台市阳光助残基金会
165	东安县教育基金会	534300005932943062	东安县教育基金会
166	东海县见义勇为基金会	533200005091606569	东海县见义勇为基金会
167	东莞市东莞理工学院教育发展基金会	534400007977835740	东莞市东莞理工学院教育发展基金会
168	东莞市医疗救济基金会	53440000725065717G	东莞市医疗救济基金会
169	东莞市残疾人福利基金会	53440000779249060X	东莞市残疾人福利基金会
170	东莞市沙田教育基金会	53440000052431013N	东莞市沙田教育基金会
171	东莞市见义勇为基金会	53440000792908702A	东莞市见义勇为基金会
172	东营市见义勇为基金会	53370000MJD675844E	东营市见义勇为基金会
173	东辽县见义勇为基金会	5322000057408993X6	东辽县见义勇为基金会
174	东阳市社会治安综合治理基金会	533300005018742408	东阳市社会治安综合治理基金会
175	东风公益基金会	531000007178327875	东风公益基金会
176	中关村教育基金会	531100005636029293	中关村教育基金会
177	中兴通讯公益基金会	531000007178342486	中兴通讯公益基金会
178	中华健康快车基金会	53100000500019170N	中华健康快车基金会
179	中华全国体育基金会	53100000500016121Y	中华全国体育基金会
180	中华农业科教基金会	53100000500018434Q	中华农业科教基金会
181	中华同心温暖工程基金会	53100000717830984Q	中华同心温暖工程基金会
182	中华国际医学交流基金会	531000005000090870	中华国际医学交流基金会
183	中华国际科学交流基金会	53100000500018696G	中华国际科学交流基金会
184	中华少年儿童慈善救助基金会	53100000500021537W	中华少年儿童慈善救助基金会
185	中华思源工程扶贫基金会	53100000500020462K	中华思源工程扶贫基金会
186	中华文学基金会	5310000050000928XF	中华文学基金会
187	中华环境保护基金会	53100000500013633W	中华环境保护基金会
188	中华社会救助基金会	53100000500021326D	中华社会救助基金会
189	中华社会文化发展基金会	53100000500013350L	中华社会文化发展基金会
190	中华艺文基金会	53100000717836999L	中华艺文基金会
191	中华见义勇为基金会	531000005000141260	中华见义勇为基金会
192	中华诗词发展基金会	53100000MJ0065081R	中华诗词发展基金会
193	中南大学教育基金会	53100000717828921B	中南大学教育基金会
194	中南民族大学教育发展基金会	534200005035897936	中南民族大学教育发展基金会
195	中南财经政法大学教育发展基金会	53420000503589937P	中南财经政法大学教育发展基金会
196	中卫市公益慈善基金会	53640000MJX173410P	中卫市公益慈善基金会
197	中国下一代教育基金会	53100000500021844M	中国下一代教育基金会
