ricf_oid	ba_cn	nacao_uscc	name_set
491	北京中国美术馆事业发展基金会	531100005877172537	北京中国美术馆事业发展基金会
492	北京中国青年政治学院教育基金会	53110000061299835T	北京中国青年政治学院教育基金会
493	北京中国音乐学院教育基金会	53110000064898307C	北京中国音乐学院教育基金会
494	北京中央戏剧学院教育发展基金会	531100005996258909	北京中央戏剧学院教育发展基金会
495	北京中央民族大学教育基金会	531100005603509493	北京中央民族大学教育基金会
496	北京中央美术学院教育发展基金会	53110000575154721M	北京中央美术学院教育发展基金会
497	北京中央音乐学院教育基金会	53110000569450516A	北京中央音乐学院教育基金会
498	北京中联盟中医药发展基金会	531100000648554031	北京中联盟中医药发展基金会
499	北京中艺艺术基金会	53110000692301102A	北京中艺艺术基金会
500	北京中金公益基金会	531100005923462820	北京中金公益基金会
501	北京乐平公益基金会	5311000056360107XU	北京乐平公益基金会
502	北京九三王选关怀基金会	531100006605036152	北京九三王选关怀基金会
503	北京于魁智京剧艺术发展基金会		北京于魁智京剧艺术发展基金会
504	北京云居寺慈善基金会	531100005621293593	北京云居寺慈善基金会
505	北京交通大学教育基金会	531000005000215105	北京交通大学教育基金会
506	北京京华公益事业基金会	53110000563601088U	北京京华公益事业基金会
507	北京京安公益基金会	53110000597689989Q	北京京安公益基金会
508	北京人大附中教育基金会	53110000554803462M	北京人大附中教育基金会
509	北京人文社会科学发展基金会	53110000500309805T	北京人文社会科学发展基金会
510	北京人民艺术剧院发展基金会	53110000500306276D	北京人民艺术剧院发展基金会
511	北京亿方公益基金会	53110000080462765H	北京亿方公益基金会
512	北京仁泽公益基金会	53110000597736562G	北京仁泽公益基金会
513	北京修远经济与社会研究基金会	5311000069320219X2	北京修远经济与社会研究基金会
514	北京健康长城公益基金会	53110000062827644E	北京健康长城公益基金会
515	北京光华慈善基金会	531100007725533693	北京光华慈善基金会
516	北京光华设计发展基金会	531100005603522310	北京光华设计发展基金会
517	北京光彩公益基金会	53110000795952813H	北京光彩教育基金会#北京光彩公益基金会
518	北京共美民族教育发展基金会	531100000592596666	北京共美民族教育发展基金会
519	北京兴大助学基金会	53110000694951408G	北京兴大助学基金会
520	北京其普乐少年创意教育基金会	53110000061316105Y	北京其普乐少年创意教育基金会
521	北京凌盛爱心公益基金会	53110000067287747B	北京凌盛爱心公益基金会
522	北京凯恩克劳斯经济研究基金会	5311000066840075XF	北京凯恩克劳斯经济研究基金会
523	北京利星行慈善基金会	53110000558502413D	北京利星行慈善基金会
524	北京力生心血管健康基金会	531100005548004721	北京力生心血管健康基金会
525	北京化工大学教育基金会	53110000585807095L	北京化工大学教育基金会
526	北京北方阳光文化慈善基金会	5311000056035443XG	北京北方阳光文化慈善基金会
527	北京医学奖励基金会	53110000500313062N	北京医学奖励基金会
528	北京华严慈善基金会	53110000553068232Y	北京华严慈善基金会
529	北京华亚艺术基金会	53110000686901283H	北京华亚艺术基金会
530	北京华北电力大学教育基金会	531100005513528707	北京华北电力大学教育基金会
531	北京华彩扶贫助学慈善基金会	531100005996888408	北京华彩扶贫助学慈善基金会
532	北京华彬文化基金会	53110000573150321M	北京华彬文化基金会
533	北京华益公益基金会	53110000085521672Y	北京华益公益基金会
534	北京华育助学基金会	531100007817020985	北京华育助学基金会
535	北京协和医学基金会	531100006787540685	北京协和医学基金会
536	北京协和医学院教育基金会	53110000783951899N	北京协和医学院教育基金会#北京市中国协和医科大学教育基金会
537	北京卓越企业家成长研究基金会	53110000678754033J	北京卓越企业家成长研究基金会
538	北京厚德善行慈善基金会	53110000061299771W	北京厚德善行慈善基金会
539	北京原点文化经济创新基金会	53110000689200984M	北京原点文化经济创新基金会
540	北京友好传承文化基金会	531100006843506689	北京友好传承文化基金会
541	北京同仁张晓楼眼科公益基金会	531100000828629301	北京同仁张晓楼眼科公益基金会
542	北京君和创新公益基金会	531100000855414547	北京君和创新公益基金会
543	北京启明星辰慈善公益基金会	53110000596078588A	北京启明星辰慈善公益基金会
544	北京启行青年发展基金会	53110000064923496G	北京启行青年发展基金会
545	北京吴祖泽科技发展基金会	53110000660502364U	北京吴祖泽科技发展基金会
546	北京吴英恺医学发展基金会	53110000589134297E	北京吴英恺医学发展基金会
547	北京和平发展基金会	53110000784801075P	北京和平发展基金会
548	北京善德关心下一代公益基金会	53110000082877286W	北京善德关心下一代公益基金会
549	北京四中校友促进教育基金会	5311000050030422X1	北京四中校友促进教育基金会
550	北京四存教育基金会	531100005877403306	北京四存教育基金会
551	北京围棋基金会	531100005003042119	北京围棋基金会
552	北京国珍爱心基金会	53110000693203125P	北京国珍爱心基金会
553	北京国科中小企业科技创新发展基金会	53110000085531547D	北京国科中小企业科技创新发展基金会
554	北京国际和平文化基金会	5311000006282761XQ	北京国际和平文化基金会
555	北京国际城市文化交流基金会	53110000563602304F	北京国际城市论坛基金会#北京国际城市文化交流基金会
556	北京国际艺苑美术基金会		北京国际艺苑美术基金会
557	北京国际音乐节艺术基金会	53110000772550002G	北京国际音乐节艺术基金会
558	北京圆明园遗址保护基金会	531100000854631692	北京圆明园遗址保护基金会
559	北京培黎教育基金会	53110000562128196B	北京培黎教育基金会
560	北京复兴大国学文化基金会	53110000694951416B	北京复兴大国学文化基金会
561	北京夕阳秀中老年文化事业发展基金会	53110000055608531H	北京夕阳秀中老年文化事业发展基金会
562	北京外国语大学教育基金会	53110000563601045E	北京外国语大学教育基金会
563	北京大学教育基金会	53100000500018012R	北京大学教育基金会
564	北京天使妈妈慈善基金会	531100000854707999	北京天使妈妈慈善基金会
565	北京太阳谷慈善基金会	53110000560351079A	北京太阳谷慈善基金会
566	北京奥运城市发展基金会	531100005530636850	北京奥运城市发展基金会
567	北京妇女儿童发展基金会	53110000500305898G	北京妇女儿童发展基金会#北京市儿童少年发展基金会
568	北京宋庄艺术发展基金会		北京宋庄艺术发展基金会
569	北京宏昆慈善基金会	5311000069230109XH	北京艺海慈善基金会#北京宏昆慈善基金会
570	北京对外经济贸易大学教育基金会	53110000693202341H	北京对外经济贸易大学教育基金会
571	北京尚善公益基金会	53110000055606368G	北京尚善公益基金会
572	北京屈正爱心基金会	5311000059603549X2	北京屈正爱心基金会
573	北京山花工程慈善基金会	53110000064923533N	北京山花工程慈善基金会
574	北京岐黄中医药文化发展基金会	53110000692301049E	北京岐黄中医药文化发展基金会#北京岐黄中医药科学发展基金会
575	北京工业大学教育基金会	53110000500307711B	北京工业大学教育基金会
576	北京工商大学教育基金会	531100006932031685	北京工商大学教育基金会
577	北京巧女公益基金会	531100000573563313	北京巧女公益基金会
578	北京市中华世纪坛艺术基金会	53110000500312529D	北京市中华世纪坛艺术基金会
579	北京市中国人民大学教育基金会	531100007693542030	北京市中国人民大学教育基金会
580	北京市书院中国文化发展基金会	531100005938081944	北京市书院中国文化发展基金会
581	北京市二十一世纪公益基金会	531100000649235689	北京市二十一世纪公益基金会
582	北京市于若木慈善基金会	531100007704012572	北京市于若木慈善基金会
583	北京市仁爱慈善基金会	53110000794052864C	北京市仁爱慈善基金会
584	北京市企业家环保基金会	53110000682855355J	北京市企业家环保基金会
585	北京市传统文化保护发展基金会	5311000078395191X2	北京市传统文化保护发展基金会
586	北京市体育基金会	53110000500304203E	北京市体育基金会
587	北京市公安民警抚助基金会	53110000667500679A	北京市公安民警抚助基金会
588	北京市农发扶贫基金会	531100007699014308	北京市农发扶贫基金会
589	北京市刘光鼎地球物理科学基金会	531100007999523356	北京市刘光鼎地球物理科学基金会
590	北京市鸿儒金融教育基金会	531100007959527921	北京市鸿儒金融教育基金会#北京市刘鸿儒金融教育基金会#北京市刘鸿儒金融科学发展基金会
591	北京市华侨事业基金会	531100005003066474	北京市华侨事业基金会
592	北京华夏中医药发展基金会	53110000784801083J	北京市华夏中医药发展基金会#北京华夏中医药发展基金会
593	北京市华夏人慈善基金会	53110000692305074Y	北京市华夏人慈善基金会
594	北京市华夏医疗保健基金会	53110000692301081R	北京市华夏医疗保健基金会
595	北京市发展侨务事业基金会	531100005003085972	北京市发展侨务事业基金会
596	北京市吴秉铨病理学发展基金会	53110000562050018E	北京市吴秉铨病理学发展基金会
597	北京市国家公务员培训基金会		北京市国家公务员培训基金会
598	北京市国际高尔夫发展基金会	5311000077765293XA	北京市国际高尔夫发展基金会
599	北京市壹嘉壹慈善基金会	53110000061299712R	北京市壹嘉壹慈善基金会
600	北京市希思科临床肿瘤学研究基金会	531100007747042477	北京市希思科临床肿瘤学研究基金会
601	北京市希望公益基金会	53110000754676787M	北京市希望书库基金会#北京市希望公益基金会
602	北京市志成教育基金会	53110000573150313T	北京市志成教育基金会
603	北京市怀柔教育基金会		北京市怀柔教育基金会
604	北京市惠民医药卫生事业发展基金会	53110000682852138Q	北京市惠民医药卫生事业发展基金会
605	北京市慈善基金会	53110000082821274K	北京市慈善基金会
606	北京市戈友公益援助基金会	53110000575153091X	北京市戈友公益援助基金会
607	北京市戏曲艺术发展基金会	53110000500309696U	北京市戏曲艺术发展基金会
608	北京市搜候中国城市文化基金会	53110000772552593P	北京市搜候中国城市文化基金会
609	北京市教育基金会	531100005003041743	北京市教育基金会
610	北京市曾宪义法学教育与法律文化基金会	53110000781700703M	北京市曾宪义法学教育与法律文化基金会
611	北京市李桓英医学基金会	53110000777652905W	北京市李桓英医学基金会
612	北京市梅兰芳艺术基金会	53110000500308423Q	北京市梅兰芳艺术基金会
613	北京市残疾人福利基金会	5311000069230168XJ	北京市残疾人福利基金会
614	北京市永源公益基金会	531100000717194267	北京市永源公益基金会
615	北京市法律援助基金会	53110000500310021R	北京市法律援助基金会
616	北京市海淀教育基金会	53110000500308781R	北京市海淀教育基金会
617	北京市温暖基金会	531100005003093113	北京市温暖基金会#北京市职工送温暖基金会
618	北京市王忠诚医学基金会	5311000076935334X3	北京市王忠诚医学基金会
619	北京市环亚青年交流发展基金会	53110000085470756U	北京市环亚青年交流发展基金会
620	北京市第八十中学校友促进教育基金会	53110000575154975J	北京市第八十中学校友促进教育基金会
621	北京市精益职业教育基金会	53110000500307367C	北京市精益职业教育基金会#北京市职业教育基金会
622	北京市紧急救援基金会	53110000563603331G	北京市紧急救援基金会
623	北京市红十字基金会	53110000675052650A	北京市红十字基金会
624	北京市美疆助学基金会	53110000779502847L	北京市美疆助学基金会
625	北京市育英学校校友促进教育基金会	531100005603758390	北京市育英学校校友促进教育基金会
626	北京市董辅礽经济科学发展基金会	53110000769903225R	北京市董辅礽经济科学发展基金会
627	北京市西部阳光农村发展基金会	5311000078860292XT	北京市西部阳光农村发展基金会
628	北京市金杜公益基金会	531100006705541684	北京市金杜公益基金会
629	北京市长江科技扶贫基金会	531100005513528894	北京市长江科技扶贫基金会
630	北京市阳光保险爱心基金会	531100005530637301	北京市阳光保险爱心基金会
631	北京市陆学艺社会学发展基金会	53110000681955944W	北京市陆学艺社会学发展基金会
632	北京市黄胄美术基金会	531100005003012642	北京市黄胄美术基金会
633	北京师范大学教育基金会	531100007985011538	北京师范大学教育基金会
634	北京幽兰文化基金会	53110000560352389K	北京幽兰文化基金会
635	北京康万家慈善基金会	531100005938454032	北京康万家慈善基金会
636	北京康盟慈善基金会	53110000554801061D	北京康盟慈善基金会
637	北京弘毅慈善基金会	531100006908001350	北京弘毅慈善基金会
638	北京当代艺术基金会	53110000682855347P	北京当代艺术基金会#北京当代芭蕾舞团艺术基金会
639	北京彩虹公益基金会	53110000074168180C	北京彩虹公益基金会
640	北京彩虹桥慈善基金会	53110000599625874K	北京彩虹桥慈善基金会
641	北京德恒公益基金会	53110000080462773C	北京德恒公益基金会
642	北京志愿服务基金会	53110000693203061R	北京志愿服务基金会
643	北京志远功臣关爱基金会	531100005977234708	北京志远功臣关爱基金会
644	北京怡海公益基金会	53110000055608574Y	北京怡海公益基金会
645	北京惠兰医学基金会	53110000774704263W	北京惠兰医学基金会
646	北京感恩公益基金会	53110000596063925M	北京感恩公益基金会
647	北京慈寿公益基金会	531100000673185903	北京慈寿公益基金会
648	北京慈弘慈善基金会	53110000560350690B	北京慈弘慈善基金会
649	北京慧众慈善基金会	531100006949501730	北京慧众慈善基金会
650	北京憨福儿公益基金会	531100000828775508	北京憨福儿公益基金会
651	北京戏曲艺术教育基金会	53110000500312270M	北京戏曲艺术教育基金会
652	北京成达教育基金会	53110000074168164N	北京成达教育基金会
653	北京成龙慈善基金会	531100006774025541	北京成龙慈善基金会
654	北京儿童健康基金会	53110000500313193J	北京扶助贫困儿童就医健康基金会#北京儿童健康基金会
655	北京探路者公益基金会	5311000008969559XD	北京探路者公益基金会
656	北京故宫文物保护基金会	53110000560352020G	北京故宫文物保护基金会
657	北京教育科学研究优秀成果奖励基金会	531100005003062848	北京教育科学研究优秀成果奖励基金会
658	北京文化发展基金会	53110000500309514P	北京文化发展基金会
659	北京文化艺术基金会	53110000783951901A	北京文化艺术基金会
660	北京文物保护基金会	53110000500301053J	北京文物保护基金会
661	北京新发展慈善基金会	53110000554802339B	北京新发展慈善基金会
662	北京梦无缺慈善基金会	53110000599640177G	北京梦无缺慈善基金会#北京新徽商慈善基金会
663	北京新阳光慈善基金会	531100006876001833	北京新阳光慈善基金会
664	北京春晖博爱儿童救助公益基金会	53110000053636838L	北京春晖博爱儿童救助公益基金会
665	北京春苗儿童救助基金会	531100005620503332	北京春苗儿童救助基金会
666	北京晓星芭蕾艺术发展基金会	53110000563602435B	北京晓星芭蕾艺术发展基金会
667	北京景山教育基金会	53110000500305548A	北京景山教育基金会
668	北京曹雪芹文化发展基金会	53110000062847063T	北京曹雪芹文化发展基金会
669	北京杏霖健康公益基金会	531100000628276011	北京杏霖健康公益基金会
670	北京林业大学教育基金会	53110000795952805N	北京林业大学教育基金会
671	北京桂馨慈善基金会	531100006819525404	北京桂馨慈善基金会
672	北京桥爱慈善基金会	53110000064882583G	北京桥爱慈善基金会
673	北京歌华文化创意产业发展基金会	531100006728020061	北京歌华文化创意产业发展基金会
674	北京民族文化遗产保护基金会	53110000799004984T	北京民族文化遗产保护基金会
675	北京民生中国书法公益基金会	53110000596033945G	北京民生中国书法公益基金会
676	北京民生文化艺术基金会	53110000554801248C	北京民生文化艺术基金会
677	北京水墨公益基金会	53110000069600709K	北京水墨公益基金会
678	北京水源保护基金会	531100006684027126	北京水源保护基金会
679	北京永青农村发展基金会	53110000067251605Q	北京永青农村发展基金会
680	北京河南进京务工创业人员志愿服务基金会	53110000558502931M	北京河南进京务工创业人员志愿服务基金会
681	北京济生疼痛医学基金会	5311000056040007XW	北京济生疼痛医学基金会
682	北京海鹰脊柱健康公益基金会	531100005790000840	北京海鹰脊柱健康公益基金会
683	北京满学研究基金会		北京满学研究基金会
684	北京爱它动物保护公益基金会	53110000573150276L	北京爱它动物保护公益基金会
685	北京爱心万里公益基金会	5311000006131613XC	北京爱心万里公益基金会
686	北京爱思开幸福公益基金会	531100000828198017	北京爱思开幸福公益基金会
687	北京爱晚公益基金会	531100000695609038	北京爱晚公益基金会
688	北京环球时报公益基金会	531100000573476389	北京环球时报公益基金会
689	北京球爱的天空慈善基金会	53110000053579650L	北京球爱的天空慈善基金会
690	北京理工大学教育基金会	53100000500021676K	北京理工大学教育基金会
691	北京瑞普华老年救助基金会	53110000560359361B	北京瑞普华老年救助基金会
692	北京电影学院教育基金会	53110000053557961U	北京电影学院教育基金会
693	北京百度公益基金会	53110000563603980L	北京百度公益基金会
694	北京百高建筑科技基金会	531100000896949411	北京百高建筑科技基金会
695	北京益公公益基金会	53110000082819799K	北京益公公益基金会
696	北京祥和公益基金会	531100000696194189	北京祥和公益基金会
697	北京科学教育发展基金会	531100005996077486	北京科学教育发展基金会
698	北京科技大学教育发展基金会	531000007178330346	北京科技大学教育基金会#北京科技大学教育发展基金会
699	北京第二外国语学院教育发展基金会	53110000082862965K	北京第二外国语学院教育发展基金会
700	北京精瑞人居发展基金会	531100006615513012	北京精瑞住宅科技基金会#北京精瑞人居发展基金会
701	北京紫檀文化基金会	53110000597689946B	北京紫檀文化基金会
702	北京智慧城市公益基金会	531100000612866554	北京红社会公益基金会#北京智慧城市公益基金会
703	北京绿化基金会	53110000500309522J	北京绿化基金会
704	北京绿能煤炭经济研究基金会	53110000580800409W	北京绿能煤炭经济研究基金会
705	北京绿色未来环境基金会	531100005858086106	北京绿色未来环境基金会
706	北京绿谷教育基金会	531100006908052787	北京绿谷教育基金会
707	北京美新路公益基金会	531100005960629300	北京美新路公益基金会
708	北京老舍文艺基金会	53110000500303294K	北京老舍文艺基金会
709	北京联想控股公益基金会	5311000006278391XQ	北京联想控股公益基金会
710	北京联益慈善基金会	531100005603758203	北京联益慈善基金会
711	北京自然之友公益基金会	53110000082888954A	北京自然之友公益基金会
712	北京航空航天大学教育基金会	53100000500019779L	北京航空航天大学教育基金会
713	北京艺美公益基金会	53110000597723518G	北京艺美公益基金会
714	北京艺能爱心基金会	53110000597673952W	北京艺能爱心基金会
715	北京节能与电力技术开发基金会	531100005003031397	北京节能与电力技术开发基金会
716	北京苹果慈善基金会	531100007747043003	北京今典苹果教育慈善基金会#北京苹果慈善基金会
717	北京茅以升科技教育基金会	53110000791606585K	北京茅以升科技教育基金会
718	北京荷风艺术基金会	53110000067292319B	北京荷风艺术基金会
719	北京蔚蓝公益基金会	531100005603805154	北京蔚蓝公益基金会
720	北京观复文化基金会	5311000069230504X9	北京观复文化基金会
721	北京詹天佑土木工程科学技术发展基金会	531100007855022028	北京詹天佑土木工程科学技术发展基金会
722	北京语言大学教育基金会	5311000006963655XX	北京语言大学教育基金会
723	北京财贸学院校友促进教育基金会	531100005003067780	北京财贸学院校友促进教育基金会
724	北京远洋之帆公益基金会	53110000680453846U	北京远洋之帆公益基金会
725	北京邮电大学教育基金会	53110000500313118R	北京邮电大学教育基金会
726	北京郑杭生社会发展基金会	53110000579000113B	北京郑杭生社会发展基金会
727	北京郭应禄泌尿外科发展基金会	53110000560352610H	北京郭应禄泌尿外科发展基金会
728	北京金榜题名慈善基金会	53110000551352838U	北京金榜题名慈善基金会
729	北京金融街慈善基金会	53110000560396744J	北京金融街慈善基金会
730	北京长林公益基金会	531100000592398688	北京长林公益基金会
731	北京长江药学发展基金会	531100005548012567	北京长江药学发展基金会
732	北京长策经济研究基金会	53110000563604051Q	北京长策经济研究基金会
733	北京阳光知识产权与法律发展基金会	53110000563603323M	北京阳光知识产权与法律发展基金会
734	北京阳光老年健康基金会	53110000593880196E	北京阳光老年健康基金会
735	北京青少年发展基金会	5311000050030780XN	北京青少年发展基金会
736	北京青少年科学基金会	53110000500302806B	北京青少年科学基金会
737	北京青年创业就业基金会	5311000069320307XH	北京青年创业就业基金会
738	北京非物质文化遗产发展基金会	53110000067344537W	北京非物质文化遗产发展基金会
739	北京韩红爱心慈善基金会	53110000596078609T	北京韩红爱心慈善基金会
740	北京顺峰爱心公益基金会	531100000854708525	北京顺峰爱心公益基金会
741	北京高占祥文化艺术基金会	53110000563602291R	北京高占祥文化艺术基金会
742	北京黄河之子公益基金会	53110000067344748C	北京黄河之子公益基金会
743	北京龙门慈善基金会	531100005603510875	北京龙门慈善基金会
744	北华大学教育基金会	53220000696121387B	北华大学教育基金会
745	宁夏回族自治区北方民族大学教育发展基金会		宁夏回族自治区北方民族大学教育发展基金会#北方民族大学教育发展基金会
746	北流见义勇为慈善基金会	53450981052700885P	北流见义勇为慈善基金会
747	北海天宁慈善基金会	534505005998394859	北海天宁慈善基金会
748	华中农业大学教育发展基金会	53100000717841544W	华中农业大学教育发展基金会
749	华中师范大学教育发展基金会	53420000503589574U	华中师范大学教育发展基金会
750	华中科技大学教育发展基金会	534200005035899025	华中科技大学教育发展基金会
751	华侨茶业发展研究基金会	53100000500016930A	华侨茶业发展研究基金会
752	华民慈善基金会	531000005000209721	华民慈善基金会
753	华润慈善基金会		华润慈善基金会
754	华阳慈善基金会		华阳慈善基金会
755	华鼎国学研究基金会	531000007178327282	华鼎国学研究基金会
756	南京中医药大学教育发展基金会	53320000509158388K	南京中医药大学教育发展基金会
757	南京中国药科大学教育发展基金会	53320000509158302Q	南京中国药科大学教育发展基金会
758	南京交通职业技术学院教育发展基金会	5332000050916012X1	南京交通职业技术学院教育发展基金会
759	南京人口管理干部学院教育发展基金会		南京人口管理干部学院教育发展基金会
760	南京体育学院体育发展基金会	53320000509160322Q	南京体育学院体育发展基金会
761	南京信息大学教育发展基金会		南京信息工程大学教育发展基金会#南京信息大学教育发展基金会
762	南京信息职业技术学院教育发展基金会	5332000050916004XD	南京信息职业技术学院教育发展基金会
763	南京儿童医院医学发展医疗救助基金会	53320000509161827U	南京儿童医院医学发展医疗救助基金会
764	南京农业大学教育发展基金会	533200005091585213	南京农业大学教育发展基金会
765	南京化工职业技术学院教育发展基金会		南京化工职业技术学院教育发展基金会
766	南京医科大学教育发展基金会	53320000509158687H	南京医科大学教育发展基金会
767	南京外国语学校教育基金会	533200005091581774	南京外国语学校教育基金会
768	南京大吉慈善基金会	53320000509161683A	南京大吉慈善基金会
769	南京大学教育发展基金会	53320000509158003T	南京大学教育发展基金会
770	南京大报恩文化发展基金会	53320000509158484W	金陵大报恩寺塔文化发展基金会#南京大报恩文化发展基金会
771	南京审计大学教育发展基金会	53320000509158265J	南京审计大学教育发展基金会#南京审计学院教育发展基金会
772	南京工业大学教育发展基金会	53320000509158548T	南京工业大学教育发展基金会
773	南京工业职业技术学院教育发展基金会	533200005091604107	南京工业职业技术学院教育发展基金会
774	南京工程学院教育发展基金会	53320000509158660R	南京工程学院教育发展基金会
775	南京市下关区见义勇为基金会	53320000509160058D	南京市下关区见义勇为基金会
776	南京市中小学幼儿教师奖励基金会	53320000511158280M	南京市中小学幼儿教师奖励基金会
777	南京市中小学生科技活动基金会	53320000509171283B	南京市中小学生科技活动基金会
778	南京市六合区见义勇为基金会	53320000509159647L	南京市六合区见义勇为基金会
779	南京市建邺区见义勇为基金会	5332000050915976XG	南京市建邺区见义勇为基金会
780	南京市栖霞区见义勇为基金会	533200005091597353	南京市栖霞区见义勇为基金会
781	南京市残疾人福利基金会	53320000509172198D	南京市残疾人福利基金会
782	南京市江宁区教育发展基金会	533200005091612883	南京市江宁区教育发展基金会
783	南京市江宁区见义勇为基金会	53320000509159057K	南京市江宁区见义勇为基金会
784	南京市法律援助基金会	53320000509160648E	南京市法律援助基金会
785	南京市浦口区扶贫基金会	533200005091585993	南京市浦口区扶贫基金会
786	南京市浦口区见义勇为基金会	53320000509159831C	南京市浦口区见义勇为基金会
787	南京市溧水区见义勇为基金会	53320000509159874R	南京市溧水县见义勇为基金会#南京市溧水区见义勇为基金会
788	南京市爱心援助特困职工基金会	53320000509158951W	南京市爱心援助特困职工基金会
789	南京市玄武区见义勇为基金会	53320000509159452T	南京市玄武区见义勇为基金会
790	南京市秦淮区见义勇为基金会	53320000509159815N	南京市秦淮区见义勇为基金会
791	南京市见义勇为基金会	5332000050917226X1	南京市见义勇为基金会
792	南京市金陵中学教育发展基金会	53320000509160824B	南京市金陵中学教育发展基金会
793	南京市雨花台区见义勇为基金会	533200005091597278	南京市雨花台区见义勇为基金会
794	南京市高淳区见义勇为基金会	53320000509159065E	高淳县见义勇为基金会#南京市高淳区见义勇为基金会
795	南京市鼓楼区见义勇为基金会	53320000679035188A	南京市鼓楼区见义勇为基金会
796	南京市鼓楼教育基金会	5332000050916194XP	南京市鼓楼教育基金会
797	南京师范大学教育发展基金会	533200005091581181	南京师范大学教育发展基金会
798	南京师范大学泰州学院教育发展基金会	53320000509158425R	南京师范大学泰州学院教育发展基金会
799	南京师范大学附属中学教育发展基金会	533200005091608326	南京师范大学附属中学教育发展基金会
800	南京新城市慈善基金会	533200005091599628	南京新城市慈善基金会
801	南京晓庄学院教育发展基金会	53320000509159292K	南京晓庄学院教育发展基金会
802	南京林业大学教育发展基金会	533200005091593059	南京林业大学教育发展基金会
803	南京柯菲平公益基金会	5332000050916215XJ	南京柯菲平公益基金会
804	南京森林警察学院教育发展基金会	53320000509158070Q	南京森林公安教育发展基金会#南京森林警察学院教育发展基金会
805	南京海外工商管理专修学院教育基金会	53320000509159217T	南京海外工商管理专修学院教育基金会
806	南京牛首山公益慈善基金会	53320000509161915A	南京牛首山公益慈善基金会
807	南京特殊教育师范学院教育发展基金会	533200005091601974	南京特殊教育师范学院教育发展基金会#南京特殊教育职业技术学院教育发展基金会
808	南京理工大学教育发展基金会	533200005091582225	南京理工大学教育发展基金会
809	南京理工大学泰州科技学院教育发展基金会	533200005091593134	南京理工大学泰州科技学院教育发展基金会
810	南京理工大学紫金学院教育发展基金会	53320000509159719D	南京理工大学紫金学院教育发展基金会
811	南京航空航天大学教育发展基金会	53320000509201075H	南京航空航天大学教育发展基金会
812	南京艺术学院教育发展基金会	53320000509158193R	南京艺术学院教育发展基金会
813	南京财经大学教育发展基金会	53320000509158206F	南京财经大学教育发展基金会
814	南京邮电大学教育发展基金会	533200005091587750	南京邮电大学教育发展基金会
815	南京金陵文化保护发展基金会	533200005091607282	南京金陵文化保护发展基金会
816	南京金鹰国际慈济基金会	53320000509158097G	南京金鹰国际慈济基金会
817	南京铁道职业技术学院教育发展基金会	533200005091603731	南京铁道职业技术学院教育发展基金会
818	南京鼓楼医院医学发展医疗救助基金会	53320000509158919H	南京鼓楼医院医学发展医疗救助基金会
819	南充市教育基金会	53510000504895434D	南充市教育基金会
820	南充市高坪区阳光助学基金会	53510000696969038M	南充市高坪区阳光助学基金会
821	南宁市教育基金会	534501005071608045	南宁市教育基金会
822	南安市仑苍镇教育发展基金会	533500006784911576	南安市仑苍镇教育发展基金会
823	南安市官桥镇林荣南教育基金会	533500000543330116	南安市官桥镇林荣南教育基金会
824	南安市山前扶贫基金会	53350000075019806G	南安市山前扶贫基金会
825	南安市李德茂教育基金会	53350000699007192G	南安市李德茂教育基金会
826	南安市石井创新社会管理公益基金会	53350000597863182X	南安市石井创新社会管理公益基金会
827	南安市芙蓉基金会	53350000512854026E	南安市芙蓉基金会
828	南安市英都教育基金会	533500006692904683	南安市英都教育基金会
829	南安市黄良庵慈善基金会	533500005895524219	南安市黄良庵慈善基金会
830	南平市困难党员帮扶基金会	53350000662833837Y	南平市困难党员帮扶基金会
831	南昌市教育基金会	5336000069096763XC	南昌市教育基金会
832	南昌市汇仁教育基金会	53360100067469428N	南昌市汇仁教育基金会
833	南昌市青少年发展基金会	53360000087101540L	南昌市青少年发展基金会
834	南航“十分”关爱基金会	5310000050001971XC	南航“十分”关爱基金会
835	南通公安大病特困救助基金会	53320000509160947C	南通公安大病特困救助基金会
836	南通大学教育发展基金会	53320000509158310K	南通大学教育发展基金会
837	南通市崇川区慈善基金会	53320000509158863E	南通市崇川区慈善基金会
838	南通市崇川区见义勇为基金会	53320000509160680R	南通市崇川区见义勇为基金会
839	南通市广播电视大学教育发展基金会	53320000509161173W	南通市广播电视大学教育发展基金会
840	南通市慈善基金会		南通市慈善基金会
841	南通市法律援助基金会	53320000509160576M	南通市法律援助基金会
842	南通市港闸区慈善基金会	53320000509158900L	南通市港闸区慈善基金会
843	南通市港闸区见义勇为基金会	533200005091611652	南通市港闸区见义勇为基金会
844	南通市爱心帮困基金会	533200005091594958	南通市爱心帮困基金会
845	南通市老区扶贫基金会	53320000509159102L	南通市老区扶贫基金会
846	南通市见义勇为基金会	533200005091722001	南通市见义勇为基金会
847	南通市通州区慈善基金会	533200005091588201	南通市通州区慈善基金会#通州市慈善基金会
848	南通市通州区见义勇为基金会	53320000509161448A	南通市通州区见义勇为基金会
849	南通开发区慈善基金会	533200005091615871	南通开发区慈善基金会
850	南通泰慕士爱心基金会	533200005091600150	南通泰慕士爱心基金会
851	南通理治教育发展基金会	53320000509161536Q	南通理治教育发展基金会
852	江苏工程职业技术学院教育发展基金会	53320000509160285J	南通纺织职业技术学院教育发展基金会#江苏工程职业技术学院教育发展基金会
853	南通经济技术开发区见义勇为基金会	533200005091612290	南通经济技术开发区见义勇为基金会
