机构ID	机构名称	捐赠收入_限定	会费收入_限定	提供服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fa_dine	fa_asine	fa_sine	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_nechu
202	中国人权发展基金会	10533814.1	0	0	0	0	0	0	10533814.1	13707503.04	0	0	0	13707503.04	0	-3173688.94	2005504	0	0	0	981056.21	0	1082433.31	4068993.52	3035122.07	3307369.47	-10908.38	36638.22	6368221.38	0	-2299227.86
203	中国企业管理科学基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894174.76	0	0	0	871216.26	1765391.02	2412410.35	172600.09	0	124205.31	2709215.75	0	-943824.73
205	中国保护消费者基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299611.64	0	0	0	913132.57	2212744.21	2127282.52	172622.09	250	0	2300154.61	0	-87410.4
206	中国健康促进基金会	147445758.5	0	0	0	1000000	0	0	148445758.5	0	0	0	0	0	-115144017.13	33301741.37	0	0	11731487.47	0	0	2304219.17	74169.57	14109876.21	124535046.5	5133875.23	0	836	129669757.73	115144017.13	-415864.39
207	中国儿童少年基金会	366405831.11	0	0	0	50000000	0	0	416405831.11	0	0	0	0	0	-301770510.61	114635320.5	14616340.19	0	0	0	0	0	11826159.02	26442499.21	310824837.37	11741832.55	-19923.82	46440.73	322593186.83	301770510.61	5619822.99
208	中国光华科技基金会	616578224.25	0	0	0	800000	0	252294.33	617630518.58	0	0	0	0	0	-739709922.85	-122119404.27	0	0	0	0	0	44718424.17	0	44718424.17	740509922.85	45714868.46	500489.29	0	786725280.6	739709922.85	-2256933.58
209	中国光彩事业基金会	115793018.51	0	0	0	0	0	0	115793018.51	186268686.11	0	0	0	186268686.11	-497815.26	-70973482.86	0	0	0	0	0	0	11047173.01	11047173.01	2100000	2709121.26	0	294080.54	5103201.8	497815.26	6441786.47
210	中国公安民警英烈基金会	12326675.42	0	0	0	0	0	483876.22	12810551.64	0	0	0	0	0	-6341143.81	6469407.83	351000	0	0	0	0	0	7269761.22	7620761.22	15499736.19	551041.08	-2432475.32	0	13618301.95	6341143.81	343603.08
211	中国关心下一代健康体育基金会	7941146.1	0	0	0	0	0	0	7941146.1	7299237.4	0	0	0	7299237.4	0	641908.7	12918.5	0	0	0	0	0	0	12918.5	0	622762.53	-2675.39	0.24	620087.38	0	-607168.88
212	中国农业大学教育基金会	42122777.35	0	0	0	0	0	689815.66	42812593.01	15995334.23	0	0	0	15995334.23	0	26817258.78	65459.23	0	0	0	0	1454435.62	24346.12	1544240.97	0	21621.35	0	0	21621.35	0	1522619.62
213	中国出生缺陷干预救助基金会	6874726	0	0	0	179400000	0	0	186274726	0	0	0	0	0	-19903801.23	166370924.77	12349.76	0	0	0	0	0	388844.14	401193.9	18911033.94	487656.57	0	0	19398690.51	19903801.23	906304.62
214	中国初级卫生保健基金会	589306427.98	0	0	0	0	0	0	589306427.98	0	0	0	0	0	-480643505.73	108662922.25	7474812.24	0	0	0	0	3337521.75	583717.76	11396051.75	484472657.23	5817614.42	-4411.83	0	490285859.82	480643505.73	1753697.66
215	中国医学基金会	19282705.73	0	0	0	0	0	0	19282705.73	0	0	0	0	0	-19706391.33	-423685.6	445396.57	0	0	0	0	0	111846.25	557242.82	19706391.33	769294.64	0	0	20475685.97	19706391.33	-212051.82
216	中国医药卫生事业发展基金会	0	0	0	0	0	0	0	0	7147967.5	0	0	0	7147967.5	0	-7147967.5	1260195	0	0	0	0	0	808676.52	2068871.52	13741882.08	2312077.39	9065.7	0	16063025.17	0	-13994153.65
217	中国华侨公益基金会	75613524.83	0	0	0	0	0	410400	76023924.83	0	0	0	0	0	-255600	13975660.79	364122.73	0	0	0	0	186787.82	2072024.56	2622935.11	61792664.04	2624969.4	359160.34	0	64776793.78	45600	-315594.63
218	中国华夏文化遗产基金会	9105000	0	0	0	0	0	0	9105000	0	0	0	0	0	-6323649.84	2781350.16	1530000	0	0	0	0	0	387287.02	1917287.02	7625822.21	202930.24	0	0	7828752.45	6323649.84	412184.41
219	中国华文教育基金会	2000000	0	0	0	0	0	0	2000000	0	0	0	0	0	0	2000000	27324220	0	0	0	0	0	4465917.86	31790137.86	49307111.71	2566610.09	116517.94	0	51990239.74	0	-20200101.88
220	中国博士后科学基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	2241480.37	0	1269390000	0	4736457.97	1276368093.34	1224645007.49	5346779.77	0	995944.6	1230987731.86	0	45380361.48
221	中国友好和平发展基金会	32036774.2	0	0	0	0	0	0	32036774.2	0	0	0	0	0	-43107427.79	-11070653.59	1757470.61	0	0	0	0	3981624.72	870665.99	6609761.32	43493111.58	2645664.29	-286.82	0	46138489.05	43107427.79	3578700.06
222	中国发展研究基金会	74182510.88	0	8644127.94	0	731000	0	0	83557638.82	0	0	0	0	0	-83706504.1	-148865.28	0	0	0	0	0	3325515.07	2920271.17	6245786.24	70250065.78	3334197.98	-13522.12	1525444.32	75096185.96	83706504.1	14856104.38
223	中国古生物化石保护基金会	0	0	0	0	1334800	0	0	1334800	0	0	0	0	0	-1746548.83	-411748.83	299136.18	0	471698.1	0	0	195246.42	16671.19	982751.89	3415445.49	221900.84	0	989.55	3638335.88	1746548.83	-909035.16
224	中国听力医学发展基金会	4600971.78	0	0	0	0	0	0	4600971.78	0	0	0	0	0	-4521329.14	79642.64	500	0	0	0	0	0	397708.58	398208.58	5671328.17	250136.94	0	0	5921465.11	4521329.14	-1001927.39
225	中国和平发展基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590000	0	0	0	0	26087361.1	80804.47	26758165.57	26174752.89	851046.3	-11419.37	0	27014379.82	0	-256214.25
226	中国国际战略研究基金会	0	0	0	0	0	0	0	0	88391.03	0	0	0	88391.03	0	-88391.03	0	0	0	0	0	0	287467.27	287467.27	723750.05	71239	0	0	794989.05	0	-507521.78
227	中国国际文化交流基金会	12376600	0	0	0	0	0	0	12376600	20913800	0	0	0	20913800	0	-8537200	2000000	0	0	0	0	31200	877444.32	2908644.32	0	437743.29	-484155.73	0	-46412.44	0	2955056.76
228	中国国际问题研究基金会	0	0	0	0	90000	0	0	90000	0	0	0	0	0	-237579	-147579	1694722	0	0	0	0	0	1475729.28	3170451.28	7893520.63	571674.95	-80.03	0	8465115.55	237579	-5057085.27
229	中国地质大学(武汉)教育发展基金会	4904586	0	0	0	0	0	0	4904586	5031646.97	0	0	0	5031646.97	0	-127060.97	418270.7	0	0	0	0	1123797.26	30639.42	1572707.38	0	10575	0	0	10575	0	1562132.38
230	中国妇女发展基金会	512905745.16	0	0	0	0	656775.34	18873.25	513581393.75	464350713.64	0	0	0	464350713.64	-11327936.5	37902743.61	21960314.36	0	0	0	0	5975000.75	2102363.64	30037678.75	15523683.68	16433656.33	0	0	31957340.01	11327936.5	9408275.24
231	中国孔子基金会	1635025.33	0	0	0	10000000	0	0	11635025.33	3519974.75	0	0	0	3519974.75	0	8115050.58	751300	0	0	0	0	-302935.2	261768.95	710133.75	1658575.55	379441.57	0	35334.2	2073351.32	0	-1363217.58
233	中国少年儿童文化艺术基金会	2504527.52	0	0	0	0	0	0	2504527.52	0	0	0	0	0	0	2504527.52	13884724.75	0	0	0	0	0	899654.28	14784379.03	14682714.46	887749.32	0	0	15570463.78	0	-786084.75
234	中国少数民族文化艺术基金会	19105472.5	0	0	0	0	0	0	19105472.5	0	0	0	0	0	-17906207.49	1199265.01	1359577.5	0	0	0	0	-45272.39	275181.79	1589486.9	18180250.17	752298.54	0	17575.13	18950123.84	17906207.49	545570.55
235	中国志愿服务基金会	5863100	0	0	0	0	0	0	5863100	0	0	0	0	0	-3063100	2800000	13524814	0	0	0	0	1396273.97	166848.18	15087936.15	13785853.63	1069656.38	57309.5	103.26	14912922.77	3063100	3238113.38
236	中国扶贫基金会	490195703.2	0	0	0	0	0	0	490195703.2	0	0	0	0	0	-397536724.73	92658978.47	144000	0	0	0	0	44255742.98	10120986.52	54520729.5	394063899.66	21081470.29	-83717.42	12167.38	415073819.91	397536724.73	36983634.32
237	中国拥军优属基金会	31477964.3	0	0	0	0	0	0	31477964.3	0	0	0	0	0	-22090759.03	9387205.27	310.86	0	0	0	0	224615.02	15331.24	240257.12	22347185.76	635667.74	0	272225.52	23255079.02	22090759.03	-924062.87
238	中国教师发展基金会	10250000	0	0	0	1648900	0	0	11898900	80025	0	0	0	80025	0	11818875	13556500	0	0	0	0	0	21983.57	13578483.57	22387207.8	1783078.06	0	0	24170285.86	0	-10591802.29
239	中国教育发展基金会	282915337.44	0	0	0	778000000	0	37.46	1060915374.9	0	0	0	0	0	-1068496991.29	-7581616.38	981539.52	0	0	0	0	0	23353716.65	24335256.17	1071441362.92	3012539.85	-103.49	0	1074453799.28	1068496991.29	18378448.17
240	中国敦煌石窟保护研究基金会	18861.42	0	0	0	0	0	0	18861.42	0	0	0	0	0	0	18861.42	8742026.19	0	0	0	0	133300	675750.89	9551077.08	5701092.56	354709.3	0	349.4	6056151.26	0	3494925.82
241	中国文学艺术基金会	21743648.91	0	0	0	98025000	0	0	119768648.91	0	0	0	0	0	-105304737.85	14463911.06	42371411.58	0	0	0	0	1798137	2399852.63	46569401.21	118432792.69	3547959.29	0	0	121980751.98	105304737.85	29893387.08
242	中国文物保护基金会	15518618	0	0	0	240000	0	0	15758618	18916108	0	0	0	18916108	-140000	-3297490	1663290	0	0	0	0	0	470908.89	2134198.89	547384.37	889438.04	0	0	1436822.41	140000	837376.48
243	中国检察官教育基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	-6000000	-6000000	2220000	0	0	373428.66	0	3366739.72	1220592.9	7180761.28	95732421.09	1135665.22	-657.1	856.47	96868285.68	6000000	-83687524.4
