,ba_cn,fa_accoe_last,fa_accoe_this,fa_accos_last,fa_accos_this,fa_accou_last,fa_accou_this,fa_adexe_last,fa_adexe_this,fa_adexs_last,fa_adexs_this,fa_adexu_last,fa_adexu_this,fa_asine_last,fa_asine_this,fa_asins_last,fa_asins_this,fa_asinu_last,fa_asinu_this,fa_cotoe_last,fa_cotoe_this,fa_cotos_last,fa_cotos_this,fa_cotou_last,fa_cotou_this,fa_dine_last,fa_dine_this,fa_dins_last,fa_dins_this,fa_dinu_last,fa_dinu_this,fa_etoue_last,fa_etoue_this,fa_etous_last,fa_etous_this,fa_etouu_last,fa_etouu_this,fa_fuexe_last,fa_fuexe_this,fa_fuexs_last,fa_fuexs_this,fa_fuexu_last,fa_fuexu_this,fa_gine_last,fa_gine_this,fa_gins_last,fa_gins_this,fa_ginu_last,fa_ginu_this,fa_gse_last,fa_gse_this,fa_gss_last,fa_gss_this,fa_gsu_last,fa_gsu_this,fa_inine_last,fa_inine_this,fa_inins_last,fa_inins_this,fa_ininu_last,fa_ininu_this,fa_intoe_last,fa_intoe_this,fa_intos_last,fa_intos_this,fa_intou_last,fa_intou_this,fa_neche_last,fa_neche_this,fa_nechs_last,fa_nechs_this,fa_nechu_last,fa_nechu_this,fa_otexe_last,fa_otexe_this,fa_otexs_last,fa_otexs_this,fa_otexu_last,fa_otexu_this,fa_otine_last,fa_otine_this,fa_otins_last,fa_otins_this,fa_otinu_last,fa_otinu_this,fa_pine_last,fa_pine_this,fa_pins_last,fa_pins_this,fa_pinu_last,fa_pinu_this,fa_sine_last,fa_sine_this,fa_sins_last,fa_sins_this,fa_sinu_last,fa_sinu_this,fp_yr,name,ricf_oid
0,漳州市见义勇为基金会,"200,000.00","200,000.00","1,355,942.19","1,486,244.72","1,155,942.19","1,286,244.72",0.00,0.00,"181,184.07","140,270.60","181,184.07","140,270.60",0.00,0.00,0.00,0.00,0.00,0.00,"200,000.00","200,000.00","1,543,061.26","1,664,414.32","1,343,061.26","1,464,414.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,935.00","37,899.00","5,935.00","37,899.00",0.00,0.00,"455,400.00","402,882.34","455,400.00","402,882.34",,,,,,,0.00,0.00,"1,344,000.00","1,342,000.00","1,344,000.00","1,342,000.00",0.00,0.00,"1,838,439.47","1,803,406.20","1,838,439.47","1,803,406.20","-200,000.00","-200,000.00","295,378.21","138,991.88","495,378.21","338,991.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"39,039.47","58,523.86","39,039.47","58,523.86",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,漳州市见义勇为基金会,2645.0
1,河南省老年文化事业发展基金会,0.00,0.00,"254,655.00","222,755.00","254,655.00","222,755.00",0.00,0.00,"13,592.00","15,090.00","13,592.00","15,090.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"268,789.00","238,302.62","268,789.00","238,302.62",0.00,0.00,"299,028.00","506,300.00","299,028.00","506,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542.00,457.62,542.00,457.62,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"299,037.50","506,300.00","299,037.50","506,300.00",0.00,0.00,"30,248.50","267,997.38","30,248.50","267,997.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,9.50,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,河南省老年文化事业发展基金会,2147.0
2,吉林省残疾人福利基金会,0.00,0.00,"5,172,398.00","22,347,122.21","5,172,398.00","22,347,122.21",0.00,0.00,"82,458.76","216,942.54","82,458.76","216,942.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,254,856.76","22,564,064.75","5,254,856.76","22,564,064.75",0.00,0.00,"10,223,917.84","17,418,140.68","10,223,917.84","17,418,140.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,000,000.00",0.00,"20,000,000.00",0.00,,,,,,,0,0,1461944.93,0,1461944.93,0,0.00,0.00,"31,757,275.45","18,457,024.10","31,757,275.45","18,457,024.10",0.00,0.00,"26,502,418.69","-4,107,040.65","26,502,418.69","-4,107,040.65",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"71,412.68","1,038,883.42","71,412.68","1,038,883.42",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,吉林省残疾人福利基金会,928.0
3,陈香梅公益基金会,0.00,0.00,"8,211,419.96","13,228,861.23","8,211,419.96","13,228,861.23",0.00,0.00,"336,380.17","738,052.10","336,380.17","738,052.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,547,800.13","13,966,913.33","8,547,800.13","13,966,913.33","4,688,205.86","14,147,428.92","4,857,118.33","20,788,757.13","168,912.47","6,641,328.21","-4,810,108.90","-10,175,167.51",0.00,0.00,"4,810,108.90","10,175,167.51",0.00,0.00,0.00,0.00,0.00,0.00,"600,000.00",0.00,"600,000.00",0.00,0.00,0.00,,,,,,,0,0,314876.8,484085.5,314876.8,484085.5,"5,288,205.86","14,147,428.92","5,773,620.72","21,274,655.94","485,414.86","7,127,227.02","478,096.96","3,972,261.41","-2,774,179.41","7,307,742.61","-3,252,276.37","3,335,481.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,625.59","1,813.31","1,625.59","1,813.31",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,陈香梅公益基金会,3161.0
4,中国青年创业就业基金会,0.00,0.00,"113,495,491.62","102,466,811.18","113,495,491.62","102,466,811.18",0.00,0.00,"2,224,839.43","3,540,544.27","2,224,839.43","3,540,544.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"115,710,326.44","106,002,229.63","115,710,326.44","106,002,229.63","82,987,003.96","91,411,207.36","87,987,003.96","91,411,207.36","5,000,000.00",0.00,"-113,495,491.62","-102,466,811.18",0.00,0.00,"113,495,491.62","102,466,811.18",0.00,0.00,"-10,004.61","-5,125.82","-10,004.61","-5,125.82",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,1141479.45,0,1141479.45,0,"82,987,003.96","91,411,207.36","93,778,179.04","102,037,204.32","10,791,175.08","10,625,996.96","-30,508,487.66","-11,055,603.82","-21,932,147.40","-3,965,025.31","8,576,340.26","7,090,578.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,649,695.63","10,625,996.96","4,649,695.63","10,625,996.96",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中国青年创业就业基金会,276.0
5,云南云投建设扶贫教育基金会,0.00,0.00,0.00,"50,000.00",0.00,"50,000.00",0.00,0.00,0.00,"1,000.00",0.00,"1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"51,762.40",0.00,"51,762.40",0.00,0.00,0.00,"296,924.10",0.00,"296,924.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,762.40,0.00,762.40,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,"301,392.78",0.00,"301,392.78",0.00,0.00,0.00,"249,630.38",0.00,"249,630.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,468.68",0.00,"4,468.68",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,云南云投建设扶贫教育基金会,4692.0
6,中国移动慈善基金会,0.00,0.00,"38,300,000.00","38,300,000.00","38,300,000.00","38,300,000.00",0.00,0.00,"22,400.00","15,400.00","22,400.00","15,400.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"38,322,400.00","38,315,400.00","38,322,400.00","38,315,400.00",0.00,0.00,"35,000,000.00","38,000,000.00","35,000,000.00","38,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"36,963,475.85","39,024,401.70","36,963,475.85","39,024,401.70",0.00,0.00,"-1,358,924.15","709,001.70","-1,358,924.15","709,001.70",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,963,475.85","1,024,401.70","1,963,475.85","1,024,401.70",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中国移动慈善基金会,263.0
7,河南省民营企业信用发展基金会,"1,000,000.00","3,000,000.00","1,008,200.00","3,000,000.00","8,200.00",0.00,0.00,0.00,"90,872.95","53,402.04","90,872.95","53,402.04",0.00,0.00,0.00,0.00,0.00,0.00,"1,000,000.00","3,000,000.00","1,099,343.32","3,053,612.04","99,343.32","53,612.04","1,000,000.00","3,000,000.00","1,100,000.00","3,000,000.00","100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"1,000,000.00","3,000,000.00","1,117,595.17","3,007,964.33","117,595.17","7,964.33",0.00,0.00,"18,251.85","-45,647.71","18,251.85","-45,647.71",0.00,0.00,270.37,210.00,270.37,210.00,0.00,0.00,"17,595.17","7,964.33","17,595.17","7,964.33",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,河南省民营企业信用发展基金会,2133.0
8,中远海运慈善基金会,"24,117,100.00","24,410,182.00","31,610,652.20","33,070,794.00","7,493,552.20","8,660,612.00",0.00,0.00,"172,964.89","216,945.31","172,964.89","216,945.31",0.00,0.00,0.00,0.00,0.00,0.00,"24,117,100.00","24,410,182.00","31,783,617.09","33,287,739.31","7,666,517.09","8,877,557.31","21,608,000.00","21,707,600.00","22,020,374.29","21,947,600.00","412,374.29","240,000.00","-3,349,869.72","1,055,082.00",0.00,0.00,"3,349,869.72","-1,055,082.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",0.00,0.00,,,,,,,0,0,21154922.92,27848549,21154922.92,27848549,"22,608,000.00","22,707,600.00","45,699,712.19","51,246,093.21","23,091,712.19","28,538,493.21","-4,858,969.72","-647,500.00","13,916,095.10","17,958,353.90","18,775,064.82","18,605,853.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,524,414.98","449,944.21","1,524,414.98","449,944.21",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中远慈善基金会,284.0
9,河南省宋庆龄基金会,"2,117,490,867.00","130,361,631.00","2,350,028,265.41","135,417,685.80","232,537,398.41","5,056,054.80",0.00,0.00,"7,270,224.65","2,691,071.52","7,270,224.65","2,691,071.52",0.00,0.00,0.00,0.00,0.00,0.00,"2,117,490,867.00","130,361,631.00","2,357,327,147.81","138,165,328.54","239,836,280.81","7,803,697.54","48,325,558.30","129,125,610.50","154,187,728.57","129,151,072.34","105,862,170.27","25,461.84","-52,725,000.00","-6,629,719.62",0.00,0.00,"52,725,000.00","6,629,719.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"48,325,558.30","129,125,610.50","154,391,580.26","129,163,044.17","106,066,021.96","37,433.67","-2,121,890,308.70","-7,865,740.12","-2,202,935,567.55","-9,002,284.37","-81,045,258.85","-1,136,544.25",0.00,0.00,"28,657.75","56,571.22","28,657.75","56,571.22",0.00,0.00,"203,851.69","11,971.83","203,851.69","11,971.83",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,河南省宋庆龄基金会,2115.0
