,ba_cn,fa_accoe_last,fa_accoe_this,fa_accos_last,fa_accos_this,fa_accou_last,fa_accou_this,fa_adexe_last,fa_adexe_this,fa_adexs_last,fa_adexs_this,fa_adexu_last,fa_adexu_this,fa_asine_last,fa_asine_this,fa_asins_last,fa_asins_this,fa_asinu_last,fa_asinu_this,fa_cotoe_last,fa_cotoe_this,fa_cotos_last,fa_cotos_this,fa_cotou_last,fa_cotou_this,fa_dine_last,fa_dine_this,fa_dins_last,fa_dins_this,fa_dinu_last,fa_dinu_this,fa_etoue_last,fa_etoue_this,fa_etous_last,fa_etous_this,fa_etouu_last,fa_etouu_this,fa_fuexe_last,fa_fuexe_this,fa_fuexs_last,fa_fuexs_this,fa_fuexu_last,fa_fuexu_this,fa_gine_last,fa_gine_this,fa_gins_last,fa_gins_this,fa_ginu_last,fa_ginu_this,fa_gse_last,fa_gse_this,fa_gss_last,fa_gss_this,fa_gsu_last,fa_gsu_this,fa_inine_last,fa_inine_this,fa_inins_last,fa_inins_this,fa_ininu_last,fa_ininu_this,fa_intoe_last,fa_intoe_this,fa_intos_last,fa_intos_this,fa_intou_last,fa_intou_this,fa_neche_last,fa_neche_this,fa_nechs_last,fa_nechs_this,fa_nechu_last,fa_nechu_this,fa_otexe_last,fa_otexe_this,fa_otexs_last,fa_otexs_this,fa_otexu_last,fa_otexu_this,fa_otine_last,fa_otine_this,fa_otins_last,fa_otins_this,fa_otinu_last,fa_otinu_this,fa_pine_last,fa_pine_this,fa_pins_last,fa_pins_this,fa_pinu_last,fa_pinu_this,fa_sine_last,fa_sine_this,fa_sins_last,fa_sins_this,fa_sinu_last,fa_sinu_this,fp_yr,name,ricf_oid
10,天津市孝慈文化发展基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,55.00,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,179.30,0.00,179.30,0.00,0.00,0.00,124.30,0.00,124.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179.23,0.00,179.23,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,天津市孝慈文化发展基金会,4742.0
11,云南省温暖工程慈善基金会,"700,000.00","1,394,849.88","1,695,706.70","1,394,849.88","995,706.70",0.00,0.00,"135,714.45","165,449.09","135,714.45","165,449.09",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"700,000.00","1,530,564.33","1,861,155.79","1,530,564.33","1,161,155.79",0.00,"700,000.00","541,498.78","730,000.00","541,498.78","30,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,240000,35750,240000,35750,0,"700,000.00","811,958.43","1,115,944.65","811,958.43","415,944.65",0.00,0.00,"-718,605.90","-745,211.14","-718,605.90","-745,211.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,459.65","350,194.65","30,459.65","350,194.65",0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,云南省温暖工程慈善基金会,343.0
12,浙江省新台州人健康救助基金会,0.00,0.00,"326,650.44","209,039.63","326,650.44","209,039.63",0.00,0.00,"60,150.00","31,750.50","60,150.00","31,750.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"376,404.31","216,221.53","376,404.31","216,221.53",0.00,0.00,"1,126,826.12","619,701.15","1,126,826.12","619,701.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-10,396.13","-24,568.60","-10,396.13","-24,568.60",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"1,126,826.12","619,701.15","1,126,826.12","619,701.15",0.00,0.00,"750,421.81","403,479.62","750,421.81","403,479.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,浙江省新台州人健康救助基金会,2288.0
13,浙江省合盛慈善基金会,0.00,0.00,"280,000.00",0.00,"280,000.00",0.00,0.00,0.00,"26,917.40","23,015.00","26,917.40","23,015.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"307,288.40","23,215.00","307,288.40","23,215.00",0.00,0.00,"280,000.00","20,000.00","280,000.00","20,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"282,048.04","21,384.48","282,048.04","21,384.48",0.00,0.00,"-25,240.36","-1,830.52","-25,240.36","-1,830.52",0.00,0.00,371.00,200.00,371.00,200.00,0.00,0.00,"2,048.04","1,384.48","2,048.04","1,384.48",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,浙江省合盛慈善基金会,2265.0
14,泛海公益基金会,0.00,0.00,"87,947,190.74","33,229,987.95","87,947,190.74","33,229,987.95",0.00,0.00,"3,054,351.68","386,080.56","3,054,351.68","386,080.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"91,001,702.12","33,616,093.51","91,001,702.12","33,616,093.51",0.00,0.00,"79,671,356.00","24,000,000.00","79,671,356.00","24,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.70,25.00,159.70,25.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,11354191.78,9553356.16,11354191.78,9553356.16,0.00,0.00,"91,027,317.35","33,692,990.06","91,027,317.35","33,692,990.06",0.00,0.00,"25,615.23","76,896.55","25,615.23","76,896.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,769.57","139,633.90","1,769.57","139,633.90",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,泛海公益基金会,2176.0
15,中华社会文化发展基金会,0.00,0.00,"16,014,675.52","24,077,763.87","16,014,675.52","24,077,763.87",0.00,0.00,"1,528,530.66","2,207,578.22","1,528,530.66","2,207,578.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,543,206.18","26,285,342.09","17,543,206.18","26,285,342.09","18,507,200.00","35,655,357.00","20,553,627.00","40,463,698.00","2,046,427.00","4,808,341.00","-15,710,963.52","-23,677,764.24",0.00,0.00,"15,710,963.52","23,677,764.24",0.00,0.00,0.00,0.00,0.00,0.00,"300,000.00",0.00,"300,000.00",0.00,0.00,0.00,,,,,,,0,0,1475806.24,1749199.97,1475806.24,1749199.97,"18,807,200.00","35,655,357.00","22,333,547.91","42,218,559.89","3,526,347.91","6,563,202.89","3,096,236.48","11,977,592.76","4,790,341.73","15,933,217.80","1,694,105.25","3,955,625.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,114.67","5,661.92","4,114.67","5,661.92",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中华社会文化发展基金会,189.0
16,云南省光彩事业基金会,"34,337,319.58","9,760,576.00","34,437,319.58","9,760,576.00","100,000.00",0.00,0.00,0.00,"182,662.85","113,769.64","182,662.85","113,769.64",0.00,0.00,0.00,0.00,0.00,0.00,"34,337,319.58","9,760,576.00","34,573,180.77","9,874,345.64","235,861.19","113,769.64","45,441,207.27","5,909,788.40","47,523,180.60","5,909,788.40","2,081,973.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-46,801.66",0.00,"-46,801.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"45,441,207.27","5,957,425.46","47,523,180.60","5,957,425.46","2,081,973.33",0.00,"11,103,887.69","-3,803,150.54","12,949,999.83","-3,916,920.18","1,846,112.14","-113,769.64",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"47,637.06",0.00,"47,637.06",0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,云南省光彩事业基金会,3618.0
17,云南士恒教育基金会,0.00,0.00,"869,811.50","749,189.02","869,811.50","749,189.02",0.00,0.00,"91,871.16","27,489.90","91,871.16","27,489.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,058,651.35","842,308.57","1,058,651.35","842,308.57",0.00,0.00,"1,142,650.00","750,000.00","1,142,650.00","750,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"96,445.09","65,153.05","96,445.09","65,153.05",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"1,142,650.00","750,000.08","1,142,650.00","750,000.08",0.00,0.00,"83,998.65","-92,308.49","83,998.65","-92,308.49",0.00,0.00,523.60,476.60,523.60,476.60,0.00,0.00,0.00,0.08,0.00,0.08,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,云南士恒教育基金会,319.0
18,辽宁省大连海事大学教育发展基金会,0.00,0.00,"2,966,909.26","5,739,564.94","2,966,909.26","5,739,564.94",0.00,0.00,"13,032.60","14,031.55","13,032.60","14,031.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,979,941.86","5,753,596.49","2,979,941.86","5,753,596.49","3,427,798.00","6,063,030.80","6,427,798.00","6,863,030.80","3,000,000.00","800,000.00","-2,952,375.92","-4,002,902.87",0.00,0.00,"2,952,375.92","4,002,902.87",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"3,586,052.36","6,136,064.95","6,858,901.04","7,109,451.30","3,272,848.68","973,386.35","633,676.44","2,133,162.08","3,878,959.18","1,355,854.81","3,245,282.74","-777,307.27",0.00,0.00,0.00,0.00,0.00,0.00,"158,254.36","73,034.15","431,103.04","246,420.50","272,848.68","173,386.35",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,辽宁省大连海事大学教育发展基金会,3011.0
19,大连市见义勇为基金会,0.00,0.00,"1,846,737.76","1,475,219.33","1,846,737.76","1,475,219.33",0.00,0.00,"310,590.23","206,246.93","310,590.23","206,246.93",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,157,327.99","1,681,466.26","2,157,327.99","1,681,466.26","1,800,000.00",0.00,"1,800,000.00","200,000.00",0.00,"200,000.00","-400,000.00","-50,000.00",0.00,0.00,"400,000.00","50,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,1600000,1600000,1600000,1600000,"1,800,000.00",0.00,"3,405,755.02","1,809,216.68","1,605,755.02","1,809,216.68","1,400,000.00","-50,000.00","1,248,427.03","127,750.42","-151,572.97","177,750.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,755.02","9,216.68","5,755.02","9,216.68",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,大连市见义勇为基金会,1052.0
20,山东理工大学教育发展基金会,"1,389,929.00","4,214,500.00","1,389,929.00","4,214,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,394,429.00","4,219,247.00","1,394,429.00","4,219,247.00",0.00,0.00,"3,092,229.00","2,433,295.40","3,092,229.00","2,433,295.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"3,097,574.85","2,440,502.15","3,097,574.85","2,440,502.15",0.00,0.00,"1,703,145.85","-1,778,744.85","1,703,145.85","-1,778,744.85",0.00,0.00,"4,500.00","4,747.00","4,500.00","4,747.00",0.00,0.00,"5,345.85","7,206.75","5,345.85","7,206.75",0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,山东理工大学教育发展基金会,1282.0
21,浙江省青少年英才奖励基金会,"121,165.44","2,269,382.35","121,165.44","2,269,382.35",0.00,0.00,0.00,0.00,0.00,"159,722.20",0.00,"159,722.20",0.00,0.00,0.00,0.00,0.00,0.00,"121,165.44","2,269,382.35","124,165.44","2,438,739.55","3,000.00","169,357.20","161,892.25","2,366,269.76","161,892.25","2,366,269.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,400000,300000,400000,300000,"161,892.25","2,366,269.76","779,049.58","2,690,462.35","617,157.33","324,192.59","40,726.81","96,887.41","654,884.14","251,722.80","614,157.33","154,835.39",0.00,0.00,"3,000.00","9,635.00","3,000.00","9,635.00",0.00,0.00,"217,157.33","24,192.59","217,157.33","24,192.59",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,浙江省青少年英才奖励基金会,2311.0
22,甘肃省社会扶贫爱心捐助基金会,0.00,0.00,0.00,"52,600.00",0.00,"52,600.00",0.00,0.00,"18,495.30","26,704.50","18,495.30","26,704.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"18,495.30","79,304.50","18,495.30","79,304.50",0.00,0.00,"763,260.70","2,500.00","763,260.70","2,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"350,000.00",0.00,"350,000.00",,,,,,,0,0,0,0,0,0,0.00,0.00,"774,814.89","450,654.24","774,814.89","450,654.24",0.00,0.00,"756,319.59","371,349.74","756,319.59","371,349.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,554.19","98,154.24","11,554.19","98,154.24",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,甘肃省社会扶贫爱心捐助基金会,3753.0
23,南都公益基金会,0.00,0.00,"27,943,160.13","35,794,831.50","27,943,160.13","35,794,831.50",0.00,0.00,"1,211,954.92","1,155,174.73","1,211,954.92","1,155,174.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"29,167,201.96","36,950,006.23","29,167,201.96","36,950,006.23","12,459,839.87","814,385.24","21,472,321.71","28,949,503.49","9,012,481.84","28,135,118.25","-4,157,659.80","-11,043,785.97",0.00,0.00,"4,157,659.80","11,043,785.97",0.00,0.00,"12,086.91",0.00,"12,086.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,6627165.71,3344978.48,6627165.71,3344978.48,"12,459,839.87","814,385.24","28,222,092.63","32,394,582.34","15,762,252.76","31,580,197.10","8,302,180.07","-10,229,400.73","-945,109.33","-4,555,423.89","-9,247,289.40","5,673,976.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"122,605.21","100,100.37","122,605.21","100,100.37",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,南都公益基金会,856.0
