	ricf_oid	ba_cn	fp_yr	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_invs	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
1093	137	上海科技发展基金会	2015	30879927.8	0.0	0.0	0.0	0.0	241719.61	31121647.41	37085263.44	591494.21	0.0	236636.1	37913393.75	-6791746.34	512239.1	52106688.31	0.0	0.0	52618927.41	12347.0	7937302.21	0.0	7949649.21	44669278.2	0.0	0.0	0.0	0.0	0.0	30140.41	30140.41	-30140.41	0.0	37847391.45
1094	53	上海巴斯德健康研究基金会	2015	0.0	0.0	0.0	0.0	0.0	55913.55	55913.55	4000000.0	0.0	0.0	27026.0	4027026.0	-3971112.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3971112.45
1095	3674	上海诺亚公益基金会	2015	2748340.42	0.0	0.0	0.0	0.0	60000.0	2808340.42	1128700.0	241886.0	0.0	2139239.17	3509825.17	-701484.75	8498100.94	135859.36	0.0	0.0	8633960.3	8488.0	4500000.0	0.0	4508488.0	4125472.3	0.0	114666.66	114666.66	0.0	0.0	578.0	578.0	114088.66	0.0	3538076.21
1096	142	上海联劝公益基金会	2015	50440806.67	0.0	1000.0	0.0	20000.0	224319.76	50686126.43	33774740.58	2071741.34	0.0	772131.39	36618613.31	14067513.12	27000000.0	1640536.9	0.0	0.0	28640536.9	2114229.0	45600000.0	0.0	47714229.0	-19073692.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	-5006178.94
1097	71	上海市宝山区教育发展基金会	2015	1597000.0	0.0	0.0	0.0	0.0	20776.72	1617776.72	565000.0	76070.0	0.0	24293.3	665363.3	952413.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	952413.42
1098	22	上海兴华教育扶贫基金会	2015	5134806.77	0.0	0.0	0.0	0.0	27311.97	5162118.74	4950000.0	150331.04	0.0	2025046.5	7125377.54	-1963258.8	128467040.0	2972965.52	0.0	0.0	131440005.52	0.0	123085243.55	0.0	123085243.55	8354761.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6391503.17
1099	3782	上海尚医医务工作者奖励基金会	2015	648500.0	0.0	0.0	0.0	0.0	0.0	648500.0	468175.0	9000.0	0.0	45655.4	522830.4	125669.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21179.48	21179.48	0.0	0.0	2412.0	2412.0	18767.48	0.0	144437.08
1100	4765	上海同心源文化发展基金会	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000000.0	2000000.0	0.0	0.0	0.0	0.0	2000000.0	0.0	2000000.0
1101	4744	上海银杏老年公益基金会	2015	2000000.0	0.0	0.0	0.0	0.0	606.28	2000606.28	0.0	0.0	0.0	217500.0	217500.0	1783106.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1783106.28
1102	4419	上海荷福慈善基金会	2015	100000000.0	0.0	0.0	0.0	0.0	111502.32	100111502.32	6900000.0	3500.0	0.0	4935.04	6908435.04	93203067.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93203067.28
1103	145	上海视觉艺术学院教育发展基金会	2015	1000000.0	0.0	0.0	0.0	0.0	219356.64	1219356.64	0.0	178550.0	8259899.08	41645.07	8480094.15	-7260737.51	0.0	5750000.0	0.0	0.0	5750000.0	433775.0	0.0	0.0	433775.0	5316225.0	3000000.0	0.0	3000000.0	0.0	0.0	0.0	0.0	3000000.0	0.0	1055487.49
1104	102	上海思麦公益基金会	2015	2108882.01	0.0	0.0	0.0	0.0	15304.34	2124186.35	1588725.8	151350.0	0.0	51977.17	1792052.97	332133.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	332133.38
1105	4118	上海大千挚爱公益基金会	2015	0.0	0.0	0.0	0.0	0.0	5627.76	5627.76	0.0	0.0	0.0	0.0	0.0	5627.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5627.76
1106	60	上海市儿童基金会	2015	12181591.8	0.0	0.0	0.0	0.0	1538193.16	13719784.96	8567888.81	60800.0	0.0	384382.42	9013071.23	4706713.73	0.0	14377.0	0.0	0.0	14377.0	20399.0	0.0	0.0	20399.0	-6022.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4700691.73
1107	4779	上海淳遂众慈公益基金会	2015	2038400.0	0.0	0.0	0.0	0.0	1594.92	2039994.92	0.0	0.0	0.0	470.0	470.0	2039524.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2039524.92
1108	4811	上海长寿社区基金会	2015	3500000.0	0.0	0.0	0.0	0.0	1666.47	3501666.47	0.0	0.0	0.0	0.0	0.0	3501666.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3501666.47
1109	4051	上海广慈转化医学研究发展基金会	2015	7384425.33	0.0	0.0	0.0	0.0	30391.78	7414817.11	1684898.4	53998.0	30493.91	7661.85	1777052.16	5637764.95	0.0	0.0	0.0	0.0	0.0	11296.0	0.0	7000000.0	7011296.0	-7011296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229564.29	-1143966.76
1110	4053	上海华爱公益基金会	2015	1008947.89	0.0	0.0	0.0	0.0	62339.65	1071287.54	384962.0	260516.06	0.0	418715.34	1064193.4	7094.14	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	3890000.0	3890000.0	-890000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-882905.86
1111	31	上海发展研究基金会	2015	823346.0	0.0	0.0	0.0	0.0	1010764.9	1834110.9	51000.0	1287242.0	0.0	3262305.49	4600547.49	-2766436.59	0.0	1260000.0	0.0	0.0	1260000.0	0.0	0.0	0.0	0.0	1260000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1506436.59
1112	103	上海恩德公益基金会	2015	0.0	0.0	0.0	0.0	0.0	163476.69	163476.69	588992.1	0.0	0.0	0.0	588992.1	-425515.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-425515.41
1113	124	上海沪利历史建筑和都市改造基金会	2015	1351000.0	0.0	0.0	0.0	0.0	28107.4	1379107.4	160000.0	0.0	0.0	1500.0	161500.0	1217607.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1217607.4
1114	120	上海汉庭社会公益基金会	2015	818050.0	0.0	0.0	0.0	0.0	52716.35	870766.35	503685.0	0.0	0.0	8816.8	512501.8	358264.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358264.55
1115	4076	上海易顺公益基金会	2015	1000000.0	0.0	0.0	0.0	0.0	76331.47	1076331.47	1748750.0	112500.0	0.0	62289.5	1923539.5	-847208.03	0.0	1447096.86	0.0	0.0	1447096.86	0.0	3500055.2	0.0	3500055.2	-2052958.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2900166.37
1116	3833	上海东方智慧十分孝心文化发展基金会	2015	531478.25	0.0	0.0	0.0	0.0	24016.95	555495.2	0.0	109550.7	495814.3	12337.42	617702.42	-62207.22	4200000.0	0.0	0.0	0.0	4200000.0	8000.0	6200000.0	0.0	6208000.0	-2008000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2070207.22
1117	4292	上海宜安梦公益基金会	2015	2000000.0	0.0	0.0	0.0	0.0	101787.91	2101787.91	80000.0	0.0	0.0	2001160.95	2081160.95	20626.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20626.96
1118	4670	上海市百将公益基金会	2015	2013364.0	0.0	0.0	0.0	0.0	2876.48	2016240.48	0.0	0.0	13364.0	471.2	13835.2	2002405.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2002405.28
