	ao_ad	ao_adex	ao_adn	ao_ate	ao_cc	ao_dd	ao_ddc	ao_ddi	ao_ddin	ao_ddn	ao_ddnn	ao_lst	ao_nni	ao_nnin	ao_od	ao_odi	ao_odin	ao_odn	ao_odnn	ao_odt	ao_oth	ao_slr	ba_cn	fp_yr	ricf_oid
1120	0.0	375.4	0.0		2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海乐三兰馨教育发展基金会	2015	4167
1121	4620256.39	19090.0	0.0		536914.9	3620256.39	150656.39	3469600.0	0.0	0.0	0.0	4413093.34	0.0	0.0	1000000.0	1000000.0	0.0	0.0	0.0	0.0	450.0	0.0	上海大学教育发展基金会	2015	3673
1122	0.0	0.0	0.0		195743.4	0.0	0.0	0.0	0.0	0.0	0.0	2621386.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海富国环保公益基金会	2015	51
1123	2981135.75	15860.93	464617.1		1084453.3	2981135.75	2348312.75	632823.0	63457.1	464617.1	401160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43500.0	上海随手公益基金会	2015	4498
1124	493281.6	4220.59	0.0		949978.84	401635.26	0.0	401635.26	0.0	0.0	0.0	2954283.99	0.0	0.0	91646.34	91646.34	0.0	0.0	0.0	0.0	-4610.82	91859.5	上海阮仪三城市遗产保护基金会	2015	152
1125	940823.6	20743.6	0.0		1141915.08	0.0	680302.7	260520.9	0.0	0.0	0.0	4525322.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.7	0.0	上海第一财经公益基金会	2015	140
1126	24584103.67	26147.0	0.0		20859265.08	24242337.61	9023932.63	15218404.98	0.0	0.0	0.0	75753465.58	0.0	0.0	341766.06	341766.06	0.0	0.0	0.0	0.0	2879.5	57229.9	上海财经大学教育发展基金会	2015	146
1127	500000.0	19052.19	0.0		776490.28	500000.0	0.0	500000.0	0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93067.25	上海战略新兴产业发展基金会	2015	4073
1128	4744250.04	65092.49	0.0		2659461.51	4744250.04	1372280.35	3371969.69	0.0	0.0	0.0	8311203.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69000.0	上海华东政法大学教育发展基金会	2015	26
1129	10040250.0	0.0	0.0		50000.0	10040250.0	40250.0	10000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1008.5	0.0	上海证券交易所公益基金会	2015	4308
1130	0.0	41491.36	0.0		1045124.14	0.0	0.0	0.0	0.0	0.0	0.0	10000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海至美公益基金会	2015	4120
1131	4686372.12	32351.4	0.0		4374339.13	4261240.0	0.0	0.0	0.0	0.0	0.0	14050203.62	0.0	0.0	425132.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海外国语大学教育发展基金会	2015	46
1132	2804730.6	2432.61	0.0		1318700.0	0.0	2437278.97	0.0	0.0	0.0	0.0	6747290.22	0.0	0.0	0.0	0.0	0.0	367451.63	0.0	0.0	38078.0	0.0	上海海事大学教育发展基金会	2015	127
1133	3953622.88	7680.0	0.0		2210498.86	3953622.88	453827.8	3499795.08	0.0	0.0	0.0	21250445.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海理工大学教育发展基金会	2015	132
1134	21831065.78	2470.0	415.6		3613189.27	21597420.78	4179570.78	17417850.0	0.0	415.6	415.6	0.0	0.0	0.0	233645.0	0.0	0.0	233645.0	0.0	0.0	115855.5	262128.5	上海觉群文教基金会	2015	4339
1135	0.0	2378.0	0.0		6410000.0	0.0	0.0	0.0	0.0	0.0	0.0	77782742.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	361925.22	0.0	上海汽车工业科技发展基金会	2015	123
1136	0.0	139985.14	0.0		24051493.07	1945000.0	0.0	1945000.0	0.0	0.0	0.0	195296604.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39276.6	511019.2	上海唐君远教育基金会	2015	36
1137	28472.19	0.0	71287.2		388287.2	28472.19	0.0	28472.0	71287.2	71287.2	0.0	3224877.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4776.0	0.0	上海商学院教育发展基金会	2015	37
1138	74114.35	9680.0	0.0		1669558.14	74114.35	0.0	74114.35	0.0	0.0	0.0	2030941.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36000.0	上海市奉贤区教育基金会	2015	68
1139	0.0	123259.37	0.0		10842329.27	0.0	0.0	0.0	3145870.0	3145870.0	0.0	4997786.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212417.75	上海医学创新发展基金会	2015	25
1140	876620.7	228551.11	0.0		3997889.74	876620.7	80000.0	796620.7	0.0	0.0	0.0	5694454.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3649.0	0.0	上海市青年创业就业基金会	2015	95
1141	30000.0	278066.5	0.0		9284796.31	30000.0	0.0	30000.0	0.0	0.0	0.0	34015769.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2365499.09	579620.0	上海市应昌期围棋教育基金会	2015	72
1142	0.0	106761.18	0.0		9369631.7	11013307.0	2308907.0	8704400.0	4358.5	4358.5	0.0	17230452.59	0.0	0.0	311730.3	0.0	0.0	311730.3	0.0	0.0	-10284.13	0.0	上海纽约大学教育发展基金会	2015	3726
1143	0.0	0.0	0.0		482867.32	0.0	0.0	0.0	0.0	0.0	0.0	644439.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30800.0	上海市杨浦区教育奖励基金会	2015	79
1144	2000000.0	2930.0	0.0		0.0	2000000.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2954.83	0.0	上海慧佳慈善基金会	2015	4497
1145	3076649.13	260653.89	2018747.73		4194747.91	3045607.04	671387.1	2374219.94	1988747.73	2018747.73	30000.0	9979869.67	0.0	0.0	31042.09	31042.09	0.0	0.0	0.0	0.0	0.0	388986.08	上海市残疾人福利基金会	2015	80
1146	3316588.88	249446.0	0.0		12388879.07	3316588.88	0.0	0.0	0.0	0.0	0.0	5935719.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10841.66	240430.0	上海科普教育发展基金会	2015	138
1147	0.0	42126.18	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1207.5	0.0	上海东方知青文化发展基金会	2015	4072
