Unnamed: 0	ba_cn	fp_agas_begin	fp_agas_end	fp_agd_begin	fp_agd_end	fp_asto_begin	fp_asto_end	fp_clas_begin	fp_clas_end	fp_csh_begin	fp_csh_end	fp_deex_begin	fp_deex_end	fp_det_begin	fp_det_end	fp_fias_begin	fp_fias_end	fp_fide_begin	fp_fide_end	fp_fifx_begin	fp_fifx_end	fp_fior_begin	fp_fior_end	fp_fito_begin	fp_fito_end	fp_flde_begin	fp_flde_end	fp_fra_begin	fp_fra_end	fp_inbu_begin	fp_inbu_end	fp_ldto_begin	fp_ldto_end	fp_lims_begin	fp_lims_end	fp_lobo_begin	fp_lobo_end	fp_lode_begin	fp_lode_end	fp_lopa_begin	fp_lopa_end	fp_lost_begin	fp_lost_end	fp_loto_begin	fp_loto_end	fp_noas_begin	fp_noas_end	fp_ntt_begin	fp_ntt_end	fp_ode_begin	fp_ode_end	fp_onin_begin	fp_onin_end	fp_otde_begin	fp_otde_end	fp_otfl_begin	fp_otfl_end	fp_otld_begin	fp_otld_end	fp_prde_begin	fp_prde_end	fp_prex_begin	fp_prex_end	fp_prp_begin	fp_prp_end	fp_rec_begin	fp_rec_end	fp_rm_begin	fp_rm_end	fp_shbo_begin	fp_shbo_end	fp_shpa_begin	fp_shpa_end	fp_shsa_begin	fp_shsa_end	fp_shta_begin	fp_shta_end	fp_sti_begin	fp_sti_end	fp_tofl_begin	fp_tofl_end	fp_tt_begin	fp_tt_end	fp_unls_begin	fp_unls_end	fp_yr	ricf_oid
2393	浙江省敏实爱心基金会		0.00		0.00		2,449,177.23		0.00		2,449,177.23		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		2,195,939.79		0.00		0.00		0.00		0.00		0.00		0.00		2,449,177.23		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,449,177.23		2,449,177.23		4,645,117.02	2015	2286
2394	浙江省富阳市老龄事业发展基金会	0	0	0	0	7,567,034.83	8,671,861.74	0	0	537,034.83	1,641,861.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30,000	30,000	30,000	30,000	0	0	7,567,034.83	8,671,861.74	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	7,000,000	7,000,000	0	0	0	0	0	0	0	0	0	0	0	0	7,537,034.83	8,641,861.74	7,567,034.83	8,671,861.74	7,567,034.83	8,671,861.74	2015	2276
2395	浙江水利水电学院教育基金会		0.00		0.00		6,458,461.53		0.00		6,453,461.53		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		6,458,461.53		0.00		0.00		0.00		5,000.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		6,458,461.53		6,458,461.53		6,458,461.53	2015	2241
2396	福建省林森基金会		17,804,255.39		25,596,908.74		35,543,838.64		0.00		7,690,202.15		0.00		30,173,726.74		221,233.89		1,073.97		0.00		222,307.86		9,993,913.24		4,576,818.00				9,772,679.35		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,370,111.90		0.00		0.00		0.00		0.00		0.00		0.00		0.00		10,597.86		44,870.00				0.00		4,576,818.00		0.00		0.00		0.00		7,745,670.01		35,543,838.64		5,370,111.90	2015	2798
2397	安徽省浮山中学教育发展基金会		0.00		0.00		3,228,127.55		0.00		98,127.55		0.00		85,600.00		0.00		0.00		0.00		0.00		0.00		85,600.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,142,527.55		0.00		2,000,000.00		0.00		0.00		0.00		0.00		0.00		0.00		1,130,000.00				0.00		85,600.00		0.00		0.00		0.00		3,228,127.55		3,228,127.55		3,142,527.55	2015	1225
2398	伊金霍洛旗玉良爱心基金会		0.00		0.00		2,449,220.06		0.00		2,449,220.06		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		1,534,900.00		0.00		0.00		0.00		0.00		0.00		0.00		2,449,220.06		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,449,220.06		2,449,220.06		914,320.06	2015	378
2399	伊金霍洛旗圣地英才基金会		0.00		0.00		54,987,579.99		0.00		9,959,451.99		0.00		0.00		13,128.00		15,402.00		0.00		28,530.00		13,128.00		0.00				0.00		0.00		54,987,579.99		0.00		0.00		0.00		0.00		0.00		0.00		54,987,579.99		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		15,000.00				0.00		0.00		0.00		0.00		45,000,000.00		54,974,451.99		54,987,579.99		0.00	2015	373
2400	乌兰察布市教育发展基金会																																																																																					2015	296
2401	内蒙古民族大学教育基金会		0.00		0.00		2,384,894.89		0.00		2,384,894.89		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		2,187,532.10		0.00		0.00		0.00		0.00		0.00		0.00		2,384,894.89		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,384,894.89		2,384,894.89		197,362.79	2015	427
2402	北京市企业家环保基金会		0.00		0.00		19,477,133.55		0.00		19,095,415.80		0.00		1,014,428.76		161,114.09		149,990.20		0.00		311,104.29		161,114.09		1,014,428.76				0.00		0.00		9,990,082.37		0.00		0.00		0.00		0.00		0.00		0.00		18,462,704.79		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		220,603.66				0.00		328,823.38		663,720.81		21,884.57		0.00		19,316,019.46		19,477,133.55		8,472,622.42	2015	584
2403	内蒙古包头市青山区教育基金会		0.00		0.00		12,477,648.45		0.00		226,439.45		0.00		240,562.90		41,209.00		51,850.00		0.00		93,059.00		41,209.00		240,562.90				0.00		0.00		8,041,250.00		0.00		0.00		0.00		0.00		0.00		0.00		12,237,085.55		0.00		12,000,000.00		182,562.90		0.00		0.00		0.00		0.00		0.00		210,000.00				0.00		58,000.00		0.00		0.00		0.00		12,436,439.45		12,477,648.45		4,195,835.55	2015	414
2404	乌兰察布市残疾人福利基金会																																																																																					2015	297
2405	黑龙江省齐齐哈尔市公安民警救助基金会		0.00		0.00		14,072,884.38		0.00		14,066,034.38		0.00		0.00		6,850.00		0.00		0.00		6,850.00		6,850.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		14,072,884.38		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		14,066,034.38		14,072,884.38		14,072,884.38	2015	3336
2406	黑龙江省玛克威慈善基金会		0.00		0.00		2,010,402.75		0.00		2,010,402.75		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		2,000,000.00		0.00		0.00		0.00		0.00		0.00		0.00		2,010,402.75		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,010,402.75		2,010,402.75		10,402.75	2015	3329
2407	山东省普觉公益基金会	0	0	0	0	2,334,522.05	2,835,966.4	0	0	1,330,272.23	2,813,265.2	0	0	3,000	13,500	3,999.6	4,234.2	2,000.4	4,000.8	0	0	6,000	8,235	3,999.6	4,234.2	3,000	13,500	0	0	0	0	0	0	318,096.66	230,071.79	0	0	0	0	0	0	0	0	0	0	0	0	2,331,522.05	2,822,466.4	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	250.22	0	0	18,467	0	0	0	0	3,000	13,500	0	0	1,000,000	0	2,330,522.45	2,831,732.2	2,334,522.05	2,835,966.4	2,013,425.39	2,592,394.61	2015	1293
2408	山东省体育基金会	0	0	0	0	56,771,181.04	60,698,007.43	0	0	56,771,181.04	60,698,007.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56,771,181.04	60,698,007.43	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56,771,181.04	60,698,007.43	56,771,181.04	60,698,007.43	56,771,181.04	60,698,007.43	2015	1287
2409	北京爱晚公益基金会		0.00		0.00		2,358,726.92		0.00		2,358,601.92		125.00		12,039.87		0.00		0.00		0.00		0.00		0.00		12,039.87				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,346,687.05		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		12,030.00		0.00		9.87		0.00		2,358,726.92		2,358,726.92		2,346,687.05	2015	687
2410	江西财经大学教育发展基金会																																																																																					2015	2015
2411	广东省一心公益基金会		0.00		0.00		18,062,333.89		0.00		17,991,029.44		0.00		0.00		60,767.41		33,628.59		0.00		94,396.00		60,767.41		0.00				0.00		0.00		7,279,908.98		0.00		0.00		0.00		0.00		0.00		0.00		18,062,333.89		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		10,537.04				0.00		0.00		0.00		0.00		0.00		18,001,566.48		18,062,333.89		10,782,424.91	2015	1410
2412	杭州市余杭区见义勇为基金会		0.00		0.00		4,883,679.01		0.00		3,849,801.01		0.00		0.00		33,878.00		0.00		0.00		33,878.00		33,878.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		4,883,679.01		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,000,000.00				0.00		0.00		0.00		0.00		0.00		4,849,801.01		4,883,679.01		4,883,679.01	2015	1804
2413	上海万宇慈善基金会	0	0	0.0	0.0	5020357.63	5199189.43	0.0	0.0	5020357.63	5199189.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5020357.63	5199189.43	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5020357.63	5199189.43	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5020357.63	5199189.43	5020357.63	5199189.43	5020357.63	5199189.43	2015	11
2414	厦门苏颂科技教育基金会		0.00		0.00		3,210,159.08		0.00		1,105,982.40		0.00		402,130.27		3,539.00		0.00		0.00		3,539.00		3,539.00		402,130.27				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,808,028.81		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,000,000.00		637.68				0.00		406,000.00		3,869.73		0.00		0.00		3,206,620.08		3,210,159.08		2,808,028.81	2015	879
2415	合肥宝业救助特困群体基金会		0.00		0.00		5,124,242.49		0.00		5,124,242.49		0.00		24,000.00		0.00		0.00		0.00		0.00		0.00		24,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,100,242.49		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		24,000.00		0.00		0.00		0.00		5,124,242.49		5,124,242.49		5,100,242.49	2015	894
2416	深圳市红荔慈善基金会		0.00		0.00		3,598,583.23		0.00		3,598,583.23		0.00		738,000.00		0.00		0.00		0.00		0.00		0.00		738,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,860,583.23		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		16,000.00		0.00		0.00		3,598,583.23		3,598,583.23		2,860,583.23	2015	2445
2417	深圳市云龙教育发展基金会		0.00		0.00		2,643,950.11		0.00		2,637,338.48		0.00		432,965.63		1,611.63		2,488.37		0.00		4,100.00		1,611.63		432,965.63				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,210,984.48		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,000.00				432,965.63		0.00		0.00		0.00		0.00		2,642,338.48		2,643,950.11		2,210,984.48	2015	2399
2418	深圳市荣格爱的力量公益基金会		0.00		0.00		2,645,062.20		0.00		933,487.30		0.00		0.00		10,962.08		6,491.92		0.00		17,454.00		10,962.08		0.00				0.00		0.00		424,437.37		0.00		0.00		0.00		0.00		0.00		0.00		2,645,062.20		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,700,612.82				0.00		0.00		0.00		0.00		0.00		2,634,100.12		2,645,062.20		2,220,624.83	2015	2453
2419	郑州市法律援助基金会	0	0	0	0	15,122,224.29	13,856,245.01	0	0	777,706.44	1,583,351.97	0	0	0	0	333,516.25	272,679.88	68,385.75	131,472.12	0	0	401,902	404,152	333,516.25	272,679.88	0	0	0	0	0	0	0	0	12,310,000	10,440,000	0	0	0	0	0	0	0	0	0	0	0	0	15,122,224.29	13,856,245.01	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	11,001.6	213.16	0	0	0	0	0	0	0	0	0	0	14,000,000	12,000,000	14,788,708.04	13,583,565.13	15,122,224.29	13,856,245.01	2,812,224.29	3,416,245.01	2015	3067
2420	河南省老年文化事业发展基金会	0	0	0	0	4,052,872.47	4,320,869.85	0	0	36,491.47	104,188.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,052,872.47	4,320,869.85	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	3,999,700	4,200,000	16,681	16,681	0	0	0	0	0	0	0	0	0	0	4,052,872.47	4,320,869.85	4,052,872.47	4,320,869.85	4,052,872.47	4,320,869.85	2015	2147
2421	河南省体育发展基金会	0	0	0	0	6,347,073.93	5,514,649.97	0	0	2,347,073.93	5,514,649.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811,000	512,500	0	0	0	0	0	0	0	0	0	0	0	0	6,347,073.93	5,514,649.97	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,000,000	0	6,347,073.93	5,514,649.97	6,347,073.93	5,514,649.97	5,536,073.93	5,002,149.97	2015	2097
2422	杭州市送温暖工程基金会	0	0	0	0	18,028,060.06	16,358,532.33	0	0	18,028,022.58	16,358,494.85	0	0	0	0	37.48	37.48	16,032.52	16,032.52	0	0	16,070	16,070	37.48	37.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,028,060.06	16,358,532.33	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,028,022.58	16,358,494.85	18,028,060.06	16,358,532.33	18,028,060.06	16,358,532.33	2015	1822
2423	河南省上上公益基金会		0.00		0.00		2,134,090.07		0.00		2,134,090.07		0.00		10,000.00		0.00		0.00		0.00		0.00		0.00		10,000.00				0.00		0.00		2,000,000.00		0.00		0.00		0.00		0.00		0.00		0.00		2,124,090.07		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		10,000.00		0.00		0.00		0.00		2,134,090.07		2,134,090.07		124,090.07	2015	2089
2424	河南省善爱公益基金会		0.00		0.00		2,138,341.89		0.00		14,946.89		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		2,138,341.89		0.00		0.00		0.00		2,023,395.00		2,023,395.00		0.00		2,138,341.89		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		114,946.89		2,138,341.89		0.00	2015	2110
2425	河南省炎黄慈善基金会		0.00		0.00		2,035,472.30		0.00		1,795,372.30		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,035,472.30		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,035,472.30		2,035,472.30		2,035,472.30	2015	2137
