Unnamed: 0	ba_cn	fp_agas_begin	fp_agas_end	fp_agd_begin	fp_agd_end	fp_asto_begin	fp_asto_end	fp_clas_begin	fp_clas_end	fp_csh_begin	fp_csh_end	fp_deex_begin	fp_deex_end	fp_det_begin	fp_det_end	fp_fias_begin	fp_fias_end	fp_fide_begin	fp_fide_end	fp_fifx_begin	fp_fifx_end	fp_fior_begin	fp_fior_end	fp_fito_begin	fp_fito_end	fp_flde_begin	fp_flde_end	fp_fra_begin	fp_fra_end	fp_inbu_begin	fp_inbu_end	fp_ldto_begin	fp_ldto_end	fp_lims_begin	fp_lims_end	fp_lobo_begin	fp_lobo_end	fp_lode_begin	fp_lode_end	fp_lopa_begin	fp_lopa_end	fp_lost_begin	fp_lost_end	fp_loto_begin	fp_loto_end	fp_noas_begin	fp_noas_end	fp_ntt_begin	fp_ntt_end	fp_ode_begin	fp_ode_end	fp_onin_begin	fp_onin_end	fp_otde_begin	fp_otde_end	fp_otfl_begin	fp_otfl_end	fp_otld_begin	fp_otld_end	fp_prde_begin	fp_prde_end	fp_prex_begin	fp_prex_end	fp_prp_begin	fp_prp_end	fp_rec_begin	fp_rec_end	fp_rm_begin	fp_rm_end	fp_shbo_begin	fp_shbo_end	fp_shpa_begin	fp_shpa_end	fp_shsa_begin	fp_shsa_end	fp_shta_begin	fp_shta_end	fp_sti_begin	fp_sti_end	fp_tofl_begin	fp_tofl_end	fp_tt_begin	fp_tt_end	fp_unls_begin	fp_unls_end	fp_yr	ricf_oid
0	山东省妇女儿童发展基金会	0	0	0	0	4,624,154.19	4,503,314.49	0	0	4,423,393.39	4,302,553.69	0	0	0	0	650.8	650.8	12,365.2	12,365.2	0	0	13,016	13,016	650.8	650.8	0	0	0	0	0	0	0	0	1,435,071.03	1,318,708.83	0	0	0	0	0	0	0	0	0	0	0	0	4,624,154.19	4,503,314.49	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	200,110	200,110	0	0	0	0	0	0	0	0	0	0	4,623,503.39	4,502,663.69	4,624,154.19	4,503,314.49	3,189,083.16	3,184,605.66	2015	1288
1	伊金霍洛旗扶贫基金会		0.00		0.00		5,706,995.68		0.00		103,014.51		0.00		0.00		3,981.17		4,817.83		0.00		8,799.00		3,981.17		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,706,995.68		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		5,600,000.00		5,703,014.51		5,706,995.68		5,706,995.68	2015	375
2	苏州汇凯爱心基金会		0.00		0.00		1,306,450.56		0.00		71,818.06		0.00		0.00		232.50		1,567.50		0.00		1,800.00		232.50		0.00				0.00		0.00		0.00		0.00		0.00		0.00		100,000.00		100,000.00		0.00		1,306,450.56		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,134,400.00				0.00		0.00		0.00		0.00		0.00		1,206,218.06		1,306,450.56		1,306,450.56	2015	2909
3	伊金霍洛旗人民教育基金会																																																																																					2015	372
4	苏州科技学院教育发展基金会																																																																																					2015	2910
5	准格尔旗教育发展基金会		0.00		0.00		24,067,685.30		0.00		2,923,685.30		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		23,668,000.00		0.00		0.00		0.00		0.00		0.00		0.00		24,067,685.30		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		21,144,000.00		24,067,685.30		24,067,685.30		399,685.30	2015	465
6	苏州市沧浪区慈善基金会																																																																																					2015	2900
7	苏州市慈善基金会		0.00		0.00		48,084,274.29		0.00		29,102,898.82		0.00		849,625.00		26,375.47		23,504.53		0.00		49,880.00		26,375.47		849,625.00				0.00		0.00		38,054,165.50		0.00		0.00		0.00		0.00		0.00		0.00		47,234,649.29		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,000.00				0.00		849,625.00		0.00		0.00		18,950,000.00		48,057,898.82		48,084,274.29		9,180,483.79	2015	2897
8	苏州市法律援助基金会		0.00		0.00		21,564,100.00		0.00		1,552,700.00		0.00		112,300.00		11,400.00		6,300.00		0.00		17,700.00		11,400.00		112,300.00				0.00		0.00		12,805,000.00		0.00		0.00		0.00		0.00		0.00		0.00		21,451,800.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		112,300.00		0.00		0.00		20,000,000.00		21,552,700.00		21,564,100.00		8,646,800.00	2015	2901
9	苏州市见义勇为基金会		0.00		0.00		41,315,295.00		0.00		15,328,999.00		0.00		71,525.00		127,857.00		0.00		0.00		127,857.00		127,857.00		71,525.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		41,243,770.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		858,439.00				0.00		71,525.00		0.00		0.00		25,000,000.00		41,187,438.00		41,315,295.00		41,243,770.00	2015	2904
10	苏州市金阊区慈善基金会																																																																																					2015	2905
11	山东省老龄事业发展基金会	0	0	0	0	6,206,575.16	5,372,453.11	0	0	2,216,358.57	1,435,367.6	0	0	111,876	3,526	190,216.59	137,085.51	139,600.41	193,481.49	0	0	329,817	330,567	190,216.59	137,085.51	111,876	3,526	0	0	0	0	0	0	1,455,055.4	388,077.9	0	0	0	0	0	0	1,800,000	1,800,000	1,800,000	1,800,000	0	0	6,094,699.16	5,368,927.11	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	111,876	3,526	0	0	0	0	2,000,000	2,000,000	4,216,358.57	3,435,367.6	6,206,575.16	5,372,453.11	4,639,643.76	4,980,849.21	2015	1298
12	苏州市姑苏区慈善基金会		0.00		0.00		32,968,385.32		0.00		26,881,295.32		0.00		15,000.00		6,086,590.00		0.00		0.00		6,086,590.00		6,086,590.00		15,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		32,953,385.32		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		500.00				0.00		15,000.00		0.00		0.00		0.00		26,881,795.32		32,968,385.32		32,953,385.32	2015	2896
13	苏州市吴中区慈善基金会																																																																																					2015	2892
14	苏州市相城区慈善基金会		0.00		0.00		45,896,009.33		0.00		7,546,009.33		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		1,679,999.39		0.00		0.00		0.00		0.00		0.00		0.00		45,896,009.33		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,350,000.00		0.00				0.00		0.00		0.00		0.00		35,000,000.00		45,896,009.33		45,896,009.33		44,216,009.94	2015	2902
15	苏州市职业大学教育发展基金会																																																																																					2015	2903
16	苏州园区技术学院爱心助学基金会		0.00		0.00		17,076,900.00		0.00		13,976,900.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		17,076,900.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,100,000.00				0.00		0.00		0.00		0.00		0.00		17,076,900.00		17,076,900.00		17,076,900.00	2015	2884
17	宿迁市扶贫基金会		0.00		0.00		6,165,200.00		0.00		1,045,200.00		0.00		4,300,000.00		0.00		0.00		0.00		0.00		0.00		4,300,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,865,200.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,120,000.00				0.00		4,300,000.00		0.00		0.00		0.00		6,165,200.00		6,165,200.00		1,865,200.00	2015	1262
18	宿迁市见义勇为基金会		0.00		0.00		13,708,884.97		0.00		7,108,884.97		0.00		1,608,500.00		0.00		0.00		0.00		0.00		0.00		1,608,500.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		12,100,384.97		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		6,600,000.00				0.00		1,608,500.00		0.00		0.00		0.00		13,708,884.97		13,708,884.97		12,100,384.97	2015	1263
19	宿迁学院教育发展基金会																																																																																					2015	1260
20	太仓市慈善基金会		0.00		0.00		26,691,100.00		0.00		26,611,100.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		8,469,200.00		0.00		0.00		0.00		0.00		0.00		0.00		26,691,100.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		80,000.00				0.00		0.00		0.00		0.00		0.00		26,691,100.00		26,691,100.00		18,221,900.00	2015	1113
21	泰州市残疾人福利基金会		0.00		0.00		9,587,800.00		0.00		1,483,200.00		0.00		0.00		104,600.00		124,900.00		0.00		229,500.00		104,600.00		0.00				0.00		0.00		876,200.00		0.00		8,000,000.00		0.00		0.00		8,000,000.00		0.00		9,587,800.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		1,483,200.00		9,587,800.00		8,711,600.00	2015	2181
22	中国残疾人福利基金会	0	0	0	0	782,064,787.97	842,232,110.54	0	0	514,105,726.36	534,417,940.7	0	0	11,600,916.44	9,835,022.64	112,211,041.53	108,288,519.12	24,477,129.84	27,335,483.25	0	0	136,688,171.37	135,624,002.37	112,211,041.53	108,288,519.12	11,600,916.44	9,835,022.64	377,550	377,550	0	0	0	0	119,198,631.9	147,760,393.82	0	0	0	0	0	0	7,073,676.08	21,167,393.72	7,073,676.08	21,167,393.72	0	0	770,463,871.53	832,397,087.9	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	1,525,000	940,000	50,113	140,044	66,109,231	96,288,213	0	0	11,143,198.21	9,457,472.64	0	0	80,168.23	0	80,990,000	80,990,000	662,780,070.36	712,776,197.7	782,064,787.97	842,232,110.54	651,265,239.63	684,636,694.08	2015	244
23	泰州市见义勇为基金会		0.00		0.00		186,539,635.16		0.00		56,488,779.97		0.00		0.00		41,384.19		424,343.81		0.00		465,728.00		41,384.19		0.00				0.00		0.00		0.00		0.00		130,000,000.00		0.00		0.00		130,000,000.00		0.00		186,539,635.16		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		9,471.00				0.00		0.00		0.00		0.00		0.00		56,498,250.97		186,539,635.16		186,539,635.16	2015	2182
24	南通市通州区慈善基金会																																																																																					2015	847
25	铜山区慈善基金会																																																																																					2015	3119
26	无锡灵山慈善基金会		0.00		0.00		20,861,951.35		0.00		20,055,446.68		0.00		147,447.11		331,165.24		120,552.28		0.00		451,717.52		331,165.24		147,447.11				0.00		0.00		16,729,366.29		0.00		0.00		0.00		0.00		0.00		0.00		20,714,504.24		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		475,339.43				0.00		147,283.00		0.00		164.11		0.00		20,530,786.11		20,861,951.35		3,985,137.95	2015	1764
27	无锡市滨湖区慈善基金会		0.00		0.00		77,891,100.00		0.00		37,708,500.00		0.00		0.00		52,600.00		226,200.00		0.00		278,800.00		52,600.00		0.00				0.00		0.00		9,637,500.00		0.00		0.00		0.00		80,000.00		80,000.00		0.00		77,891,100.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		40,050,000.00				0.00		0.00		0.00		0.00		0.00		77,758,500.00		77,891,100.00		68,253,600.00	2015	1762
28	无锡市见义勇为基金会		0.00		0.00		41,026,268.68		0.00		15,021,192.90		0.00		3,851,000.00		5,075.78		531,054.22		0.00		536,130.00		5,075.78		3,851,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		37,175,268.71		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		3,851,000.00		0.00		0.00		26,000,000.00		41,021,192.90		41,026,268.71		37,175,268.71	2015	1763
29	无锡市太湖禁毒基金会		0.00		0.00		3,457,061.55		0.00		3,255,858.22		0.00		0.00		1,203.33		31,796.67		0.00		33,000.00		1,203.33		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,457,061.55		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		200,000.00		3,455,858.22		3,457,061.55		3,457,061.55	2015	1760
30	无锡市文化遗产保护基金会		0.00		0.00		28,365,000.00		0.00		8,365,000.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		28,365,000.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		20,000,000.00				0.00		0.00		0.00		0.00		0.00		28,365,000.00		28,365,000.00		28,365,000.00	2015	1761
31	苏州市吴江区慈善基金会		0.00		0.00		78,523,000.14		0.00		77,957,030.14		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		78,523,000.14		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		78,523,000.14		78,523,000.14		78,523,000.14	2015	2894
32	兴化市慈善基金会																																																																																					2015	404
33	山东省鲁卫预防性病艾滋病基金会	0	0	0	0	2,708,990.14	1,890,322.24	0	0	2,708,990.14	1,890,322.24	0	0	705,000	658,780	0	0	0	0	0	0	0	0	0	0	705,000	658,780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,003,990.14	1,231,542.24	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	695,400	612,524.68	9,600	46,255.32	0	0	0	0	2,708,990.14	1,890,322.24	2,708,990.14	1,890,322.24	2,003,990.14	1,231,542.24	2015	1306
34	江苏建筑职业技术学院教育发展基金会																																																																																					2015	1920
35	江苏师范大学教育发展基金会		0.00		0.00		34,601,900.00		0.00		5,557,000.00		0.00		0.00		44,900.00		261,800.00		0.00		306,700.00		44,900.00		0.00				0.00		0.00		2,624,300.00		0.00		0.00		0.00		24,000,000.00		24,000,000.00		0.00		34,601,900.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,000,000.00				0.00		0.00		0.00		0.00		0.00		10,557,000.00		34,601,900.00		31,977,600.00	2015	1919
36	徐州市慈善基金会																																																																																					2015	1671
37	徐州市见义勇为基金会		0.00		0.00		84,232,797.78		0.00		11,298,388.56		0.00		10,251.32		472,207.00		0.00		0.00		472,207.00		472,207.00		10,251.32				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		84,222,546.46		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		20,343,000.00				0.00		10,251.32		0.00		0.00		52,119,202.22		83,760,590.78		84,232,797.78		84,222,546.46	2015	1673
38	盐城工业职业技术学院教育发展基金会		0.00		0.00		4,604,146.79		0.00		4,597,058.79		0.00		0.00		7,088.00		0.00		0.00		7,088.00		7,088.00		0.00				0.00		0.00		7,088.00		0.00		0.00		0.00		0.00		0.00		0.00		4,604,146.79		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		4,597,058.79		4,604,146.79		4,597,058.79	2015	2723
39	盐城工学院教育发展基金会		0.00		0.00		11,172,000.00		0.00		10,962,000.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		170,400.00		0.00		0.00		0.00		0.00		0.00		0.00		11,172,000.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		210,000.00				0.00		0.00		0.00		0.00		0.00		11,172,000.00		11,172,000.00		11,001,600.00	2015	2724
40	盐城市李凤祥助学扶困基金会																																																																																					2015	2726
41	盐城师范学院教育发展基金会		0.00		0.00		47,563,600.00		0.00		47,542,600.00		0.00		0.00		21,000.00		20,800.00		0.00		41,800.00		21,000.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		47,563,600.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		47,542,600.00		47,563,600.00		47,563,600.00	2015	2729
42	盐城市扶贫基金会		0.00		0.00		7,061,500.00		0.00		1,132,900.00		0.00		1,000,000.00		0.00		0.00		0.00		0.00		0.00		1,000,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		6,061,500.00		0.00		0.00		1,000,000.00		5,928,600.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		7,061,500.00		7,061,500.00		6,061,500.00	2015	2725
43	盐城市见义勇为基金会		0.00		0.00		89,936,100.00		0.00		78,746,800.00		0.00		112,500.00		103,400.00		189,900.00		0.00		293,300.00		103,400.00		112,500.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		89,823,600.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		11,085,900.00				0.00		112,500.00		0.00		0.00		0.00		89,832,700.00		89,936,100.00		89,823,600.00	2015	2728
44	中国初级卫生保健基金会	0	0	0	0	248,382,168.97	358,878,525.41	0	682,200	111,810,209.46	89,492,151.29	0	0	605,981.62	685,718.15	692,303.93	550,045.35	685,898.89	847,217.47	0	0	1,378,202.82	1,397,262.82	692,303.93	1,232,245.35	605,981.62	685,718.15	166,859.5	258,029.3	0	0	0	0	211,148,316.3	319,811,238.55	0	0	0	0	0	0	0	0	0	0	0	0	247,776,187.35	358,192,807.26	0	0	0	0	0	0	0	0	0.0	0	0	0	75,000	0	858,200	202,665	9,500	46,680.54	95,011,955.58	207,904,783.23	0	0	343,797.96	388,862.16	0	0	20,324.16	38,826.69	40,000,000	60,000,000	247,689,865.04	357,646,280.06	248,382,168.97	358,878,525.41	36,627,871.05	38,381,568.71	2015	214
45	扬中市见义勇为基金会		0.00		0.00		15,489,096.59		0.00		1,024,082.23		0.00		10,500,000.00		0.00		0.00		0.00		0.00		0.00		10,500,000.00				0.00		0.00		4,165,014.36		0.00		0.00		0.00		0.00		0.00		0.00		4,989,096.59		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		14,465,014.36				0.00		10,500,000.00		0.00		0.00		0.00		15,489,096.59		15,489,096.59		824,082.23	2015	1706
46	扬州大学教育发展基金会		0.00		0.00		106,642,243.03		0.00		71,521,878.53		0.00		1,034,108.58		0.00		0.00		0.00		0.00		0.00		1,034,108.58				0.00		0.00		7,946,864.32		0.00		0.00		0.00		35,000,000.00		35,000,000.00		0.00		105,608,134.45		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		120,364.50				0.00		1,034,108.58		0.00		0.00		0.00		71,642,243.03		106,642,243.03		97,661,270.13	2015	1707
47	扬州市见义勇为基金会		0.00		0.00		137,389,803.57		0.00		1,229,164.97		0.00		108,000.00		160,638.60		501,846.40		0.00		662,485.00		160,638.60		108,000.00				0.00		0.00		0.00		0.00		127,000,000.00		0.00		0.00		127,000,000.00		0.00		137,281,803.57		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		108,000.00		0.00		0.00		9,000,000.00		10,229,164.97		137,389,803.57		137,281,803.57	2015	1713
48	张家港保税区慈善基金会		0.00		0.00		10,441,977.18		0.00		10,441,977.18		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		87,500.00		0.00		0.00		0.00		0.00		0.00		0.00		10,441,977.18		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		10,441,977.18		10,441,977.18		10,354,477.18	2015	1658
49	张家港市慈善基金会																																																																																					2015	1663
50	张家港市韩山福民基金会		0.00		0.00		3,896,872.58		0.00		396,872.58		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,896,872.58		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,500,000.00				0.00		0.00		0.00		0.00		0.00		3,896,872.58		3,896,872.58		3,896,872.58	2015	1668
51	张家港市见义勇为基金会		0.00		0.00		28,230,893.61		0.00		17,230,893.61		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		28,230,893.61		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		11,000,000.00		28,230,893.61		28,230,893.61		28,230,893.61	2015	1666
52	张家港市巨桥惠民基金会		0.00		0.00		2,113,820.26		0.00		113,820.26		0.00		63,904.00		0.00		0.00		0.00		0.00		0.00		63,904.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,049,916.26		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,000,000.00				0.00		63,904.00		0.00		0.00		0.00		2,113,820.26		2,113,820.26		2,049,916.26	2015	1662
53	张家港市李巷益民基金会		0.00		0.00		4,465,101.92		0.00		1,453,422.92		0.00		0.00		11,679.00		3,519.00		0.00		15,198.00		11,679.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		4,465,101.92		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,000,000.00				0.00		0.00		0.00		0.00		0.00		4,453,422.92		4,465,101.92		4,465,101.92	2015	1664
54	张家港市农联爱心基金会		0.00		0.00		3,050,000.00		0.00		3,030,000.00		0.00		80,000.00		0.00		0.00		0.00		0.00		0.00		80,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,970,000.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		20,000.00				0.00		80,000.00		0.00		0.00		0.00		3,050,000.00		3,050,000.00		2,970,000.00	2015	1661
55	山东省企联企业管理科学基金会	0	0	0	0	3,657,083.33	3,425,682.14	0	0	3,657,083.33	3,425,682.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,657,083.33	3,425,682.14	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,657,083.33	3,425,682.14	3,657,083.33	3,425,682.14	3,657,083.33	3,425,682.14	2015	1286
56	张家港市闸上慈善基金会		0.00		0.00		2,102,852.00		0.00		1,501,431.00		0.00		100,824.00		1,421.00		7,529.00		0.00		8,950.00		1,421.00		100,824.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,002,028.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		600,000.00				0.00		0.00		0.00		100,824.00		0.00		2,101,431.00		2,102,852.00		2,002,028.00	2015	1667
57	镇江市丹徒区见义勇为基金会		0.00		0.00		12,272,119.71		0.00		6,137,769.71		0.00		141.37		0.00		0.00		0.00		0.00		0.00		141.37				0.00		0.00		398,818.80		0.00		0.00		0.00		0.00		0.00		0.00		12,271,978.34		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		6,134,350.00				0.00		141.37		0.00		0.00		0.00		12,272,119.71		12,272,119.71		11,873,159.54	2015	3124
58	镇江市见义勇为基金会		0.00		0.00		89,886,373.35		0.00		84,650,677.05		0.00		2,350,000.00		235,696.30		681,287.58		0.00		916,983.88		235,696.30		2,350,000.00				0.00		0.00		961,323.33		0.00		5,000,000.00		0.00		0.00		5,000,000.00		0.00		87,536,373.35		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		2,350,000.00		0.00		0.00		0.00		84,650,677.05		89,886,373.35		86,575,050.02	2015	3128
59	镇江市京口区见义勇为基金会		0.00		0.00		12,394,546.01		0.00		12,381,998.01		0.00		0.00		12,548.00		0.00		0.00		12,548.00		12,548.00		0.00				0.00		0.00		12,101,500.00		0.00		0.00		0.00		0.00		0.00		0.00		12,394,546.01		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		12,381,998.01		12,394,546.01		293,046.01	2015	3125
60	镇江市润州区见义勇为基金会		0.00		0.00		10,746,181.97		0.00		10,715,117.43		0.00		0.00		31,064.54		7,074.46		0.00		38,139.00		31,064.54		0.00				0.00		0.00		131,867.45		0.00		0.00		0.00		0.00		0.00		0.00		10,746,181.97		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		10,715,117.43		10,746,181.97		10,614,314.52	2015	3127
61	镇江市新区见义勇为基金会		0.00		0.00		13,616,366.13		0.00		616,366.13		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		144,450.73		0.00		0.00		0.00		0.00		0.00		0.00		13,616,366.13		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		13,000,000.00				0.00		0.00		0.00		0.00		0.00		13,616,366.13		13,616,366.13		13,471,915.40	2015	3126
62	正德职业技术学院教育基金会		0.00		0.00		10,188,588.45		0.00		10,188,588.45		0.00		1,117.50		0.00		0.00		0.00		0.00		0.00		1,117.50				0.00		0.00		293,688.50		0.00		0.00		0.00		0.00		0.00		0.00		10,187,470.95		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		1,117.50		0.00		0.00		0.00		10,188,588.45		10,188,588.45		9,893,782.45	2015	1846
63	中国传媒大学南广学院教育发展基金会		0.00		0.00		170,349,500.00		0.00		11,389,700.00		0.00		227,000.00		7,900.00		12,100.00		0.00		20,000.00		7,900.00		227,000.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		170,122,500.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		70,100,000.00				0.00		227,000.00		0.00		0.00		88,851,900.00		170,341,600.00		170,349,500.00		170,122,500.00	2015	204
64	中国矿业大学教育发展基金会		0.00		0.00		72,122,292.93		0.00		30,564,739.18		0.00		2,056.00		57,553.75		14,706.25		0.00		72,260.00		57,553.75		2,056.00				0.00		0.00		1,860,632.54		0.00		0.00		0.00		39,500,000.00		39,500,000.00		0.00		72,120,236.93		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,000,000.00				0.00		0.00		0.00		0.00		0.00		32,564,739.18		72,122,292.93		70,259,604.39	2015	258
65	南京紫金山天文台小行星基金会																																																																																					2015	2840
66	山东省青少年发展基金会	0	0	0	0	46,985,643.87	55,279,931.86	0	0	46,796,806.48	54,943,475.12	0	0	71,851.04	224,851.04	156,725.39	156,725.39	499,483.61	499,483.61	0	0	656,209	656,209	156,725.39	156,725.39	71,851.04	224,851.04	0	0	0	0	0	0	29,943,878.15	37,275,004.3	0	0	0	0	0	0	0	0	0	0	0	0	46,913,792.83	55,055,080.82	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	147,619.35	19,200	19,200	0	0	71,851.04	219,196	0	0	0	5,655.04	12,912	12,912	46,828,918.48	55,123,206.47	46,985,643.87	55,279,931.86	16,969,914.68	17,780,076.52	2015	1303
67	淮安市淮安区慈善基金会		0.00		0.00		17,282,087.48		0.00		17,282,087.48		0.00		199,925.70		0.00		0.00		0.00		0.00		0.00		199,925.70				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		17,082,161.78		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		199,925.70		0.00		0.00		0.00		17,282,087.48		17,282,087.48		17,082,161.78	2015	2387
68	无锡太湖学院教育发展基金会		0.00		0.00		40,120,600.00		0.00		35,498,900.00		0.00		1,816,100.00		700.00		13,000.00		0.00		13,700.00		700.00		1,816,100.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		38,304,500.00		0.00		0.00		559,800.00		0.00		0.00		0.00		0.00		4,621,000.00		0.00				0.00		1,256,300.00		0.00		0.00		0.00		40,119,900.00		40,120,600.00		38,304,500.00	2015	1886
