Unnamed: 0,ricf_oid,ba_cn,fp_yr,name,cf_doc,cf_soc,cf_srvc,cf_proc,cf_govc,cf_otca,cf_atci,cf_dopc,cf_stpc,cf_psc,cf_otpc,cf_atco,cf_anc,cf_inc,cf_inrc,cf_assc,cf_oc,cf_itci,cf_aspc,cf_invs,cf_oinc,cf_tinc,cf_intc,cf_leca,cf_tfc,cf_tfic,cf_bopc,cf_inpc,cf_ofc,cf_tfoc,cf_nfl,cf_exch,cf_ninc
915,859.0,厦门中山医院基金会,2016,厦门中山医院基金会,"2,296,988.00",0.00,0.00,0.00,0.00,"51,894.16","2,348,882.16","1,847,206.16","153,000.00","127,623.48","368,612.96","2,496,442.60","-147,560.44",0.00,"1,241,059.41",0.00,0.00,"1,241,059.41","5,030.00","4,500,000.00",0.00,"4,505,030.00","-3,263,970.59",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-3,411,531.03"
916,3015.0,辽宁省抚顺市爱心教育基金会,2016,辽宁省抚顺市爱心教育基金会,"554,903.62",0.00,0.00,0.00,0.00,"56,368.21","611,271.83","456,797.00","69,294.00",0.00,"5,777.25","531,868.25","79,403.58",0.00,0.00,0.00,0.00,0.00,"1,870.00",0.00,0.00,"1,870.00","-1,870.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"77,533.58"
917,1868.0,永嘉县人民教育基金会,2016,永嘉县人民教育基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
918,3327.0,黑龙江省残疾人福利基金会,2016,黑龙江省残疾人福利基金会,"6,959,300.00",0.00,0.00,0.00,0.00,"329,037.01","7,288,337.01","5,699,056.80","238,260.06",0.00,"213,084.86","6,150,401.72","1,137,935.29",0.00,0.00,0.00,0.00,0.00,"6,700.00",0.00,0.00,"6,700.00","-6,700.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,131,235.29"
919,5340.0,浙江省幸福慈善基金会,2016,浙江省幸福慈善基金会,"2,001,500.00",0.00,0.00,0.00,0.00,0.00,"2,001,500.00",0.00,"7,100.00","22,959.92","98,597.59","128,657.51","1,872,842.49",0.00,843.74,0.00,0.00,843.74,"13,380.00",0.00,"1,515,000.00","1,528,380.00","-1,527,536.26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"345,306.23"
920,4007.0,河北省道路交通事故救助基金会,2016,河北省道路交通事故救助基金会,0.00,0.00,0.00,0.00,0.00,"343,029,717.28","343,029,717.28",0.00,0.00,0.00,"904,279.78","904,279.78","342,125,437.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"342,125,437.50"
921,2227.0,浙江富通感恩慈善基金会,2016,浙江富通感恩慈善基金会,"2,723,697.25",0.00,0.00,0.00,0.00,"-204,458.96","2,519,238.29","4,447,539.76","47,680.00",0.00,"-259,293.27","4,235,926.49","-1,716,688.20",0.00,"1,103,201.05",0.00,0.00,"1,103,201.05",0.00,0.00,0.00,0.00,"1,103,201.05",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-613,487.15"
922,2743.0,磐安县周大庆体育发展基金会,2016,磐安县周大庆体育发展基金会,0.00,0.00,0.00,0.00,0.00,"120,089.77","120,089.77","120,000.00",0.00,0.00,"6,360.00","126,360.00","-6,270.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-6,270.23"
923,2265.0,浙江省合盛慈善基金会,2016,浙江省合盛慈善基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,515.00","7,515.00","-7,515.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,126.89","1,126.89",0.00,0.00,200.00,200.00,926.89,0.00,"-6,588.11"
924,3873.0,陕西咸阳秦都区教育发展基金会,2016,陕西咸阳秦都区教育发展基金会,0.00,0.00,0.00,0.00,0.00,"7,403.38","7,403.38","112,000.00",0.00,0.00,532.00,"112,532.00","-105,128.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-105,128.62"
