Unnamed: 0	ricf_oid	ba_cn	fp_yr	fp_csh_begin	fp_sti_begin	fp_rec_begin	fp_prp_begin	fp_rm_begin	fp_deex_begin	fp_onin_begin	fp_otfl_begin	fp_tofl_begin	fp_lost_begin	fp_lode_begin	fp_loto_begin	fp_fior_begin	fp_fide_begin	fp_fias_begin	fp_inbu_begin	fp_clas_begin	fp_fifx_begin	fp_fito_begin	fp_noas_begin	fp_agas_begin	fp_asto_begin	fp_shbo_begin	fp_shpa_begin	fp_shsa_begin	fp_shta_begin	fp_fra_begin	fp_prex_begin	fp_prde_begin	fp_ode_begin	fp_otde_begin	fp_flde_begin	fp_lobo_begin	fp_lopa_begin	fp_otld_begin	fp_ldto_begin	fp_agd_begin	fp_det_begin	fp_unls_begin	fp_lims_begin	fp_ntt_begin	fp_tt_begin	fp_csh_end	fp_sti_end	fp_rec_end	fp_prp_end	fp_rm_end	fp_deex_end	fp_onin_end	fp_otfl_end	fp_tofl_end	fp_lost_end	fp_lode_end	fp_loto_end	fp_fior_end	fp_fide_end	fp_fias_end	fp_inbu_end	fp_clas_end	fp_fifx_end	fp_fito_end	fp_noas_end	fp_agas_end	fp_asto_end	fp_shbo_end	fp_shpa_end	fp_shsa_end	fp_shta_end	fp_fra_end	fp_prex_end	fp_prde_end	fp_ode_end	fp_otde_end	fp_flde_end	fp_lobo_end	fp_lopa_end	fp_otld_end	fp_ldto_end	fp_agd_end	fp_det_end	fp_unls_end	fp_lims_end	fp_ntt_end	fp_tt_end
291	3088	重庆市南川区教育基金会	2016	2,239,376.75	0.00	984.62	0.00 	0.00	0.00	0.00	0.00	2,240,361.37	0.00	0.00	0.00	19,020.00	19,020.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,240,361.37	0.00	5,329.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,329.00	0.00	0.00	0.00	0.00	0.00	5,329.00	34,635.57	34,635.57	2,235,032.37	2,240,361.37	2,348,971.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,348,971.11	0.00	0.00	0.00	19,020.00	19,020.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,348,971.11	0.00	5,329.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,329.00	0.00	0.00	0.00	0.00	0.00	5,329.00	15,892.21	15,892.21	2,343,642.11	2,348,971.11
292	2489	温州市瓯海区人民教育基金会	2016	5,037,030.31	0.00	3,500,000.00	0.00 	0.00	0.00	0.00	0.00	8,537,030.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8,537,030.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,691,760.94	7,691,760.94	8,537,030.31	8,537,030.31	27,485,982.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27,485,982.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27,485,982.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26,640,713.36	26,640,713.36	27,485,982.73	27,485,982.73
293	2849	绍兴市人民教育基金会	2016	24,795,922.27	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	24,795,922.27	0.00	0.00	0.00	23,750.00	0.00	23,750.00	0.00	0.00	0.00	23,750.00	0.00	0.00	24,819,672.27	0.00	60,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	60,000.00	0.00	0.00	0.00	0.00	0.00	60,000.00	24,735,922.27	24,735,922.27	24,759,672.27	24,819,672.27	23,711,891.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23,711,891.57	0.00	0.00	0.00	30,350.00	0.00	30,350.00	0.00	0.00	0.00	30,350.00	0.00	0.00	23,742,241.57	0.00	0.00	0.00	163,200.00	0.00	0.00	0.00	0.00	0.00	163,200.00	0.00	0.00	0.00	0.00	0.00	163,200.00	23,548,691.57	23,548,691.57	23,579,041.57	23,742,241.57
294	4993	黑龙江省协力扶贫救助基金会	2016	2,000,000.00	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	2,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,000,000.00	2,000,000.00	2,000,000.00	2,000,000.00	2,672,492.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,672,492.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,672,492.99	0.00	22.00	0.00	1,000.00	0.00	0.00	0.00	0.00	0.00	1,022.00	0.00	0.00	0.00	0.00	0.00	1,022.00	2,671,470.99	2,671,470.99	2,671,470.99	2,672,492.99
295	2699	甘肃省关心下一代基金会	2016	4,921,994.81	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	4,921,994.81	0.00	0.00	0.00	29,120.00	9,706.67	19,413.33	0.00	0.00	0.00	19,413.33	0.00	0.00	4,941,408.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,877,651.54	4,877,651.54	4,941,408.14	4,941,408.14	5,234,880.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,234,880.07	0.00	0.00	0.00	29,120.00	19,413.34	9,706.66	0.00	0.00	0.00	9,706.66	0.00	0.00	5,244,586.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,180,830.13	5,180,830.13	5,244,586.73	5,244,586.73
296	2303	浙江省舟山中学教育发展基金会	2016	1,709,210.23	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	1,709,210.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,709,210.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-290,789.77	-290,789.77	1,709,210.23	1,709,210.23	1,305,544.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,305,544.65	0.00	0.00	0.00	179,015.00	10,629.03	168,385.97	0.00	0.00	0.00	168,385.97	0.00	0.00	1,473,930.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-526,069.38	-526,069.38	1,473,930.62	1,473,930.62
297	1652	建德市见义勇为基金会	2016	1,481,211.86	0.00	9,360,000.00	0.00 	0.00	0.00	0.00	0.00	10,841,211.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10,841,211.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10,841,211.86	10,841,211.86	10,841,211.86	10,841,211.86	3,293,406.15	0.00	8,000,000.00	0.00	0.00	0.00	0.00	0.00	11,293,406.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11,293,406.15	0.00	3,860.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,860.00	0.00	0.00	0.00	0.00	0.00	3,860.00	11,289,546.15	11,289,546.15	11,289,546.15	11,293,406.15
298	247	中国法学交流基金会	2016	8,880,359.87	0.00	1,065,377.78	0.00 	1,061,807.64	0.00	0.00	0.00	11,007,545.29	0.00	0.00	0.00	679,215.33	244,469.26	434,746.07	0.00	0.00	0.00	434,746.07	0.00	0.00	11,442,291.36	0.00	220,307.83	0.00	-2,550.58	0.00	0.00	0.00	0.00	0.00	217,757.25	0.00	0.00	0.00	0.00	0.00	217,757.25	10,374,111.05	10,374,111.05	11,224,534.11	11,442,291.36	7,299,313.58	0.00	1,065,377.78	0.00	2,290,496.64	0.00	0.00	0.00	10,655,188.00	0.00	0.00	0.00	679,215.33	310,142.40	369,072.93	0.00	0.00	0.00	369,072.93	0.00	0.00	11,024,260.93	0.00	115,496.39	0.00	-2,426.95	0.00	0.00	0.00	0.00	0.00	113,069.44	0.00	0.00	0.00	0.00	0.00	113,069.44	9,594,067.04	9,594,067.04	10,911,191.49	11,024,260.93
299	2791	福建省少数民族发展基金会	2016	6,770,136.09	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	6,770,136.09	0.00	0.00	0.00	35,957.00	20,647.80	15,309.20	0.00	0.00	0.00	15,309.20	0.00	0.00	6,785,445.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6,785,445.29	6,785,445.29	6,785,445.29	6,785,445.29	5,044,958.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,044,958.51	0.00	0.00	0.00	35,957.00	23,616.90	12,340.10	0.00	0.00	0.00	12,340.10	0.00	0.00	5,057,298.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,057,298.61	5,057,298.61	5,057,298.61	5,057,298.61
300	1189	安利公益基金会	2016	7,695,035.62	58,500,000.00	211,575.54	0.00 	0.00	0.00	0.00	0.00	66,406,611.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66,406,611.16	0.00	0.96	0.00	13,315.38	0.00	1,421,940.00	0.00	0.00	0.00	1,435,256.34	0.00	0.00	0.00	0.00	0.00	1,435,256.34	62,634,331.93	62,634,331.93	64,971,354.82	66,406,611.16	19,434,085.80	55,000,000.00	187,954.11	0.00	0.00	0.00	0.00	0.00	74,622,039.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74,622,039.91	0.00	299,981.60	0.00	42,153.22	0.00	40,000.00	0.00	0.00	0.00	382,134.82	0.00	0.00	0.00	0.00	0.00	382,134.82	68,785,089.40	68,785,089.40	74,239,905.09	74,622,039.91
301	3344	龙游县人民教育基金会	2016	7,638,852.11	0.00	0.00	0.00 	0.00	0.00	0.00	70,000.00	7,708,852.11	0.00	0.00	0.00	6,200.00	0.00	6,200.00	0.00	0.00	0.00	6,200.00	0.00	0.00	7,715,052.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70,000.00	70,000.00	0.00	0.00	0.00	0.00	0.00	70,000.00	3,645,052.11	3,645,052.11	7,645,052.11	7,715,052.11	4,322,977.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,322,977.08	0.00	0.00	0.00	6,200.00	0.00	6,200.00	0.00	0.00	0.00	6,200.00	0.00	0.00	4,329,177.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	329,177.08	329,177.08	4,329,177.08	4,329,177.08
302	3033	辽宁省青少年发展基金会	2016	14,010,292.46	0.00	50,000.00	0.00 	0.00	0.00	0.00	0.00	14,060,292.46	0.00	0.00	0.00	527,916.00	416,542.05	111,373.95	0.00	0.00	0.00	111,373.95	0.00	0.00	14,171,666.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,738,597.47	4,738,597.47	14,171,666.41	14,171,666.41	18,150,591.70	0.00	50,000.00	0.00	0.00	0.00	0.00	0.00	18,200,591.70	0.00	0.00	0.00	527,916.00	430,447.05	97,468.95	0.00	0.00	0.00	97,468.95	0.00	0.00	18,298,060.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,766,529.75	5,766,529.75	18,298,060.65	18,298,060.65
