,ao_ad,ao_adex,ao_adn,ao_ate,ao_cc,ao_dd,ao_ddc,ao_ddi,ao_ddin,ao_ddn,ao_ddnn,ao_lst,ao_nni,ao_nnin,ao_od,ao_odi,ao_odin,ao_odn,ao_odnn,ao_odnnn,ao_oth,ao_slr,ba_cn,fp_yr,name,ricf_oid
130,"1,670,626.00","211,153.08","150,000.00","3,561,980.08","3,323,394.30","1,670,626.00","70,000.00","1,600,626.00","150,000.00","150,000.00",0.00,"6,499,962.69",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"27,432.70",0.00,重庆市彭水教育基金会,2016,重庆市彭水教育基金会,3091.0
131,"466,268.24",0.00,0.00,"3,038,953.26","2,984,800.00","466,268.24","313,868.24","152,400.00",0.00,0.00,0.00,0.00,null,null,0.00,0.00,0.00,0.00,0.00,0.00,449.00,"53,704.26",石家庄市青少年发展基金会,2016,石家庄市青少年发展基金会,5965.0
132,"1,943,476.30","8,867.42",0.00,"2,384,475.02","2,122,350.00","1,943,476.30","110,880.00","1,832,596.30",0.00,0.00,0.00,"450,654.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"253,257.60",甘肃省社会扶贫爱心捐助基金会,2016,甘肃省社会扶贫爱心捐助基金会,3753.0
133,"237,350,483.48",0.00,0.00,"13,185,910.24","13,184,200.00","237,350,483.48","1,378,495.40","235,971,988.08",0.00,0.00,0.00,0.00,null,null,0.00,0.00,0.00,0.00,0.00,0.00,"1,710.24",0.00,民生人寿保险公益基金会,2016,民生人寿保险公益基金会,4731.0
134,"18,310,371.67","198,701.54",0.00,"22,176,629.37","21,372,069.79","18,310,371.67",0.00,"18,310,371.67",0.00,0.00,0.00,"50,002,183.19",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"605,858.04",白求恩公益基金会,2016,白求恩公益基金会,4722.0
135,"2,985,000.00","14,186.00",0.00,"2,937,538.00","2,903,352.00","2,985,000.00",0.00,"2,985,000.00",0.00,0.00,0.00,"690,000.00",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"20,000.00",铁岭市教育基金会,2016,铁岭市教育基金会,3497.0
136,0.00,"76,763.27","1,153,552.00","2,306,325.31","2,103,168.40",0.00,0.00,0.00,"1,153,552.00","1,153,552.00",0.00,"2,748,940.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,"126,393.64",田汉基金会,2016,田汉基金会,2716.0
137,"735,200.00","35,839.60",0.00,"530,039.60","479,600.00","735,200.00","735,200.00",0.00,0.00,0.00,0.00,"5,562,204.38",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"14,600.00",兰州报恩寺慈善基金会,2016,兰州报恩寺慈善基金会,401.0
138,"1,272,100.00","2,135.00",0.00,"3,335.00",0.00,"1,272,100.00",0.00,"1,272,100.00",0.00,0.00,0.00,0.00,null,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,200.00",宁夏医科大学总医院消化道早癌防治基金会,2016,宁夏医科大学总医院消化道早癌防治基金会,4715.0
139,"277,500.00","46,106.08",0.00,"1,957,208.72","1,910,134.14","277,500.00","277,500.00",0.00,0.00,0.00,0.00,"2,409,099.79",null,null,0.00,0.00,0.00,0.00,0.00,0.00,968.50,0.00,舟山市人民教育基金会,2016,舟山市人民教育基金会,2870.0
140,0.00,"10,225.60",0.00,"216,885.96","206,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"2,404,843.29",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,660.36,0.00,浙江宜尔阳光教育基金会,2016,浙江宜尔阳光教育基金会,2224.0
141,"1,500,000.00","5,407.00",0.00,"1,506,407.00","1,501,000.00","1,500,000.00",0.00,"1,500,000.00",0.00,0.00,0.00,"10,452,180.57",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,吉林省神华社会救助基金会,2016,吉林省神华社会救助基金会,930.0
142,"20,000,000.00","2,110.00",0.00,"4,830,938.86","4,818,000.00","20,000,000.00",0.00,"20,000,000.00",0.00,0.00,0.00,"60,192,412.95",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"10,828.86",0.00,浙江省杭州滨江阳光公益基金会,2016,浙江省杭州滨江阳光公益基金会,2291.0
143,"9,743,720.69","671,290.46",0.00,"10,881,536.34","9,721,325.88","9,743,720.69","9,585,396.00","158,324.69",0.00,0.00,0.00,"1,000,000.00",null,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"488,920.00",河北省红十字基金会,2016,河北省红十字基金会,2068.0
144,"652,500.00","4,394.00",0.00,"123,778.00","119,384.00","652,500.00",0.00,"652,500.00",0.00,0.00,0.00,null,0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,临安市见义勇为奖励基金会,2016,临安市见义勇为奖励基金会,286.0
145,"1,092,601.00","56,287.22",0.00,"1,021,287.22","965,000.00","1,092,601.00","1,092,601.00",0.00,0.00,0.00,0.00,"1,728,110.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,天津市佛教慈善功德基金会,2016,天津市佛教慈善功德基金会,1065.0
146,"50,000.00","8,982.00","350,000.00","451,084.30","418,062.70","50,000.00",0.00,"50,000.00","100,000.00","350,000.00","250,000.00","4,727,085.26",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,"2,439.60","21,600.00",河南省中原社会工作发展基金会,2016,河南省中原社会工作发展基金会,4188.0
147,"650,000.00","11,284.50",0.00,"1,620,894.54","1,540,998.48","650,000.00",0.00,"650,000.00",0.00,0.00,0.00,"9,861,317.74",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"2,400.00","66,211.56",三江源生态保护基金会,2016,三江源生态保护基金会,8.0
148,"730,116.50","77,310.16",0.00,"861,601.88","391,027.15","730,116.50",116.50,"730,000.00",0.00,0.00,0.00,"4,941,499.85",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"393,264.57",0.00,浙江桐乡市木心艺术基金会,2016,浙江桐乡市木心艺术基金会,4086.0
149,0.00,"37,335.56",0.00,"607,255.26","569,919.70",0.00,0.00,0.00,0.00,0.00,0.00,"7,244,770.39",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,广西启明扶助基金会,2016,广西启明扶助基金会,1622.0
