机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
23	上海兴韦信息技术职业学院教育发展基金会	2013	9000000.00 	9000000.00 	0.00 	9000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		6800000.00 	6800000.00 	0.00 	0.00 							
24	上海刘浩清公益基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		0.00 	0.00 	0.00 	0.00 							
25	上海医学创新发展基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		3567518.48 	280000.00 	72000.00 	133877.90 							
26	上海华东政法大学教育发展基金会	2013	3388791.60 	3388791.60 	1920000.00 	1468791.60 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1133034.20 	1063036.04 	48500.00 	21498.16 							
27	上海华东理工大学教育发展基金会	2013	8293497.47 	8138644.44 	0.00 	8138644.44 	154853.03 	0.00 	154853.03 	0	0	0	0	0	0	0	0	0		5914330.51 	5786915.03 	0.00 	127415.48 							
28	上海华信公益基金会	2013	37545013.35 	37545013.35 	21432.60 	37523580.75 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		17498581.19 	16162267.01 	1061514.61 	202008.77 							
29	上海华杰仁爱基金会	2013	650000.00 	650000.00 	0.00 	650000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		616465.28 	561826.00 	47777.60 	6861.68 							
30	上海发展昆剧基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		222689.58 	222689.58 	0.00 	0.00 							
31	上海发展研究基金会	2013	890000.00 	890000.00 	0.00 	890000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2183081.50 	1352635.39 	482435.00 	345476.05 							
32	上海同济大学教育发展基金会	2013	69157349.13 	65195668.00 	10740222.26 	54455445.74 	3961681.13 	20035.45 	3941645.68 	0	0	0	0	0	0	0	0	0		51690097.36 	51165689.99 	0.00 	524407.37 							
33	上海同济高廷耀环保科技发展基金会	2013	570000.00 	570000.00 	0.00 	570000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		795043.68 	752984.32 	30000.00 	12059.36 							
34	上海向阳公益基金会	2013	550000.00 	550000.00 	0.00 	550000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		313320.40 	285000.00 	0.00 	28320.40 							
35	上海吴孟超医学科技基金会	2013	5067865.14 	3801341.84 	273697.60 	3527644.24 	1266523.30 	0.00 	1266523.30 	0	0	0	0	0	0	0	0	0		18215530.21 	18110840.08 	36000.00 	52965.92 							
36	上海唐君远教育基金会	2013	5183000.00 	5183000.00 	20000.00 	5163000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		20501867.94 	14785301.60 	520125.00 	136376.47 							
37	上海商学院教育发展基金会	2013	1571102.00 	1571102.00 	71102.00 	1500000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		351908.00 	349975.00 	0.00 	1933.00 							
38	上海喜玛拉雅文化艺术基金会	2013	4450000.00 	4450000.00 	0.00 	4450000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		6455944.14 	6093000.00 	261160.00 	280.00 							
39	上海嘉宝公益基金会	2013	20500000.00 	20500000.00 	0.00 	20500000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1150530.00 	1150000.00 	0.00 	0.00 							
40	上海国泰君安社会公益基金会	2013	12367201.42 	12367201.42 	0.00 	12367201.42 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1408855.94 	1308542.20 	0.00 	40483.80 							
41	上海国际经济交流基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		640729.49 	585889.80 	87600.00 	497.00 							
42	上海复大公益基金会	2013	416800.00 	416800.00 	416800.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		788474.98 	710000.00 	70549.08 	6500.00 							
43	上海复旦大学教育发展基金会	2013	57000999.97 	35684322.47 	3345916.10 	32338406.37 	21316677.50 	133893.12 	21182784.38 	0	0	0	0	0	0	0	0	0		50053862.40 	48124173.59 	1142965.07 	511708.26 							
44	上海复星公益基金会	2013	31710.00 	31710.00 	0.00 	31710.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		17729061.20 	17720922.40 	0.00 	8138.80 							
45	上海夏征农民族文化教育发展基金会	2013	2460000.00 	2460000.00 	0.00 	2460000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2291014.55 	2075272.92 	59924.00 	161685.63 							
46	上海外国语大学教育发展基金会	2013	4389026.13 	3262153.19 	56016.00 	3206137.19 	1126872.94 	0.00 	1126872.94 	0	0	0	0	0	0	0	0	0		3652866.58 	3618141.88 	0.00 	34724.70 							
48	上海天下文化发展基金会	2013	30000.00 	30000.00 	30000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		363824.29 	350000.00 	0.00 	11500.00 							
49	上海宇兴爱心慈善基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		0.00 	0.00 	0.00 	0.00 							
50	上海宋庆龄基金会	2013	52052108.28 	51535601.22 	10867757.37 	40667843.85 	516507.06 	0.00 	516507.06 	0	0	0	0	0	0	0	0	0		38119575.07 	34945462.31 	1229941.30 	1944171.46 							
51	上海富国环保公益基金会	2013	300000.00 	300000.00 	0.00 	300000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		227935.13 	221454.63 	0.00 	0.00 							
52	上海工商界爱国建设特种基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		7347318.60 	5736692.70 	418120.00 	92947.50 							
53	上海巴斯德健康研究基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		16232552.16 	16183500.24 	0.00 	49051.92 							
54	上海市中小学幼儿教师奖励基金会	2013	248050.00 	248050.00 	0.00 	248050.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		6637063.09 	6165188.34 	390051.63 	81823.12 							
55	上海市九段沙湿地自然保护基金会	2013	15000.00 	15000.00 	0.00 	15000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		149370.50 	143464.00 	0.00 	5906.50 							
56	上海市人口福利基金会	2013	7590365.69 	7113505.69 	0.00 	7113505.69 	476860.00 	0.00 	476860.00 	0	0	0	0	0	0	0	0	0		6085121.92 	5913873.30 	132400.00 	37971.50 							
57	上海市体育发展基金会	2013	18590584.10 	18590584.10 	0.00 	18590584.10 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		26370199.27 	24472626.87 	1274391.40 	623181.00 							
58	上海市促进科技成果转化基金会	2013	70000.00 	70000.00 	0.00 	70000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		3586670.36 	3366258.20 	204464.80 	7077.50 							
59	上海市儿童健康基金会	2013	5686116.45 	5686116.45 	1395893.10 	4290223.35 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		6673092.06 	6086481.43 	362400.00 	223866.53 							
60	上海市儿童基金会	2013	4519139.90 	4519139.90 	4519139.90 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		3459797.06 	3198944.00 	24000.00 	236853.06 							
61	上海市医药卫生发展基金会	2013	17469133.37 	17469133.37 	0.00 	17469133.37 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		7918588.19 	7379289.18 	268264.41 	271034.60 							
63	上海市华侨事业发展基金会	2013	11214075.95 	11214075.95 	6949984.25 	4264091.70 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		15716563.12 	14623158.30 	601827.52 	491577.30 							
64	上海市卢湾区教育基金会	2013	219529.53 	219529.53 	0.00 	219529.53 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1677155.28 	1558693.00 	90000.00 	28130.00 							
65	上海市卫生系统青年人才奖励基金会	2013	655000.00 	655000.00 	0.00 	655000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1129591.77 	1002983.20 	52100.00 	60400.77 							
66	上海市嘉定区教育奖励基金会	2013	1079108.41 	922450.00 	80000.00 	842450.00 	156658.41 	156658.41 	0.00 	0	0	0	0	0	0	0	0	0		2738991.30 	2676757.80 	0.00 	62233.50 							
67	上海市大学生科技创业基金会	2013	2062287.00 	2062287.00 	0.00 	2062287.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		24116457.35 	21756688.37 	1915717.18 	373144.77 							
68	上海市奉贤区教育基金会	2013	15988421.96 	15988421.96 	0.00 	15988421.96 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		312561.28 	260572.60 	18000.00 	33988.68 							
69	上海市奉贤建设工程科学技术发展基金会	2013	800000.00 	800000.00 	0.00 	800000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2138622.50 	2061571.00 	21100.00 	55951.50 							
70	上海市安济医疗救助基金会	2013	4478878.02 	4478878.02 	0.00 	4478878.02 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2966834.15 	2693391.39 	0.00 	103566.56 							
71	上海市宝山区教育发展基金会	2013	500000.00 	500000.00 	0.00 	500000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		945954.62 	864313.36 	54000.00 	21050.20 							
72	上海市应昌期围棋教育基金会	2013	100000.00 	100000.00 	0.00 	100000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		10588269.09 	7754055.45 	660110.00 	335288.45 							
73	上海市建国社会公益基金会	2013	48549.32 	48549.32 	48549.32 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		7666719.58 	5045946.00 	109401.60 	58390.00 							
74	上海市徐汇区教育基金会	2013	5851790.80 	5851790.80 	0.00 	5851790.80 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		4469749.60 	4447676.90 	0.00 	22072.70 							
75	上海市慈善基金会	2013	703891119.81 	695289924.03 	104293488.60 	590996435.43 	8601195.78 	473957.11 	8127238.67 	0	0	0	0	0	0	0	0	0		620079240.87 	542255434.35 	10227158.28 	10190255.28 							
76	上海市拥军优属基金会	2013	82583996.32 	82583996.32 	0.00 	82583996.32 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		34052247.42 	28892644.28 	2069556.64 	2238780.06 							
77	上海市教育发展基金会	2013	18217043.63 	18217043.63 	0.00 	18217043.63 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		32089309.68 	29142773.21 	911612.46 	2034924.01 							
78	上海市普陀区教育奖励基金会	2013	2000000.00 	2000000.00 	0.00 	2000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		500571.00 	454370.00 	43700.00 	2501.00 							
79	上海市杨浦区教育奖励基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		331137.81 	301137.81 	30000.00 	0.00 							
80	上海市残疾人福利基金会	2013	8296076.69 	8234955.69 	348100.00 	7886855.69 	61121.00 	0.00 	61121.00 	0	0	0	0	0	0	0	0	0		11764204.79 	11006714.09 	347136.91 	410353.79 							
81	上海市民帮困互助基金会	2013	47909214.01 	47909214.01 	1319699.20 	46589514.81 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		47079268.30 	46065462.30 	473827.00 	473979.00 							
82	上海市浦东新区教育发展基金会	2013	200000.00 	200000.00 	0.00 	200000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		859187.61 	778579.50 	67599.50 	13008.61 							
83	上海市爱心帮教基金会	2013	1788439.92 	1788439.92 	1788439.92 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1751858.37 	1691480.00 	35760.00 	452.20 							
84	上海市甬协公益基金会	2013	642400.00 	642400.00 	57400.00 	585000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		715741.28 	653484.00 	56135.30 	1697.90 							
85	上海市科普基金会	2013	100000.00 	100000.00 	0.00 	100000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		354425.86 	323018.86 	27600.00 	3807.00 							
86	上海市老年基金会	2013	59620153.62 	59620153.62 	32500.00 	59587653.62 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		99920546.26 	96048783.74 	1886657.38 	1912446.94 							
87	上海市职工帮困基金会	2013	3403997.18 	3403997.18 	131287.18 	3272710.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		32176681.01 	32045354.00 	53583.00 	77744.01 							
88	上海市自然与健康基金会	2013	24129.00 	24129.00 	24129.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		972274.60 	872270.00 	88027.90 	10894.20 							
89	上海市虹口区教育基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		227669.20 	205110.00 	0.00 	5559.20 							
90	上海市长宁区教育基金会	2013	2777533.58 	2777533.58 	50000.00 	2727533.58 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		3363664.73 	3152375.90 	75120.00 	136168.83 							
91	上海市闵行区中小幼教师奖励基金会	2013	1140000.00 	1140000.00 	675000.00 	465000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1590513.20 	1478242.00 	5500.00 	106771.20 							
92	上海市闸北区教育基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		500302.00 	428565.00 	64000.00 	7737.00 							
93	上海市防癌抗癌事业发展基金会	2013	171000.00 	171000.00 	171000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		504917.10 	474458.00 	15600.00 	14859.10 							
94	上海市青少年发展基金会	2013	143443702.00 	143443702.00 	143443702.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		19038285.04 	18272222.42 	0.00 	766062.62 							
95	上海市青年创业就业基金会	2013	1651031.80 	1651031.80 	106700.00 	1544331.80 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		784634.71 	714727.70 	0.00 	69907.01 							
96	上海市青浦区教育基金会	2013	2373000.00 	2373000.00 	2373000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		6788533.57 	5385366.50 	148800.00 	22700.00 							
97	上海市静安区教育基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		561329.18 	550004.78 	0.00 	11324.40 							
98	上海市黄浦区教育基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		6675854.12 	6336316.40 	184280.00 	155257.72 							
99	上海师范大学教育发展基金会	2013	6472751.17 	3391312.80 	1404693.90 	1986618.90 	3081438.37 	3081438.37 	0.00 	0	0	0	0	0	0	0	0	0		3068657.38 	3006318.28 	0.00 	62339.10 							
100	上海应用技术学院教育发展基金会	2013	2115000.00 	2115000.00 	2115000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		35292.50 	30000.00 	292.50 	0.00 							
101	上海志成公益基金会	2013	2000000.00 	2000000.00 	0.00 	2000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		100210.00 	100000.00 	0.00 	0.00 							
102	上海思麦公益基金会	2013	1459060.31 	1459060.31 	1154460.31 	304600.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1043638.38 	976996.90 	59598.40 	7043.08 							
103	上海恩德公益基金会	2013	4001000.00 	4001000.00 	1000.00 	4000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1097263.00 	1064239.00 	0.00 	33024.00 							
104	上海慈慧公益基金会	2013	7736450.62 	7736450.62 	5963348.31 	1773102.31 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		4914115.36 	4465179.68 	340698.92 	71459.37 							
105	上海慈源爱心基金会	2013	160000.00 	160000.00 	160000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		163180.00 	160000.00 	0.00 	3180.00 							
106	上海文化发展基金会	2013	23884005.00 	23884005.00 	0.00 	23884005.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		103463690.88 	98278974.36 	1899231.80 	3244378.29 							
107	上海文学发展基金会	2013	789000.00 	789000.00 	80000.00 	709000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1007543.16 	913353.38 	67800.00 	26389.78 							
109	上海新建桥老龄事业发展基金会	2013	1076673.20 	1076673.20 	202870.00 	873803.20 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		355687.45 	352653.00 	0.00 	3034.45 							
110	上海新泰高新技术研究与发展基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		973640.56 	1300000.00 	39600.00 	8348.14 							
111	上海明德公益基金会	2013	57313.70 	8376.46 	1000.00 	7376.46 	48937.24 	12219.04 	36718.20 	0	0	0	0	0	0	0	0	0		224820.46 	206029.46 	16200.00 	2591.00 							
112	上海曙光中医药研究发展基金会	2013	2182500.00 	2182500.00 	1000.00 	2181500.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1008260.26 	962020.86 	24000.00 	22239.40 							
114	上海木兰教育基金会	2013	4008.00 	4008.00 	4008.00 	0.00 	0.00 	0.00 	0.00 	252000	0	0	0	0	0	0	0	0		280062.00 	252000.00 	20575.10 	70.50 							
115	上海民建扶帮公益基金会	2013	13777522.00 	13777522.00 	717822.00 	13059700.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		9833753.86 	9791274.70 	0.00 	42479.16 							
116	上海民生公益基金会	2013	3060725.25 	3060725.25 	160725.25 	2900000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1936301.03 	2536644.20 	17600.00 	89238.68 							
117	上海民生艺术基金会	2013	452000000.00 	452000000.00 	0.00 	452000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		37818782.04 	37680000.00 	114460.00 	23515.02 							
118	上海水资源保护基金会	2013	2511520.54 	2511520.54 	11520.54 	2500000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2316359.87 	1639633.50 	228778.20 	447948.17 							
119	上海汇添富公益基金会	2013	4407176.86 	4407176.86 	1361471.00 	3045705.86 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2714718.90 	2582104.30 	0.00 	132614.60 							
121	上海汤臣慈善基金会	2013	2700000.00 	2700000.00 	0.00 	2700000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		482581.40 	475000.00 	0.00 	7025.90 							
122	上海汽车工业教育基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1857692.93 	1686675.74 	100000.00 	71017.19 							
123	上海汽车工业科技发展基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		3042573.39 	3100000.00 	16800.00 	88677.20 							
124	上海沪利历史建筑和都市改造基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		81668.88 	35530.70 	0.00 	47139.00 							
125	上海浦东新区社会发展基金会	2013	15430674.60 	15001431.95 	225300.00 	14776131.95 	429242.65 	0.00 	429242.65 	0	0	0	0	0	0	0	0	0		16395523.58 	15316649.70 	577876.23 	253516.06 							
126	上海浦发公益基金会	2013	1179000.00 	1179000.00 	0.00 	1179000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2854078.95 	2402361.50 	23160.00 	77921.18 							
127	上海海事大学教育发展基金会	2013	2489769.12 	2489769.12 	2439769.12 	50000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		554421.50 	550000.00 	0.00 	0.00 							
128	上海海洋大学教育发展基金会	2013	3601468.70 	3601468.70 	481468.70 	3120000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		997094.00 	990000.00 	0.00 	7094.00 							
129	上海淑德公益基金会	2013	600000.00 	600000.00 	600000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		71445.60 	50467.00 	9000.00 	9617.00 							
130	上海特殊关爱基金会	2013	1700313.96 	1700313.96 	2500.00 	1697813.96 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2346104.26 	2156093.46 	147600.00 	40700.50 							
131	上海现代服务业发展研究基金会	2013	8879739.30 	7641411.30 	950000.00 	6691411.30 	1238328.00 	0.00 	1238328.00 	0	0	0	0	0	0	0	0	0		7056615.58 	6001001.89 	0.00 	35613.69 							
