机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
18	上海交响乐团文化发展基金会	2013	14000000.00 	0	0		0	0	0	0	14000000.00 	4119069.00 	0	0	0	4119069.00 	0.00 		9880931	2478600.00 	0	0		0	0	0.00 	237201.62 	2715801.62 	0	53308.41 	0.00 	0.00 	53308.41 	0.00 		2662493.21 
19	上海交通大学教育发展基金会	2013	154854022.53 	0	0		0	0	27471963.97	0	182325986.50 	0.00 	0	0	0	0.00 	76795830.38 		105530156.1	0.00 	0	0		0	0	10156837.13 	1355048.09 	11511885.22 	77323247.27	310610.51 	3534.23 	0.00 	77637392.01 	-76795830.38 		10670323.59 
20	上海仁德基金会	2013	2489900.20 	0	0		0	70000	0	0	2559900.20 	0.00 	0	0	0	0.00 	923321.60 		1636578.6	1555032.19 	0	0		0	0	138018.09 	6960.62 	1700010.90 	1941253	234236.95 	180888.50 	5930.85 	2362309.30 	-923321.60 		261023.20 
21	上海公安金盾基金会	2013	0.00 	0	0		0	0	0	0	0.00 	912950.00 	0	0	0	912950.00 	0.00 		-912950	33000000.00 	0	0		0	0	8615298.64 	130690.55 	41745989.19 	8086356.3	161694.70 	0.00 	0.00 	8248051.00 	0.00 		33497938.19 
22	上海兴华教育扶贫基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	13179886.53 	0	0		0	0	1668903.51 	44291.13 	14893081.17 	4184087.5	314167.28 	3426.50 	1375050.07 	5876731.35 	0.00 		9016349.82 
23	上海兴韦信息技术职业学院教育发展基金会	2013	7000000.00 	0	0		0	0	0	0	7000000.00 	6800000.00 	0	0	0	6800000.00 	0.00 		200000	2000000.00 	0	0		0	0	0.00 	7774.86 	2007774.86 	0	0.00 	2000.50 	0.00 	2000.50 	0.00 		2005774.36 
24	上海刘浩清公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	0.00 	236.05 	236.05 	0	0.00 	0.00 	0.00 	0.00 	0.00 		236.05 
25	上海医学创新发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	3564705.83		0	0	0.00 	0.00 	3564705.83 	3373444.5	205877.90 	-11803.92 	0.00 	3567518.48 	0.00 		-2812.65 
26	上海华东政法大学教育发展基金会	2013	3310000.00 	0	0		0	0	14761.64	3873.56	3328635.20 	1040636.04 	0	0	0	1040636.04 	-490000.00 		2777999.16	78791.60 	0	0		0	0	56454.80 	35170.03 	170416.43 	22400	69998.16 	0.00 	0.00 	92398.16 	490000.00 		-411981.73 
27	上海华东理工大学教育发展基金会	2013	8293497.47 	0	0		0	0	0	0	8293497.47 	5786915.03 	0	0	0	5786915.03 	0.00 		2506582.44	0.00 	0	0		0	0	0.00 	113573.22 	113573.22 	0	127415.48 	0.00 	0.00 	127415.48 	0.00 		-13842.26 
