机构ID	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_oid	fp_yr	fp_csh	fp_sti	fp_rec	fp_prp	fp_rm	fp_deex	fp_onin	fp_otfl	fp_tofl	fp_lost	fp_lode	fp_loin	fp_loto	fp_fior	fp_fide	fp_fias	fp_inbu	fp_clas	fp_fifx	fp_fito	fp_noas	fp_agas	fp_asto	fp_shbo	fp_shpa	fp_shsa	fp_shta	fp_fra	fp_prex	fp_prde	fp_ode	fp_otde	fp_flde	fp_lobo	fp_lopa	fp_otld	fp_ldto	fp_agd	fp_det	fp_unls	fp_lims	fp_ntt	fp_tt
943	2013	41160.7	0	2150000	0	0	0	0	0	2191160.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2191160.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2191160.7	0	2191160.7	2191160.7
944	2013	1390475.18	1000000	0	0	0	0	0	321.3	2390796.48	0	0	0	0	0	0	0	0	0	0	0	0	0	2390796.48	0	0	0	63.74	0	0	0	0	0	63.74	0	0	0	0	0	63.74	-1375567.26	3766300	2390732.74	2390796.48
945	2013	40532455.04	0	380	0	0	0	0	0	40532835.04	0	0	0	0	5674314.21	854141.77	4820172.44	0	0	0	4820172.44	0	0	45353007.48	0	0	0	11027.18	0	0	0	0	0	11027.18	0	0	0	0	0	11027.18	20045722.29	25296258.01	45341980.3	45353007.48
946	2013	541701.16	4450600	0	1950	0	0	0	0	4994251.16	0	8066000	0	8066000	118013.5	96354.81	21658.69	0	0	0	21658.69	0	0	13081909.85	0	0	0	3055.43	0	0	0	0	0	3055.43	0	0	0	0	0	3055.43	-283540.18	13362394.6	13078854.42	13081909.85
947	2013	4052454	0	0	0	0	0	0	0	4052454	0	0	0	0	94500	0	94500	0	0	0	94500	0	0	4146954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146954	4000000	4146954	4146954
948	2013	1030343.83	0	1000000	0	0	0	0	0	2030343.83	0	0	0	0	0	0	0	0	0	0	0	0	0	2030343.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2030343.83	0	2030343.83	2030343.83
950	2013	20588784.28	0	4281170.5	0	0	0	0	0	24869954.78	0	0	0	0	1328656	265731.24	1062924.76	13728019.17	0	0	14790943.93	0	0	39660898.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39660898.71	0	39660898.71	39660898.71
951	2013	7057777.78	0	0	0	0	0	0	0	7057777.78	0	0	0	0	0	0	0	0	0	0	0	0	0	7057777.78	0	0	0	2927.73	0	0	0	0	0	2927.73	0	0	0	0	0	2927.73	3303570.05	3751280	7054850.05	7057777.78
952	2013	136255562.1	0	97200	0	0	0	0	0	136352762.1	700000	0	0	700000	38161	13859.46	24301.54	0	0	0	24301.54	0	0	137077063.7	0	100	0	0	0	0	0	0	0	100	0	0	0	0	0	100	42804165.31	94272798.34	137076963.7	137077063.7
953	2013	38251758	0	0	0	0	0	0	0	38251758	5000000	0	0	5000000	784704	217501.7	567202.3	0	0	0	567202.3	0	0	43818960.3	0	974759.76	0	361	0	0	0	0	0	975120.76	0	0	0	0	0	975120.76	13563091.25	29280748.29	42843839.54	43818960.3
