ricf_oid_2013	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn.1	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use	ricf_oid	ba_uscc
51	上海富国环保公益基金会	2013	300000.0	300000.0	0.0	300000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		227935.13	221454.63	0.0	0.0								51.0	5331000050178187XE
52	上海工商界爱国建设特种基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		7347318.6	5736692.7	418120.0	92947.5								52.0	5331000050177387X5
53	上海巴斯德健康研究基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		16232552.16	16183500.24	0.0	49051.92								53.0	53310000501780252F
54	上海市中小学幼儿教师奖励基金会	2013	248050.0	248050.0	0.0	248050.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		6637063.09	6165188.34	390051.63	81823.12								54.0	53310000501772199A
55	上海市九段沙湿地自然保护基金会	2013	15000.0	15000.0	0.0	15000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		149370.5	143464.0	0.0	5906.5								55.0	533100005017795263
56	上海市人口福利基金会	2013	7590365.69	7113505.69	0.0	7113505.69	476860.0	0.0	476860.0	0.0	0	0	0	0	0	0	0	0		6085121.92	5913873.3	132400.0	37971.5								56.0	53310000501772359H
57	上海市体育发展基金会	2013	18590584.1	18590584.1	0.0	18590584.1	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		26370199.27	24472626.87	1274391.4	623181.0								57.0	5331000050177301XH
58	上海市促进科技成果转化基金会	2013	70000.0	70000.0	0.0	70000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3586670.36	3366258.2	204464.8	7077.5								58.0	533100005017806236
59	上海市儿童健康基金会	2013	5686116.45	5686116.45	1395893.1	4290223.35	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		6673092.06	6086481.43	362400.0	223866.53								59.0	53310000501772885L
60	上海市儿童基金会	2013	4519139.9	4519139.9	4519139.9	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3459797.06	3198944.0	24000.0	236853.06								60.0	533100005017734741
61	上海市医药卫生发展基金会	2013	17469133.37	17469133.37	0.0	17469133.37	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		7918588.19	7379289.18	268264.41	271034.6								61.0	5331000050178195X2
63	上海市华侨事业发展基金会	2013	11214075.95	11214075.95	6949984.25	4264091.7	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		15716563.12	14623158.3	601827.52	491577.3								63.0	53310000501779980D
64	上海市卢湾区教育基金会	2013	219529.53	219529.53	0.0	219529.53	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1677155.28	1558693.0	90000.0	28130.0								64.0	5331000050177280XN
65	上海市卫生系统青年人才奖励基金会	2013	655000.0	655000.0	0.0	655000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1129591.77	1002983.2	52100.0	60400.77								65.0	5331000050177379XH
66	上海市嘉定区教育奖励基金会	2013	1079108.41	922450.0	80000.0	842450.0	156658.41	156658.41	0.0	0.0	0	0	0	0	0	0	0	0		2738991.3	2676757.8	0.0	62233.5								66.0	53310000501772404J
67	上海市大学生科技创业基金会	2013	2062287.0	2062287.0	0.0	2062287.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		24116457.35	21756688.37	1915717.18	373144.77								67.0	53310000501780068P
68	上海市奉贤区教育基金会	2013	15988421.96	15988421.96	0.0	15988421.96	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		312561.28	260572.6	18000.0	33988.68								68.0	53310000501782530N
69	上海市奉贤建设工程科学技术发展基金会	2013	800000.0	800000.0	0.0	800000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2138622.5	2061571.0	21100.0	55951.5								69.0	533100005017795931
70	上海市安济医疗救助基金会	2013	4478878.02	4478878.02	0.0	4478878.02	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2966834.15	2693391.39	0.0	103566.56								70.0	533100005017799482
71	上海市宝山区教育发展基金会	2013	500000.0	500000.0	0.0	500000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		945954.62	864313.36	54000.0	21050.2								71.0	533100005017747332
72	上海市应昌期围棋教育基金会	2013	100000.0	100000.0	0.0	100000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		10588269.09	7754055.45	660110.0	335288.45								72.0	5331000050177811XB
73	上海市建国社会公益基金会	2013	48549.32	48549.32	48549.32	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		7666719.58	5045946.0	109401.6	58390.0								73.0	533100005017744937
74	上海市徐汇区教育基金会	2013	5851790.8	5851790.8	0.0	5851790.8	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		4469749.6	4447676.9	0.0	22072.7								74.0	53310000501772412D
