ricf_oid_2013	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu	ricf_oid	ba_uscc
64	上海市卢湾区教育基金会	2013	219529.53	0	0.0		0	0.0	0.0	68062.0	287591.53	214617.5	0.0	0.0	0.0	214617.5	0.0		72974.03	0.0	0.0	0.0		0.0	0.0	0.0	527576.59	527576.59	1344075.5	118462.28	2192.3	0.0	1464730.08	0.0		-937153.49	64.0	5331000050177280XN
65	上海市卫生系统青年人才奖励基金会	2013	655000.0	0	156800.0		0	0.0	0.0	144602.85	956402.85	1002983.2	112500.77	0.0	14107.8	1129591.77	0.0		-173188.92	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	65.0	5331000050177379XH
66	上海市嘉定区教育奖励基金会	2013	1079108.41	0	0.0		0	0.0	0.0	0.0	1079108.41	152864.0	0.0	0.0	0.0	152864.0	339485.0		586759.41	0.0	0.0	0.0		0.0	0.0	1900000.0	9845.93	1909845.93	2523893.8	62233.5	0.0	0.0	2586127.3	-339485.0		-336796.37	66.0	53310000501772404J
67	上海市大学生科技创业基金会	2013	1696422.0	0	0.0		0	119940000.0	0.0	1527264.68	123163686.68	13635706.05	0.0	0.0	0.0	13635706.05	0.0		109527980.6	402965.0	0.0	0.0		0.0	0.0	6729619.74	16916209.85	24048794.59	8120982.32	2288861.95	0.0	70907.03	10480751.3	0.0		13568043.29	67.0	53310000501780068P
68	上海市奉贤区教育基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	15988421.96	0.0	0.0		0.0	0.0	0.0	100000.0	16088421.96	260572.6	51988.68	-11775.28	0.0	300786.0	0.0		15787635.96	68.0	53310000501782530N
69	上海市奉贤建设工程科学技术发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	800000.0	0.0	0.0		0.0	0.0	165000.0	1203557.19	2168557.19	2061571.0	77051.5	0.0	0.0	2138622.5	0.0		29934.69	69.0	533100005017795931
70	上海市安济医疗救助基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	5987448.19	0.0	0.0		0.0	0.0	0.0	42668.91	6030117.1	2693391.39	271900.46	0.0	1542.3	2966834.15	0.0		3063282.95	70.0	533100005017799482
71	上海市宝山区教育发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	500000.0	0.0	0.0		0.0	0.0	0.0	180000.0	680000.0	864313.36	81870.2	-228.94	0.0	945954.62	0.0		-265954.62	71.0	533100005017747332
72	上海市应昌期围棋教育基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	100000.0	0.0	10426001.6		0.0	90000.0	0.0	286674.24	10902675.84	9589031.7	995398.45	0.0	3838.94	10588269.09	0.0		314406.75	72.0	5331000050177811XB
73	上海市建国社会公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	48549.32	0.0	0.0		0.0	0.0	5317366.61	2706884.39	8072800.32	5187721.0	1946697.31	0.0	532301.27	7666719.58	0.0		406080.74	73.0	533100005017744937
74	上海市徐汇区教育基金会	2013	5831790.8	0	0.0		0	0.0	0.0	0.0	5831790.8	3444255.1	0.0	0.0	0.0	3444255.1	0.0		2387535.7	20000.0	0.0	0.0		0.0	0.0	0.0	455741.56	475741.56	1003421.8	22072.7	0.0	0.0	1025494.5	0.0		-549752.94	74.0	53310000501772412D
