机构ID	机构名称	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款 	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_id	ba_cn 	fp_yr	fp_csh 	fp_sti 	fp_rec 	fp_prp 	fp_rm 	fp_deex 	fp_onin 	fp_tofl 	fp_tofl 	fp_lost 	fp_lode 	fp_loin 	fp_loto 	fp_fior 	fp_fide 	fp_fias 	fp_inbu 	fp_clas 	fp_fifx 	fp_fito 	fp_noas 	fp_agas 	fp_asto 	fp_shbo 	fp_shpa 	fp_shsa 	fp_shta 	fp_fra 	fp_prex 	fp_prde 	fp_ode 	fp_otde	fp_flde 	fp_lobo 	fp_lopa 	fp_otld 	fp_ldto 	fp_agd 	fp_det 	fp_unls	fp_lims 	fp_ntt 	fp_tt
809	南京理工大学泰州科技学院教育发展基金会	2014	22870169.48	0	0	0		0	0	0	22870169.48	5000000	0	0	5000000	16860	16017	843	0	0	0	843	0	0	27871012.48	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	27871012.48	0	27871012.48	27871012.48
810	南京理工大学紫金学院教育发展基金会	2014	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	33415702.93	0	33415702.93	33415702.93
811	南京航空航天大学教育发展基金会	2014	288186497.3	2000000	0	0		0	0	0	290186497.3	0	10000000	0	10000000	0	0	0	0	0	0	0	0	0	300186497.3	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	288381311.99	11805185.38	300186497.37	300186497.37
812	南京艺术学院教育发展基金会	2014	4565924.81	0	0	0		0	0	0	4565924.81	0	0	0	0	0	0	0	0	0	0	0	0	0	4565924.81	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	4565924.81	0	4565924.81	4565924.81
813	南京财经大学教育发展基金会	2014	16238835.11	0	81280000	0		0	0	0	97518835.11	30000000	0	0	30000000	0	0	0	0	0	0	0	0	0	127518835.11	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	118885716.88	8633118.23	127518835.11	127518835.11
814	南京邮电大学教育发展基金会	2014	6719663.14	0	0	0		0	0	0	6719663.14	36000000	0	0	36000000	5280	0	5280	0	0	0	5280	0	0	42724943.14	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	42724943.14	0	42724943.14	42724943.14
815	南京金陵文化保护发展基金会	2014	655617365.24	0	2211133.07	0		0	0	0	657828498.31	0	0	0	0	433040.19	130272.74	302767.45	374754395.3	0	0	375057162.75	0	0	1032885661.06	0	0	1818	131.39		0	0	0	0	1949.39	0	0	0	0	0	1949.39	30270329.67	1002613382	1032883711.67	1032885661.06
816	南京金鹰国际慈济基金会	2014	7094165.91	0	0	0		0	0	0	7094165.91	9300921.37	0	0	9300921.37	0	0	0	0	0	0	0	0	0	16395087.28	0	282441.43	0	0		0	0	0	0	282441.43	0	0	0	0	0	282441.43	16112645.85	0	16112645.85	16395087.28
817	南京铁道职业技术学院教育发展基金会	2014	4037791.38	0	0	0		0	0	0	4037791.38	0	0	0	0	0	0	0	0	0	0	0	0	0	4037791.38	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	4037791.38	0	4037791.38	4037791.38
818	南京鼓楼医院医学发展医疗救助基金会	2014	43862653.72	0	662860.06	0		0	0	0	44525513.78	0	0	0	0	19200	0	19200	0	0	0	19200	0	0	44544713.78	0	2934597.25	0	0		0	0	0	0	2934597.25	0	0	0	0	0	2934597.25	39319639.85	2290476.68	41610116.53	44544713.78
819	南充市教育基金会	2014	4758963.53	0	0	0		0	0	0	4758963.53	980000	0	0	980000	28321	28321	0	0	0	0	0	0	0	5738963.53	0	0	0	0		0	0	0	42736.5	42736.5	0	0	0	0	0	42736.5	5275827.03	420400	5696227.03	5738963.53
820	南充市高坪区阳光助学基金会	2014	1687832.91	0	3052500	0		0	0	0	4740332.91	0	0	0	0	0	0	0	0	0	0	0	0	0	4740332.91	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	4740332.91	0	4740332.91	4740332.91
821	南宁市教育基金会	2014	19017176.6	0	6288.5	0		0	0	0	19023465.1	2211513.06	0	0	2211513.06	101491.6	72358.44	29133.16	0	0	0	29133.16	0	0	21264111.32	0	3123.6	0	59718.62		0	0	0	0	62842.22	0	0	0	0	0	62842.22	20201269.1	1000000	21201269.1	21264111.32
822	南安市仑苍镇教育发展基金会	2014	2611250	0	0	8540000	0.00	0	0	0	11151250	0	0	0	0	7330	6963.6	366.4	0	0	0	366.4	0	0	11151616.4	0	7702000	0	0		0	0	0	0	7702000	0	0	0	0	0	7702000	-165546.8	3615163.2	3449616.4	11151616.4
824	南安市山前扶贫基金会	2014	4649.34	0	2000000	0	0.00	0	0	0	2004649.34	0	0	0	0	13000	2469.96	10530.04	0	0	0	10530.04	0	0	2015179.38	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2015179.38	0	2015179.38	2015179.38
825	南安市李德茂教育基金会	2014	3008558.06		0	0	0.00	0	0	0	3008558.06	0	0	0	0	0	0	0	0	0	0	0	0	0	3008558.06	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	3008558.06	0	3008558.06	3008558.06
826	南安市石井创新社会管理公益基金会	2014	2530729.28	0	0	0	0.00	0	0	0	2530729.28	0	0	0	0	8900	6035.11	2864.89	0	0	0	2864.89	0	0	2533594.17	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2533594.17	0	2533594.17	2533594.17
827	南安市芙蓉基金会	2014	84610.25	0	610293	0	0.00	0	0	0	694903.25	1904000	0	0	1904000	48136876.02	15817124.82	32319751.2	25839730.67	0	0	58159481.87	2000000	0	62758385.12	0	17116178.4	0	0		0	0	0	0	17116178.4	0	0	0	0	550000	17666178.4	45092206.72	0	45092206.72	62758385.12
828	南安市英都教育基金会	2014	23099.19	0	0	0	0.00	0	0	0	23099.19	0	2000000	0	2000000	0	0	0	0	0	0	0	0	0	2023099.19	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2023099.19	0	2023099.19	2023099.19
829	南安市黄良庵慈善基金会	2014	1313480.68	0	5000000	0	0.00	0	0	0	6313480.68	0	0	0	0	48629	16041.35	32587.65	0	0	0	32587.65	0	0	6346068.33	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	5246068.33	1100000	6346068.33	6346068.33
830	南平市困难党员帮扶基金会	2014	3694599.93	0	5000000	0	0.00	0	0	0	8694599.93	0	0	0	0	13980	13281	699	0	0	0	699	0	0	8695298.93	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	8695298.93	0	8695298.93	8695298.93
831	南昌市教育基金会	2014	45951557.76	0	28549274	0		0	0	0	74500831.76	0	0	0	0	250372	106372.24	143999.76	0	0	0	143999.76	0	0	74644831.52	0	452547.01	0	0		0	0	0	0	452547.01	0	0	0	0	0	452547.01	70192284.51	4000000	74192284.51	74644831.52
832	南昌市汇仁教育基金会	2014	684248.81	8153956.71	0	0		0	0	0	8838205.52	0	0	0	0	0	0	0	0	0	0	0	0	0	8838205.52	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	8838205.52	8838205.52	8838205.52
833	南昌市青少年发展基金会	2014	53241.48	3250000	8000	0		0	0	0	3311241.48	0	0	0	0	11929	2924.38	9004.62	0	0	0	9004.62	0	0	3320246.1	0	0	0	0		0	0	0	0	0	0	0	0	0	4000	4000	-683753.9	4000000	3316246.1	3320246.1
834	南航“十分”关爱基金会	2014	28839729.27	0	0	0	0.00	0	0	0	28839729.27	0	0	0	0	0	0	0	0	0	0	0	0	0	28839729.27	0	200000	0	0		0	0	0	0	200000	0	0	0	0	0	200000	28639729.27	0	28639729.27	28839729.27
835	南通公安大病特困救助基金会	2014	71995650.1	100000000	0	0		0	0	0	171995650.1	0	0	0	0	0	0	0	0	0	0	0	0	0	171995650.1	0	70000000	0	0		0	0	0	0	70000000	0	0	0	0	0	70000000	101995650.1	0	101995650.1	171995650.1
836	南通大学教育发展基金会	2014	20545642.54	3000000	0	0		0	0	0	23545642.54	35000000	0	0	35000000	0	0	0	0	0	0	0	0	0	58545642.54	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	58545642.54	0	58545642.54	58545642.54
837	南通市崇川区慈善基金会	2014	2117398.72	0	16000000	0		0	0	0	18117398.72	0	0	0	0	18990	6007.8	12982.2	0	0	0	12982.2	0	0	18130380.92	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	14257495.12	3872885.8	18130380.92	18130380.92
838	南通市崇川区见义勇为基金会	2014	934922.05	0	8520000	0		0	0	0	9454922.05	0	0	0	0	2999	474.84	2524.16	0	0	0	2524.16	0	0	9457446.21	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	616654.22	8687000	9303654.22	9303654.22
839	南通市广播电视大学教育发展基金会	2014	6674244.37	0	128601.69	0		0	0	0	6802846.06	0	0	0	0	0	0	0	0	0	0	0	0	0	6802846.06	0	13279	0	0		0	0	0	0	13279	0	0	0	0	0	13279	6789567.06	0	6789567.06	6802846.06
840	南通市慈善基金会	2014	1993317.5	0	0	0		0	0	0	1993317.5	0	40000000	0	40000000	0	0	0	0	0	0	0	0	0	41993317.5	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	41993317.5	0	41993317.5	41993317.5
841	南通市法律援助基金会	2014	472125.76	0	13412268	0		0	0	0	13884393.76	0	0	0	0	35520	17348.53	18171.47	0	0	0	18171.47	0	0	13902565.23	0	16000	0	0		0	0	0	0	16000	0	0	0	0	0	16000	13886565.23	0	13886565.23	13902565.23
842	南通市港闸区慈善基金会	2014	5987554.36	0	0	0		0	0	0	5987554.36	0	0	0	0	0	0	0	0	0	0	0	0	0	5987554.36	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	6114454.36	-126900	5987554.36	5987554.36
843	南通市港闸区见义勇为基金会	2014	126455.52	5140000	300000	0		0	0	0	5566455.52	5000000	0	0	5000000	7859	2324.02	5534.98	0	0	0	5534.98	0	0	10571990.5	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	571990.5	10000000	10571990.5	10571990.5
844	南通市爱心帮困基金会	2014	6870364.17	8500000	1068013.89	0		0	0	0	16438378.06	0	0	0	0	13080	9549.67	3530.33	0	0	0	3530.33	0	0	16441908.39	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	16437408.39	4500	16441908.39	16441908.39
845	南通市老区扶贫基金会	2014	2644756.97	0	63000000	0		0	0	0	65644756.97	0	0	0	0	0	0	0	0	0	0	0	0	0	65644756.97	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	3109637.67	62551021.3	65660658.97	65660658.97
846	南通市见义勇为基金会	2014	19300381.54	0	0	0		0	0	0	19300381.54	0	0	0	0	4985	0	4985	0	0	0	4985	0	0	19305366.54	0	43000	0	0		0	0	0	0	43000	0	0	0	0	0	43000	4931031.14	14331335.4	19262366.54	19305366.54
847	南通市通州区慈善基金会	2014	11535599.4	0	50000000	0		0	0	0	61535599.4	0	0	0	0	21030	0	21030	0	0	0	21030	0	0	61556629.4	0	200000	0	0		0	0	0	0	200000	0	0	0	0	0	200000	61224755.4	131874	61356629.4	61556629.4
848	南通市通州区见义勇为基金会	2014	10129376.05	0	0	0		0	0	0	10129376.05	0	0	0	0	0	0	0	0	0	0	0	0	0	10129376.05	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	10129376.02	0	10129376.02	10129376.02
849	南通开发区慈善基金会	2014	132987.81	0	16000000	0		0	0	0	16132987.81	0	0	0	0	0	0	0	0	0	0	0	0	0	16132987.81	0	11000000	0	0		0	0	0	0	11000000	0	0	0	0	0	11000000	12587.81	5120400	5132987.81	16132987.81
850	南通泰慕士爱心基金会	2014	1852783.49	0	230347.06	0		0	0	0	2083130.55	0	0	0	0	0	0	0	0	0	0	0	0	0	2083130.55	0	0	0	12096		0	0	0	0	12096	0	0	0	0	0	12096	2071034.55	0	2071034.55	2083130.55
851	南通理治教育发展基金会	2014	658558.21	0	0	0		0	2500000	0	3158558.21	0	0	0	0	0	0	0	0	0	0	0	0	0	3158558.21	0	14221.33	0	0		0	0	0	0	14221.33	0	0	0	0	0	14221.33	3144336.88	0	3144336.88	3158558.21
852	江苏工程职业技术学院教育发展基金会	2014	8265849.81	0	8000	0		0	0	0	8273849.81	0	0	0	0	0	0	0	0	0	0	0	0	0	8273849.81	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	8273849.81	0	8273849.81	8273849.81
853	南通经济技术开发区见义勇为基金会	2014	152320.19	0	11637752.5	0		0	0	0	11790072.69	0	0	0	0	17450	0	17450	0	0	0	17450	0	0	11807522.69	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	11807522.69	11807522.69	11807522.69
854	南通职业大学教育发展基金会	2014	4304147.17	0	0	0		0	0	0	4304147.17	0	0	0	0	0	0	0	0	0	0	0	0	0	4304147.17	0	0	0	0		0	0	0	132000	132000	0	0	0	0	0	132000	4172147.17	0	4172147.17	4304147.17
855	南通高等师范学校教育发展基金会	2014	1045807.19	0	0	0		0	0	0	1045807.19	0	0	0	0	0	0	0	0	0	0	0	0	0	1045807.19	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1045807.19	0	1045807.19	1045807.19
856	南都公益基金会	2014	20305200.24	0	59550.83	0	0.00	39850	0	0	20404601.07	88659012.94	0	0	88659012.94	5305333.15	1197303.69	4108029.46	0	0	0	4108029.46	0	0	113171643.47	0	8331507.67	127804.1	26955.38		0	0	0	0	8486267.15	0	0	0	0	0	8486267.15	84008144.56	20677231.76	104685376.32	113171643.47
857	南阳油田中小学教师奖励基金会	2014	2551440.66	0	16639	0	0.00	0	0	0	2568079.66	0	0	0	0	0	0	0	0	0	0	0	0	0	2568079.66	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2568079.66	0	2568079.66	2568079.66
859	厦门中山医院基金会	2014	1179412.99	12500000	0	0	0.00	0	0	0	13679412.99	0	0	0	0	807633.14	387782.36	419850.78	0	0	0	419850.78	0	0	14099263.77	0	410954.58	0	0		0	0	0	0	410954.58	0	0	0	0	0	410954.58	5142193.73	8546115.46	13688309.19	14099263.77
860	厦门仁爱医疗基金会	2014	10895403.29	0	13058000	0	0.00	0	0	0	23953403.29	0	0	0	0	320213	12941.94	307271.06	125370303.34	0	0	125677574.4	0	0	149630977.69	0	6384208	0	2622.81		0	0	0	0	6386830.81	0	0	0	0	125000000	131386830.81	18244146.88	0	18244146.88	149630977.69
861	厦门双十中学教育基金会	2014	26,043,404.41	0.00	150,000.00	0.00	0.00	0.00	0	0	1124079.32	0	0	0	0	0	0	0	0	0	0	0	0	0	1124079.32	0.00	0.00	0.00	0.00		0.00	0	0	0	0	0	0	0	0	0	0	1124079.32	0	1124079.32	1124079.32
862	厦门大博医疗慈善基金会	2014	7537.39	2050000	0	0	0.00	0	0	0	2057537.39	0	0	0	0	0	0	0	0	0	0	0	0	0	2057537.39	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2057537.39	0	2057537.39	2057537.39
863	厦门大学教育发展基金会	2014	4921735.84	295000000	56708700	0	0.00	0	0	0	356630435.84	0	0	0	0	1203515.51	962812.4	240703.11	0	0	0	240703.11	0	0	356871138.95	0	32795.72	0	0		0	0	0	0	32795.72	0	0	0	0	0	32795.72	356838343.23	0	356838343.23	356871138.95
