机构ID	机构名称	数据年度	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	其他支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_id	ba_cn 	fp_yr	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_othex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
1	一汽自主创新沈曾华奖励基金会	2014	3,000,000.00	3,000,000.00	0.00	3,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		600.00	0.00	0.00	0.00	600.00							
2	一达助学（伊春）基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		281,449.15	280,450.00	0.00	999.15	0.00							
3	万科公益基金会	2014	21,993,495.89	21,993,495.89	8,152,696.41	13,840,799.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		26,518,638.08	26,473,008.65	0.00	52,458.00	-6,828.57							
5	三亚市法律援助基金会	2014	10,000.00	10,000.00	0.00	10,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		162,455.62	126,900.00	24,000.00	11,555.62	0.00							
6	三明学院教育发展基金会	2014	29,746,620.00	29,746,620.00	746,620.00	29,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		400,732.00	400,000.00	0.00	732.00	0.00							
7	三江学院教育发展基金会	2014	235,000.00	235,000.00	25,000.00	210,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		30,147,030.00	30,141,725.00	0.00	5,305.00	0.00							
8	三江源生态保护基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,574,881.94	2,381,816.48	0.00	193,065.46	0.00							
9	三门县人民教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,482.50	0.00	0.00	6,482.50	0.00							
10	上海七弦古琴文化发展基金会	2014	12,052.00	12,052.00	12,052.00	0.00	0.00	0.00	0.00	0.00	135,480.00	135,480.00	0.00	135,480.00	0.00	0.00	0.00	0.00		377,226.85	352,380.65	8,280.00	16,566.20	0.00							
11	上海万宇慈善基金会	2014	600,000.00	600,000.00	0.00	600,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		345,542.00	336,000.00	0.00	9,500.00	42.00							
12	上海世华民族艺术瑰宝回归基金会	2014	500,000.00	500,000.00	300,000.00	200,000.00	0.00	0.00	0.00	0.00	8,000.00	8,000.00	8,000.00	0.00	0.00	0.00	0.00	0.00		358,554.97	347,151.64	0.00	11,403.33	0.00							
13	上海东华大学教育发展基金会	2014	8,715,755.42	8,437,590.30	1,158,440.00	7,279,150.30	278,165.12	0.00	278,165.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,379,456.00	7,362,765.00	0.00	16,691.00	0.00							
14	上海东方文化艺术基金会	2014	500,000.00	500,000.00	0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,989,677.75	2,699,944.98	143,417.00	146,315.77	0.00							
15	上海东方爱心基金会	2014	30,000.00	30,000.00	30,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		108,159.52	98,424.72	0.00	9,734.80	0.00							
16	上海中华职业教育温暖工程基金会	2014	80,000.00	80,000.00	10,000.00	70,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		342,636.43	320,000.00	15,600.00	7,036.43	0.00							
17	上海中欧国际工商学院教育发展基金会	2014	56,247,812.06	56,247,812.06	56,247,812.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		31,307,194.10	28,877,275.71	821,207.39	1,608,711.00	0.00							
18	上海交响乐团文化发展基金会	2014	6,341,898.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,234,455.86	5,155,102.90	14,538.30	64,814.66	0.00							
19	上海交通大学教育发展基金会	2014	157,208,144.64	118,184,785.05	12,590,572.45	105,594,212.60	39,023,359.59	12,549,748.78	26,473,610.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		80,498,259.37	80,304,449.77	0.00	4,000.00	189,809.60							
20	上海仁德基金会	2014	2,274,479.27	2,274,479.27	1,399,868.95	874,610.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,390,249.06	3,015,901.89	191,285.29	62,965.13	120,096.75							
21	上海公安金盾基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,153,527.45	10,013,654.50	105,000.00	16,992.95	17,880.00							
22	上海兴华教育扶贫基金会	2014	16,459,323.71	16,459,323.71	16,459,323.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,496,750.56	5,842,431.91	159,971.56	348,304.67	-1,853,957.58							
23	上海兴韦信息技术职业学院教育发展基金会	2014	11,330,000.00	11,330,000.00	750,000.00	10,580,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		11,411,727.00	11,400,000.00	0.00	62.00	11,665.00							
24	上海刘浩清公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,000.00	0.00	0.00	0.00	3,000.00							
25	上海医学创新发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15,060,066.00	15,060,066.00	0.00	15,060,066.00	0.00	0.00	0.00	0.00		25,902,573.12	11,549,878.83	218,180.25	303,675.42	13,830,838.62							
26	上海华东政法大学教育发展基金会	2014	3,643,545.76	3,528,800.91	1,932,465.76	1,596,335.15	114,744.85	0.00	114,744.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,372,708.90	3,248,502.50	66,000.00	58,206.40	0.00							
27	上海华东理工大学教育发展基金会	2014	6,373,836.06	6,174,495.17	708,741.54	5,465,753.63	199,340.89	9,944.18	189,396.71	0.00	40,000.00	40,000.00	0.00	40,000.00	0.00	0.00	0.00	0.00		2,933,986.08	2,870,876.85	0.00	63,109.23	0.00							
28	上海华信公益基金会	2014	19,632,017.08	19,632,017.08	1,015,000.08	18,617,017.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		20,474,233.51	19,036,622.02	1,017,600.27	415,529.24	4,481.98							
29	上海华杰仁爱基金会	2014	870,000.00	870,000.00	0.00	870,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		825,365.75	753,174.60	70,000.00	2,191.15	0.00							
30	上海发展昆剧基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		231,594.20	231,594.20	0.00	0.00	0.00							
31	上海发展研究基金会	2014	1,719,791.66	1,719,791.66	0.00	1,719,791.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,290,556.27	2,886,854.92	1,107,142.70	296,558.65	0.00							
32	上海同济大学教育发展基金会	2014	80,343,977.95	76,684,681.45	3,479,667.16	73,205,014.29	3,659,296.50	20,209.01	3,639,087.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		44,669,532.54	44,180,975.48	0.00	488,557.06	0.00							
33	上海同济高廷耀环保科技发展基金会	2014	1,650,000.00	1,650,000.00	0.00	1,650,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		704,749.00	661,993.04	30,000.00	12,755.96	0.00							
34	上海向阳公益基金会	2014	10,000,000.00	10,000,000.00	0.00	10,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		617,519.50	550,000.00	60,000.00	3,630.00	3,889.50							
35	上海吴孟超医学科技基金会	2014	2,137,664.00	2,137,664.00	5,000.00	2,132,664.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,727,185.15	2,602,376.00	36,000.00	35,930.15	52,879.00							
36	上海唐君远教育基金会	2014	17,070,000.00	2,070,000.00	0.00	2,070,000.00	15,000,000.00	15,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		14,873,443.05	14,124,479.14	524,734.00	137,534.91	86,695.00							
37	上海商学院教育发展基金会	2014	304,090.00	304,090.00	4,090.00	300,000.00	0.00	0.00	0.00	0.00	75,650.17	75,650.17	0.00	75,650.17	0.00	0.00	0.00	0.00		479,504.17	470,650.17	0.00	0.00	8,854.00							
38	上海喜玛拉雅文化艺术基金会	2014	8,214,258.90	8,214,258.90	0.00	8,214,258.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,458,994.60	7,000,000.00	269,509.00	3,000.00	186,485.60							
39	上海嘉宝公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,052,000.00	1,050,000.00	0.00	2,000.00	0.00							
40	上海国泰君安社会公益基金会	2014	4,836,940.00	4,836,940.00	336,940.00	4,500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		11,352,689.17	11,322,978.60	0.00	29,710.57	0.00							
41	上海国际经济交流基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		785,286.30	696,606.60	87,600.00	1,079.70	0.00							
42	上海复大公益基金会	2014	613,500.00	613,500.00		613,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		357,317.46	330,000.00	16,000.00	11,317.46	0.00							
43	上海复旦大学教育发展基金会	2014	81,649,317.02	56,394,169.03	18,951,341.76	37,442,827.27	25,255,147.99	6,479,486.52	18,775,661.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		47,730,490.80	47,188,448.98	1,598,610.49	505,849.69	-1,562,418.36							
44	上海复星公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39,562,665.00	39,562,665.00	140,000.00	39,422,665.00	0.00	0.00	0.00	0.00		34,644,531.00	34,144,081.00	500,000.00	450.00	0.00							
45	上海夏征农民族文化教育发展基金会	2014	9,677,302.45	7,945,566.10	0.00	7,945,566.10	1,731,736.35	1,731,736.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,418,489.27	10,046,734.20	161,266.60	210,488.47	0.00							
46	上海外国语大学教育发展基金会	2014	4,365,716.93	3,822,175.00	3,822,175.00	0.00	543,541.93	0.00	543,541.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,743,673.36	2,600,074.66	0.00	143,598.70	0.00							
47	上海大成慈善基金会	2014	3,755,000.00	3,755,000.00	102,500.00	3,652,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		814,641.10	742,000.00	21,900.00	49,676.93	1,064.17							
48	上海天下文化发展基金会	2014	500,000.00	500,000.00	0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		509,755.75	500,000.00	0.00	7,600.00	2,155.75							
49	上海宇兴爱心慈善基金会	2014	102,994.26	102,994.26	102,994.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		180,835.00	167,605.99	4,500.00	7,117.81	1,611.20							
50	上海宋庆龄基金会	2014	30,637,727.67	30,194,015.16	4,784,479.09	25,409,536.07	443,712.51	0.00	443,712.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		49,124,743.15	45,066,025.02	1,625,640.60	2,433,077.53	0.00							
51	上海富国环保公益基金会	2014	1,300,000.00	1,300,000.00	0.00	1,300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		795,482.16	760,819.80	0.00	0.00	34,662.36							
52	上海工商界爱国建设特种基金会	2014	10,000,000.00	10,000,000.00	0.00	10,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,304,636.96	5,730,755.07	512,260.00	92,188.20	969,433.69							
53	上海巴斯德健康研究基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		467,191.02	0.00	163,741.58	303,449.44	0.00							
54	上海市中小学幼儿教师奖励基金会	2014	1,005,500.00	1,005,500.00	5,500.00	1,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,808,095.23	7,182,218.99	558,124.43	67,751.81	0.00							
55	上海市九段沙湿地自然保护基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		95,807.34	60,800.00	0.00	1,007.00	34,000.34							
56	上海市人口福利基金会	2014	9,036,992.26	9,036,992.26	0.00	9,036,992.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		14,893,151.43	9,984,904.03	205,500.00	102,747.40	4,600,000.00							
57	上海市体育发展基金会	2014	8,903,157.03	8,903,157.03	377,393.81	8,525,763.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		18,560,148.60	16,783,724.38	1,169,395.25	524,764.14	82,264.83							
58	上海市促进科技成果转化基金会	2014	999,672.28	500,000.00	500,000.00	0.00	499,672.28	499,672.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,568,983.09	3,245,182.10	301,202.70	7,825.50	14,772.79							
59	上海市儿童健康基金会	2014	6,774,283.40	6,269,726.30	1,884,464.29	4,385,262.01	504,557.10	504,557.10	0.00	0.00	6,859,605.30	6,859,605.30	0.00	6,859,605.30	0.00	0.00	0.00	0.00		12,037,829.74	11,320,223.74	503,460.00	214,146.00	0.00							
60	上海市儿童基金会	2014	6,737,758.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		8,164,589.89	7,730,658.74	32,600.00	401,331.15	0.00							
61	上海市医药卫生发展基金会	2014	4,210,000.00	4,210,000.00	0.00	4,210,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		14,659,033.67	11,605,058.01	329,473.76	455,115.91	2,269,385.99							
62	上海市华东师范大学教育发展基金会	2014	49,144,705.81	48,511,713.40	3,878,134.38	44,633,579.02	632,992.41	185,243.41	447,749.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		12,637,482.22	12,249,305.49	74,311.00	156,345.53	157,520.20							
63	上海市华侨事业发展基金会	2014	10,958,029.49	10,958,029.49	335,611.00	10,622,418.49	0.00	0.00	0.00	0.00	3,531.00	3,531.00	3,531.00	0.00	0.00	0.00	0.00	0.00		14,200,532.60	12,316,335.09	493,548.10	528,475.91	862,173.50							
64	上海市卢湾区教育基金会	2014	233,000.00	233,000.00	0.00	233,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,429,791.80	1,312,622.90	96,000.00	21,168.90	0.00							
65	上海市卫生系统青年人才奖励基金会	2014	755,000.00	755,000.00	0.00	755,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		979,194.99	840,338.00	39,000.00	58,023.56	41,833.43							
66	上海市嘉定区教育奖励基金会	2014	1,051,750.00	1,001,750.00	0.00	1,001,750.00	50,000.00	50,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,952,756.01	2,919,391.21	0.00	33,364.80	0.00							
67	上海市大学生科技创业基金会	2014	800,000.00	800,000.00	0.00	800,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		14,860,257.87	13,423,702.52	1,064,099.51	372,455.84	0.00							
68	上海市奉贤区教育基金会	2014	1,550,461.14	1,550,461.14	0.00	1,550,461.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,346,606.90	1,295,396.10	36,000.00	15,210.80	0.00							
69	上海市奉贤建设工程科学技术发展基金会	2014	840,000.00	840,000.00	0.00	840,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,955,598.60	1,900,173.00	20,600.00	34,825.60	0.00							
70	上海市安济医疗救助基金会	2014	7,587,963.42	7,587,963.42	0.00	7,587,963.42	0.00	0.00	0.00	0.00	510,242.75	510,242.75	0.00	510,242.75	0.00	0.00	0.00	0.00		2,670,043.97	2,396,894.39	0.00	103,548.56	169,601.02							
71	上海市宝山区教育发展基金会	2014	560,000.00	560,000.00	0.00	560,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,112,278.15	1,012,503.00	48,000.00	51,775.15	0.00							
72	上海市应昌期围棋教育基金会	2014	47,000.00	47,000.00	0.00	47,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		12,214,597.59	8,986,143.76	523,620.00	255,689.36	2,449,144.47							
73	上海市建国社会公益基金会	2014	6,937,660.93	6,937,660.93	1,088,271.93	5,849,389.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,622,199.51	4,655,793.98	158,271.30	75,521.80	732,612.43							
74	上海市徐汇区教育基金会	2014	4,895,000.00	4,895,000.00	0.00	4,895,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,504,056.80	4,416,007.10	0.00	88,049.70	0.00							
75	上海市慈善基金会	2014	687,555,020.93	679,903,720.93	73,398,620.93	606,505,100.00	7,651,300.00	418,300.00	7,233,000.00	0.00	42,096,400.00	42,096,400.00	315,700.00	41,780,700.00	0.00	0.00	0.00	0.00		645,512,617.72	574,453,314.57	12,234,559.44	9,886,667.49	48,938,076.22							
76	上海市拥军优属基金会	2014	38,400,513.04	38,400,513.04	0.00	38,400,513.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		60,716,629.28	55,971,500.92	3,012,310.67	1,724,886.69	7,931.00							
77	上海市教育发展基金会	2014	43,752,340.01	34,212,340.01	0.00	34,212,340.01	9,540,000.00	0.00	9,540,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		65,471,581.07	62,565,919.93	905,399.01	2,000,262.13	0.00							
78	上海市普陀区教育奖励基金会	2014	5,000,000.00	5,000,000.00	5,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,430,954.00	1,384,245.00	44,200.00	2,509.00	0.00							
79	上海市杨浦区教育奖励基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		373,070.60	342,270.60	30,800.00	0.00	0.00							
80	上海市残疾人福利基金会	2014	5,636,922.90	5,636,922.90	166,190.00	5,470,732.90	0.00	0.00	0.00	0.00	4,432,585.84	4,432,585.84	62,114.00	4,370,471.84	0.00	0.00	0.00	0.00		9,224,810.20	8,652,525.62	351,643.80	220,640.78	0.00							
81	上海市帮困互助基金会	2014	5,774,653.60	5,774,653.60	1,291,627.30	4,483,026.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		43,538,455.01	42,488,950.78	503,426.40	455,397.83	90,680.00							
82	上海市浦东新区教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,295,331.50	2,096,952.40	154,000.00	44,379.00	0.10							
83	上海市爱心帮教基金会	2014	2,506,292.71	2,506,292.71	0.00	2,506,292.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,949,170.29	2,877,340.00	0.00	71,830.29	0.00							
84	上海市甬协公益基金会	2014	506,210.14	506,210.14	86,210.14	420,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		585,427.50	486,430.00	47,110.70	4,776.10	47,110.70							
85	上海市科普基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		851,875.00	770,000.00	44,400.00	37,475.00	0.00							
86	上海市老年基金会	2014	73,484,292.46	73,484,292.46	58,918.80	73,425,373.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		130,651,289.13	126,030,793.20	2,521,585.79	1,928,951.55	169,958.59							
87	上海市职工帮困基金会	2014	4,882,797.81	4,882,797.81	1,720,987.81	3,161,810.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		27,051,916.49	26,902,934.00	92,525.70	55,698.57	758.22							
88	上海市自然与健康基金会	2014	23,551.00	23,551.00	23,551.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,936,945.61	1,899,396.66	31,871.73	4,600.00	1,077.22							
89	上海市虹口区教育基金会	2014	2,400,500.00	2,400,500.00	500.00	2,400,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		297,911.54	271,500.00	0.00	26,411.54	0.00							
90	上海市长宁区教育基金会	2014	3,470,000.00	3,470,000.00	3,470,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,296,505.96	3,939,701.64	134,480.00	16,856.12	205,468.20							
91	上海市闵行区中小幼教师奖励基金会	2014	560,000.00	560,000.00	0.00	560,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,275,481.35	2,071,728.00	21,300.00	164,847.15	17,606.20							
92	上海市闸北区教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		573,968.75	505,215.00	64,500.00	4,253.75	0.00							
93	上海市防癌抗癌事业发展基金会	2014	550,000.00	550,000.00	550,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		620,303.20	602,572.00	8,600.00	9,131.20	0.00							
94	上海市青少年发展基金会	2014	28,932,514.88	28,932,514.88	28,932,514.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		27,504,308.41	26,604,616.15	129,965.00	767,409.94	2,317.32							
95	上海市青年创业就业基金会	2014	4,761,985.10	4,761,985.10	16,922.00	4,745,063.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,219,946.78	4,956,016.82	0.00	261,864.92	2,065.04							
96	上海市青浦区教育基金会	2014	2,060,200.00	2,060,200.00	2,060,200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,949,919.10	5,470,124.67	112,800.00	22,188.72	344,805.71							
97	上海市静安区教育基金会	2014	176,168.26	176,168.26	0.00	176,168.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		651,674.70	641,790.00	0.00	9,884.70	0.00							
98	上海市黄浦区教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,863,363.38	5,597,637.51	176,780.00	88,945.87	0.00							
99	上海师范大学教育发展基金会	2014	9,549,352.15	4,623,752.15	1,462,511.05	3,161,241.10	4,925,600.00	2,925,600.00	2,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,866,791.77	3,820,068.87	0.00	46,722.90	0.00							
100	上海应用技术学院教育发展基金会	2014	2,189,523.00	2,189,523.00	1,989,523.00	200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		875,480.97	863,238.00	0.00	9,432.50	2,810.47							
101	上海志成公益基金会	2014	4,000,000.00	4,000,000.00	0.00	4,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		162,108.45	160,000.00	0.00	21,839.40	-19,730.95							
102	上海思麦公益基金会	2014	913,174.78	913,174.78	431,174.78	482,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,040,282.11	937,019.70	77,322.00	8,397.06	17,543.35							
103	上海恩德公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		501,456.00	470,264.00	0.00	30,692.00	500.00							
104	上海慈慧公益基金会	2014	13,139,975.65	13,139,975.65	10,677,129.57	2,462,846.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		9,649,054.57	8,914,649.04	507,611.81	196,433.72	30,360.00							
105	上海慈源爱心基金会	2014	160,000.00	160,000.00	160,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		163,340.00	160,000.00	0.00	3,340.00	0.00							
106	上海文化发展基金会	2014	19,840,000.00	19,840,000.00	4,250,000.00	15,590,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		94,566,821.35	87,982,701.30	3,741,553.32	2,842,566.73	0.00							
107	上海文学发展基金会	2014	1,235,000.00	1,235,000.00	0.00	1,235,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,487,297.63	1,165,885.89	57,600.00	25,274.66	238,537.08							
