机构ID	机构名称	数据年度	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	其他支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_id	ba_cn 	fp_yr	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_othex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
1635	广西民族大学教育基金会	2014	14,924,325.00	14,924,325.00	14,924,325.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		14,928,967.20	14,916,855.00	0.00	12,112.20	0.00							
1636	广西民族教育发展基金会	2014	4,904,500.00	4,904,500.00	4,904,500.00	0.00	0.00	0.00	0.00	0.00	5,789,706.30	5,789,706.30	5,789,706.30	0.00	0.00	0.00	0.00	0.00		16,110,629.13	15,738,532.06	226,762.10	145,334.97	0.00							
1637	广西社会和谐稳定发展基金会	2014	3,008,100.00	3,008,100.00	8,100.00	3,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,968,201.61	4,475,002.85	354,748.41	138,450.35	0.00							
1638	广西红十字基金会	2014	2,587,717.23	2,587,717.23	2,587,717.23	0.00	0.00	0.00	0.00	0.00	7,522,042.19	7,522,042.19	7,522,042.19	0.00	0.00	0.00	0.00	0.00		14,362,351.82	13,343,026.36	504,544.98	511,129.48	0.00							
1639	广西老年基金会	2014	6,100.00	6,100.00	6,100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,068,163.89	975,789.30	75,282.20	20,450.93	-3,358.54							
1640	广西荣和爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		914,100.00	912,000.00	0.00	2,000.00	100.00							
1641	广西见义勇为基金会	2014	3,466,480.00	3,466,480.00	10,100.00	3,456,380.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,723,307.66	6,432,805.80	181,391.40	70,266.84	38,843.62							
1642	广西青少年发展基金会	2014	34,576,664.99	34,576,664.99	34,276,664.99	300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		26,071,200.06	25,116,791.25	413,566.72	151,620.85	324,858.89							
1643	广西革命老区建设基金会	2014	2,070,000.00	2,070,000.00	300,000.00	1,770,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,450,666.79	1,428,226.79	121,740.00	19,896.29	-119,196.29							
1644	庄希泉基金会	2014	20,000.00	20,000.00	20,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		558,535.62	400,000.00	39,600.00	10,671.11	0.00							
1645	延吉市人民教育基金会	2014	1,071,200.00	1,071,200.00	56,000.00	1,015,200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,117,269.00	1,102,200.00	6,000.00	9,069.00	0.00							
1649	延边大学教育基金会	2014	11,135,809.09	11,135,809.09	0.00	11,135,809.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		12,381,987.63	10,484,702.25	106,543.68	370,366.17	1,420,375.53							
1651	建德市老龄事业发展基金会	2014	540,000.00	540,000.00	0.00	540,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		963,026.13	901,131.00	31,139.03	30,711.10	45.00							
1652	建德市见义勇为基金会	2014	40,000.00	40,000.00	0.00	40,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		243,490.81	222,000.00	20,500.00	990.81	0.00							
1653	建湖县教育基金会	2014	270,000.00	270,000.00	0.00	270,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		849,644.90	843,000.00	0.00	3,000.00	3,644.90							
1654	建湖县见义勇为基金会	2014	500,000.00	500,000.00	0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		191,072.56	176,500.00	12,877.56	1,695.00	0.00							
1655	开明慈善基金会	2014	9,313,321.24	9,313,321.24	0.00	9,313,321.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,010,842.88	4,935,237.00	49,589.78	26,016.10	0.00							
1656	张学良教育基金会	2014	16,721,512.70	16,421,889.72	313,085.00	16,108,804.72	299,622.98	238,546.98	61,076.00	0.00	87,720.00	0.00	0.00	0.00	87,720.00	87,720.00	0.00	0.00		16,398,331.55	16,317,600.32	0.00	67,361.18	13,370.05							
1657	张家口市残疾人创业慈善基金会	2014	170,000.00	170,000.00	50,000.00	120,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		163,708.00	161,000.00	0.00	2,673.00	35.00							
1658	张家港保税区慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		264,973.66	261,160.00	0.00	3,813.66	0.00							
1659	张家港市七里庙村利民基金会	2014	142,585.00	142,585.00	0.00	142,585.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,095,177.75	1,090,895.25	0.00	4,282.50	0.00							
1660	张家港市党员关爱暨帮扶困难群众基金会	2014	10,676,836.00	10,676,836.00	5,426,836.00	5,250,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,011,697.50	9,964,000.00	38,000.00	9,500.00	197.50							
1661	张家港市农联爱心基金会	2014	39,300.00	39,300.00	9,300.00	30,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		268,100.00	260,100.00	0.00	8,000.00	0.00							
1662	张家港市巨桥惠民基金会	2014	317,091.50	317,091.50	20,000.00	297,091.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		251,483.10	245,880.00	0.00	5,603.10	0.00							
1663	张家港市慈善基金会	2014	55,590,283.90	55,590,283.90	3,016,314.60	52,573,969.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		18,310,440.30	18,020,244.00	197,763.96	92,432.34	0.00							
1664	张家港市李巷益民基金会	2014	856,150.00	856,150.00	0.00	856,150.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,328,538.30	1,321,387.80	0.00	7,150.50	0.00							
1665	张家港市永联为民基金会	2014	19,338,927.00	19,338,927.00	1,344,877.00	17,994,050.00	0.00	0.00	0.00	0.00	104,891.90	104,891.90	18,855.40	86,036.50	0.00	0.00	0.00	0.00		21,239,615.46	21,137,895.79	64,155.00	37,564.67	0.00							
1666	张家港市见义勇为基金会	2014	500,000.00	500,000.00	0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,550,475.00	1,548,150.00	0.00	2,325.00	0.00							
1667	张家港市闸上慈善基金会	2014	1,881,857.66	1,881,857.66	62,996.30	1,818,861.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,703,635.90	1,672,234.00	0.00	26,039.48	5,362.42							
1668	张家港市韩山福民基金会	2014	566,750.00	566,750.00	566,750.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		625,875.00	616,450.00	0.00	9,425.00	0.00							
1669	徐州工程学院教育发展基金会	2014	4,220,000.00	4,220,000.00	0.00	4,220,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		41,053.80	40,000.00	0.00	1,053.80	0.00							
1670	徐州市云龙区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		24,860.00	23,000.00	0.00	1,860.00	0.00							
1671	徐州市慈善基金会	2014	41,301,001.80	41,301,001.80	4,770,491.80	36,530,510.00	0.00	0.00	0.00	0.00	8,000.00	8,000.00	0.00	8,000.00	0.00	0.00	0.00	0.00		24,500,672.75	22,817,333.41	456,907.76	12,264,311.58	-11,037,880.00							
1672	徐州市泉山区见义勇为基金会	2014	3,019,837.00	3,019,337.00	31,600.00	2,987,737.00	500.00	500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		44,811.00	40,461.50	0.00	4,349.50	0.00							
1673	徐州市见义勇为基金会	2014	30.67	30.67	0.00	30.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		109.35	98.21	0.00	10.63	0.51							
